,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg
0,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,272.9985790039667,272.9985790039667,0.0,0.0,603.8211539886311
1,0.1,357.6764442861509,339.63454146911084,324.3791133108234,311.76285889817814,301.3574205664004,293.0345942429351,286.72709364003305,282.2875932349684,279.50308633277666,278.1711608629193,278.17116086307914,279.5030863332859,282.2875932359158,286.7270936415617,293.0345942452334,301.35742056968655,311.7628589026858,324.37911331680544,339.6345414768723,357.6764442960153,373.0,373.0,368.8368348027666,368.8368348027666,603.8211539886311
2,0.2,333.90899538685005,328.15274590428453,322.0360740440841,315.91952009640534,310.21052979133356,305.1376665079601,300.8612280664063,297.5398078225325,295.33459291318536,294.3924628092497,294.8314957044468,296.73373535940846,300.14245528846897,305.06093029662253,311.4520751498299,319.2392466902718,328.304361356907,338.47167641972857,349.4773266919996,361.0113785417742,340.99114291766267,373.0,515.1450228236507,146.30818802088413,234.98431918586448
3,0.3,296.4908745500288,299.61029192661357,301.7134529647906,302.97613191528734,303.7085862054277,304.0999869388463,304.3166076183347,304.5620767720664,305.07261188454555,306.0850395993254,307.80593140320104,310.392499345327,313.9451861762242,318.50807893932114,324.07321590899926,330.58613709980443,337.95170930132133,346.0410092659268,354.6998689797576,363.7534862212432,294.69967704373454,373.0,565.6434883468427,50.49846552319195,88.67613116498035
4,0.4,293.5497236801067,295.6385272334962,297.64706006823366,299.56530314820355,301.4127581477102,303.2374131849639,305.10845471189776,307.1107949671459,309.3396653654631,311.8932930430614,314.8643482795419,318.3317897309667,322.354284061452,326.9656661160217,332.1724523827846,337.95323916719735,344.25974841965274,351.019207883485,358.1377710029316,365.50507446678176,291.46848019230765,373.0,581.1763816305153,15.532893283672593,38.177665641788394
5,0.5,288.1916380093233,291.3953362056191,294.4581175292306,297.41081555076255,300.307087416065,303.18766701739236,306.0950760851803,309.0812130017529,312.2045244270735,315.5228726910671,319.08644121648666,322.9324735828379,327.0823204506969,331.54082568156895,336.29778552291185,341.33041207979574,346.60416675592154,352.06828196746,357.648159137119,363.2705733083822,285.1729989795009,369.07725571910566,587.2355046544856,6.059123023970301,22.6447723581158
6,0.6,285.93196093877344,289.476715914166,292.9664687791748,296.4130458993361,299.8388546999041,303.26314225397033,306.70547606073274,310.18685949487093,313.7269247433136,317.33914562531226,321.02604700350014,324.7759377680066,328.5624786678444,332.3481766424879,336.09184007266657,339.7570039748401,343.3130028695343,346.7170349324524,349.8846102116574,352.76473684354073,282.4592973681215,356.03100184931094,590.786447934878,3.550943280392403,16.5856493341455
7,0.7,285.2459221305614,288.8817434245269,292.50050422268475,296.10489571092074,299.7003898714591,303.2911187272814,306.8808321874372,310.4733750382733,314.0723174353654,317.68033389056666,321.2988311947083,324.92801258893655,328.567257272252,332.2154587677062,335.87093753450705,339.5310721668238,343.1932842282882,346.8606184417152,350.55085137411146,354.28066492267976,281.63107483677425,357.92804498057893,594.4984933924729,3.712045457594968,13.034706053753098
8,0.8,285.2417698300506,288.85156077822467,292.46147030158085,296.0711939314862,299.68066260773776,303.2902743417731,306.9006058094266,310.5121798499731,314.125299663315,317.7398857606785,321.3553111524762,324.9702813107051,328.58283497524235,332.190555391953,335.79104509329125,339.382524926761,342.9639456439023,346.53351649901396,350.0859822972298,353.61792783998976,281.63069362856544,357.1750967720205,598.147353849862,3.6488604573891052,9.32266059615813
9,0.9,284.98777200845797,288.6523318522518,292.3087364179698,295.95762910612115,299.60062225112745,303.23865661417847,306.87291502253447,310.5055264531632,314.139905722973,317.78099363335406,321.43550907682425,325.1120969986784,328.8210782831863,332.57345388985965,336.37905056783694,340.24449235377966,344.17316248058756,348.1703556800158,352.2517500105796,356.42384346613574,281.3314809801894,360.50285026816584,602.0664388910703,3.919085041208291,5.673800138769025
10,1.0,281.90133233440116,286.2071525953911,290.41011358690133,294.5136517696075,298.5298024862127,302.45666215815805,306.2845675243996,309.99755349284123,313.5679001122359,316.9474524762184,320.0593098612165,322.7933359203809,325.0095993020587,326.55395792511763,327.2865189619945,327.11241288888436,325.9836265416287,323.82679385624147,320.42432317990523,315.69446751945765,277.6932722356871,312.28946533208295,603.8211539886311,1.7547150975607337,1.7547150975607337
