mpc_x_0,mpc_x_1,mpc_x_2,mpc_x_3,mpc_x_4,mpc_x_5,mpc_x_6,mpc_x_7,mpc_x_8,mpc_x_9,mpc_x_10,mpc_x_11,mpc_x_12,mpc_x_13,mpc_x_14,mpc_x_15,mpc_x_16,mpc_x_17,mpc_x_18,mpc_x_19,mpc_x_20,mpc_x_21,mpc_x_22,mpc_x_23,mpc_x_24,mpc_x_25,mpc_x_26,mpc_x_27,mpc_x_28,mpc_x_29,mpc_x_30,mpc_x_31,mpc_x_32,mpc_x_33,mpc_x_34,mpc_x_35,mpc_x_36,mpc_x_37,mpc_x_38,mpc_x_39,mpc_x_40,mpc_x_41,mpc_x_42,mpc_x_43,mpc_x_44,mpc_x_45,mpc_x_46,mpc_x_47,mpc_x_48,mpc_x_49,mpc_x_50,mpc_x_51,mpc_x_52,mpc_x_53,mpc_x_54,mpc_x_55,mpc_x_56,mpc_x_57,mpc_x_58,mpc_x_59,mpc_x_60,mpc_x_61,mpc_x_62,mpc_x_63,mpc_x_64,mpc_x_65,mpc_x_66,mpc_x_67,mpc_x_68,mpc_x_69,mpc_x_70,mpc_x_71,mpc_x_72,mpc_x_73,mpc_x_74,mpc_x_75,mpc_x_76,mpc_x_77,mpc_x_78,mpc_x_79,mpc_x_80,mpc_x_81,mpc_x_82,mpc_x_83,mpc_x_84,mpc_x_85,mpc_x_86,mpc_x_87,mpc_x_88,mpc_x_89,mpc_x_90,mpc_x_91,mpc_x_92,mpc_x_93,mpc_x_94,mpc_x_95,mpc_x_96,mpc_x_97,mpc_x_98,mpc_x_99,mpc_x_100,mpc_x_101,mpc_x_102,mpc_x_103,mpc_x_104,mpc_x_105,mpc_x_106,mpc_x_107,mpc_x_108,mpc_x_109,mpc_x_110,mpc_x_111,mpc_x_112,mpc_x_113,mpc_x_114,mpc_x_115,mpc_x_116,mpc_x_117,mpc_x_118,mpc_x_119,mpc_x_120,mpc_x_121,mpc_x_122,mpc_x_123,mpc_x_124,mpc_x_125,mpc_x_126,mpc_x_127,mpc_x_128,mpc_x_129,mpc_x_130,mpc_x_131,mpc_x_132,mpc_x_133,mpc_x_134,mpc_x_135,mpc_x_136,mpc_x_137,mpc_x_138,mpc_x_139,mpc_x_140,mpc_x_141,mpc_x_142,mpc_x_143,mpc_x_144,mpc_x_145,mpc_x_146,mpc_x_147,mpc_x_148,mpc_x_149,mpc_x_150,mpc_x_151,mpc_x_152,mpc_x_153,mpc_x_154,mpc_x_155,mpc_x_156,mpc_x_157,mpc_x_158,mpc_x_159,mpc_x_160,mpc_x_161,mpc_x_162,mpc_x_163,mpc_x_164,mpc_x_165,mpc_x_166,mpc_x_167,mpc_x_168,mpc_x_169,mpc_x_170,mpc_x_171,mpc_x_172,mpc_x_173,mpc_x_174,mpc_x_175,mpc_x_176,mpc_x_177,mpc_x_178,mpc_x_179,mpc_x_180,mpc_x_181,mpc_x_182,mpc_x_183,mpc_x_184,mpc_x_185,mpc_x_186,mpc_x_187,mpc_x_188,mpc_x_189,mpc_x_190,mpc_x_191,mpc_x_192,mpc_x_193,mpc_x_194,mpc_x_195,mpc_x_196,mpc_x_197,mpc_x_198,mpc_x_199
118,-863,-827,-863,810,-996,-73,-424,882,315,-540,672,-210,650,-630,794,541,-996,599,-68,-207,730,-268,-891,-949,-397,-903,-286,-198,872,801,-138,578,-829,-561,151,-294,714,-707,-250,-904,788,886,469,-837,-756,-677,-461,-158,422,-244,449,-932,786,-846,-880,551,-25,-750,818,-248,21,771,476,-744,-520,481,177,101,999,778,-395,840,887,566,-108,-173,-232,-791,-346,-812,-66,123,-171,-548,204,-158,-782,-262,773,-928,681,964,569,200,835,471,364,-364,-600,161,951,587,-823,882,-864,-623,413,-323,-437,-262,892,744,724,-838,752,202,-527,933,-809,-597,649,-486,-537,-149,449,456,-108,-390,558,237,-85,-874,446,-706,-375,-787,270,563,-506,-856,-394,-718,102,77,191,142,618,-431,585,-476,507,-486,260,-942,161,273,-698,-8,-612,-491,-294,579,-845,763,-671,261,-798,369,-560,806,621,917,192,-507,-566,-160,-251,871,-287,833,-773,-95,442,403,629,-485,967,638,-411,-211,578,-104,175,379,-59,139,-57,-190,284
0.176984425,-1.272241204,0.559283064,-0.003889465,-0.59869893,0.790837005,-1.282062696,-0.911907139,-1.242992634,-1.331754496,-0.061028549,-0.496008206,5.076532242,-2.537445618,-0.801037602,1.86661808,-0.168283123,1.486806122,-1.271385662,0.955460381,1.926750849,0.640629935,-1.944707273,2.000357683,-1.274259065,1.636846981,0.837124569,1.225154367,-1.975602617,0.763389457,0.772200051,-2.578506848,3.434702068,0.360627867,1.701893525,0.865260538,1.971840218,0.814246973,-2.000973457,-1.23554244,-0.858228157,0.120653918,0.796746299,0.860955901,1.370367083,1.699674161,0.123750855,-1.22360873,-5.402350026,2.066232667,1.028436878,0.278498156,1.981036134,-2.669312925,-1.004187826,-1.365199929,0.589224077,-0.765603314,-1.673195706,3.860690182,0.628049356,-0.23964797,0.471320325,-1.842033179,0.465562595,-0.690919975,1.993508083,-0.191191115,0.788480641,1.555715908,2.849742752,-0.086609685,4.975176229,3.086114089,1.140829242,-0.324940773,1.844585511,-0.229246281,0.010674465,-0.5175131,-1.555190047,-1.474266779,1.929351012,0.243433724,1.923551322,-1.012579393,2.79478073,0.108241236,-0.098046512,2.087841018,-1.908774317,0.344732193,0.678661887,0.126800764,-0.230822168,1.071892181,-0.038501972,0.507992827,0.96393992,0.510588784,0.026566287,-0.561357704,-0.84001399,-0.335890014,0.888159107,-0.749737975,0.319857139,-0.238081101,-1.735388509,1.02659176,-0.111407338,0.091247173,-0.759019528,-0.106723546,-0.186674953,-0.404909908,0.447544303,0.200758062,1.07329768,1.452205823,0.627901805,-1.075616751,-1.904479353,0.771617018,1.646665964,0.014496148,0.103946296,-1.130808822,-1.912401106,0.848972585,0.413869493,1.235004279,-1.880399216,-0.459358088,-0.944789357,0.866519583,-1.808308304,-0.326350349,0.299588153,-1.169821818,-0.822259688,-1.986983197,-1.045866876,-0.056317451,0.525642845,-0.80246621,1.35412525,0.592980162,0.203997439,-1.46389179,-0.099918872,2.730940489,-1.487900713,-0.389178808,2.790539329,-1.076925092,1.605685492,-0.337055815,0.657544349,0.631189692,0.542667999,-3.452394105,-1.062391364,-0.504737539,1.256849239,-1.750060525,0.399349501,0.742153479,0.853432989,1.972047734,-1.304040517,0.563243029,0.504686952,1.259652161,-0.947525451,0.420979765,-0.600597158,-1.620146644,0.912023579,2.07647197,1.002171047,0.295834509,0.177173458,0.465632088,-0.215869697,1.723331281,0.109693526,1.76224983,-1.911969832,-0.20050892,0.49819708,1.740006085,0.841930564,-0.492686423,-0.635596078,-0.234818872,0.504761411,-0.920770457,0.914600531,1.05785773
-0.11511683,-1.248201595,0.140238229,0.365150157,-1.256117773,0.606915738,-1.493311419,-1.00974054,-0.619403785,-1.375198454,-0.458246428,-2.453010308,4.508519816,-2.822336549,-0.430125486,2.005536267,-0.146244845,1.069894026,-0.879412508,0.368413181,2.800561886,0.209826224,-1.405341482,3.015313368,-1.759124546,1.630329853,1.188562863,1.052231741,-1.491613465,0.291857072,-0.329027949,-2.35095856,4.210994874,0.655123573,2.156236013,0.900411607,3.561973,0.621456395,-1.656367376,-1.391867458,-1.034060816,0.317577817,1.369473147,0.645297868,1.778320244,3.108903582,-0.84546997,-1.778143608,-6.353499995,3.084967886,0.957808815,0.421204131,2.55367718,-4.423170438,-1.363257485,-1.491428469,0.052393168,-0.126318762,-1.178977926,3.883778641,1.017347415,-0.402844002,0.446012105,-2.685587619,0.105144659,-0.398338222,2.094141102,-0.639091565,1.496046556,2.791457545,3.062797769,-0.37173489,5.732048784,3.654165961,0.290275262,-0.551450727,2.884845488,-0.191845231,1.763801624,-0.598392275,-1.58688891,-1.451236544,2.571868332,0.216821186,2.766344973,-1.149998197,2.741803929,0.179422,0.055546373,1.578802165,-1.627508384,0.402362844,0.38475955,-0.776647595,-1.071257624,1.461716081,0.002643509,0.026392969,0.967810584,0.833967442,0.267304988,-0.121603147,-1.581984793,-0.300389731,0.332210024,-0.272829977,0.415466524,-0.853372535,-1.465293664,0.621844663,-0.382145657,-0.048444231,-0.628385251,0.087670431,-0.091543243,-0.118916149,-0.015918981,0.440807232,1.055106912,1.361090965,1.446647464,-1.846654045,-2.020856279,0.616299484,1.898006355,-0.614573071,0.115478877,-1.800511761,-3.025298732,0.999900561,-0.01600402,1.403194186,-3.377629399,-0.24165274,-0.541803729,0.973724883,-1.620032647,-0.100215692,0.202503111,-0.824663782,-0.854335829,-1.697550045,-0.888852982,-0.35265297,0.073669043,-0.596258427,1.115821533,0.757938526,0.760065984,-1.52315441,0.475773978,3.575364099,-1.660266353,-0.047199514,3.035911899,0.536606406,2.07821661,-0.918416837,1.331011029,0.278170584,1.009002915,-3.245648269,-1.607777959,0.086072218,1.690615568,-1.837818336,0.177051074,1.327846596,1.210106166,1.921467546,-0.88191466,0.185663026,-0.048949779,1.678110897,-1.758769165,1.085469132,-0.837587287,-0.993315595,0.657369005,0.922106072,0.579415227,-1.260701972,0.230889366,0.575595559,-0.132842755,2.890878284,0.9229097,0.899107896,-1.333866923,-1.233280046,1.447756777,2.189016768,0.60586284,-0.548570251,0.602767105,0.513463683,0.71430373,-1.966175892,0.750984168,1.264374687
-0.296470633,-3.202791749,0.354933,0.936721777,-3.222302476,1.552852114,-3.820880942,-2.585968652,-1.584778219,-3.520982026,-1.171744465,-6.291396561,11.5559195,-7.23182728,-1.10113185,5.144533124,-0.374597738,2.748794592,-2.252277571,0.942354516,7.181415724,0.533915731,-3.596219812,7.730647263,-4.511427622,4.178699942,3.049438215,2.694401369,-3.82414803,0.743089358,-0.850264798,-6.026539416,10.78831588,1.682544603,5.528160822,2.305574948,9.138029037,1.591979749,-4.243282517,-3.567134007,-2.651726696,0.814457257,3.512379829,1.657142718,4.554411948,7.978404874,-2.169356153,-4.565897857,-16.28397746,7.910580502,2.448591327,1.081305819,6.54275127,-11.35388973,-3.497492926,-3.825228631,0.131252001,-0.316575769,-3.020764756,9.94741431,2.61096299,-1.034015083,1.145175398,-6.882875681,0.270274171,-1.02415241,5.368584156,-1.637710808,3.838223428,7.157566178,7.848357018,-0.955711939,14.68647097,9.371016014,0.741717508,-1.410813495,7.392121431,-0.487967658,4.529096,-1.531775845,-4.071202528,-3.713454324,6.593963957,0.553462554,7.090018519,-2.948913447,7.027573424,0.460577279,0.141982943,4.046985238,-4.167973149,1.035457296,0.98629837,-1.991951029,-2.747303935,3.743139653,0.005441318,0.065722522,2.483874146,2.140893403,0.688527167,-0.310377104,-4.057680833,-0.772319888,0.853403605,-0.699763888,1.060123904,-2.189624507,-3.755362053,1.590422548,-0.980995143,-0.125703396,-1.607749776,0.223099522,-0.229137429,-0.297180535,-0.041098295,1.132552269,2.706004113,3.493928639,3.711785819,-4.737292904,-5.180156185,1.580227902,4.867239078,-1.581403544,0.294977232,-4.616108798,-7.767116215,2.567039125,-0.039489255,3.600529892,-8.668695577,-0.616132431,-1.386832673,2.495104282,-4.153720499,-0.254012459,0.519066029,-2.111181776,-2.188481581,-4.349505439,-2.27937852,-0.906375993,0.184608073,-1.523898194,2.857136008,1.93869794,1.949956629,-3.902610569,1.219251931,9.169215339,-4.25426577,-0.119848115,7.779805863,1.376617634,5.325079227,-2.360356153,3.413586981,0.716102955,2.587075842,-8.315598955,-4.125600798,0.222187028,4.332732527,-4.712752446,0.453204882,3.408827183,3.107983753,4.931817467,-2.268549306,0.472805153,-0.121517366,4.304222756,-4.509385389,2.782568756,-2.14715204,-2.543619511,1.679022251,2.359644991,1.48772531,-3.23278052,0.599193019,1.469261668,-0.339411638,7.416892265,2.362142587,2.304054947,-3.413873947,-3.16720577,3.716741134,5.609205846,1.551007368,-1.411358266,1.544035244,1.317265317,1.834371231,-5.048556581,1.92633458,3.241980046
-0.562810057,-6.08896952,0.676009271,1.781091023,-6.127961997,2.954119548,-7.272437489,-4.92004442,-3.014096962,-6.699577578,-2.23037962,-11.96476861,21.97398284,-13.75581733,-2.09465027,9.782896707,-0.71170681,5.220834523,-4.284677672,1.792284726,13.6562069,1.017661984,-6.842280499,14.70226545,-8.58037108,7.947126346,5.797482836,5.126651642,-7.270894737,1.415222601,-1.61522223,-11.46076895,20.52312549,3.198422584,10.51371861,4.385786914,17.37528809,3.02764284,-8.071791193,-6.784303822,-5.043089591,1.549388498,6.678580713,3.149911222,8.665962457,15.16882725,-4.126308269,-8.677465612,-30.97035689,15.0414944,4.661710401,2.055257804,12.44603401,-21.58283089,-6.649382274,-7.273100933,0.251424137,-0.604968583,-5.74519996,18.92386727,4.964358084,-1.966349082,2.176302037,-13.09010361,0.51165231,-1.94619006,10.20889001,-3.116058517,7.298759818,13.61254413,14.92768722,-1.815891107,27.9368347,17.8192651,1.40997165,-2.68521122,14.06338013,-0.931000467,8.610735955,-2.914195921,-7.73990951,-7.064898713,12.53964952,1.053000696,13.48654047,-5.607345857,13.36424634,0.875371316,0.270542617,7.694511573,-7.929167468,1.966766819,1.875773027,-3.790286138,-5.224132477,7.122582131,0.011768833,0.124011163,4.721853268,4.069130145,1.308037068,-0.589121797,-7.716456685,-1.46806203,1.621530694,-1.330003625,2.019169883,-4.163446496,-7.141141139,3.026165956,-1.86526869,-0.236404897,-3.058851438,0.426008281,-0.438918835,-0.56924291,-0.078921215,2.151340789,5.145369901,6.639567743,7.05770198,-9.007618988,-9.850704654,3.002395267,9.253764171,-3.005021723,0.561004799,-8.779799787,-14.76494479,4.880997894,-0.075871482,6.843158499,-16.48096342,-1.173134092,-2.637189194,4.745810129,-7.898173986,-0.483906419,0.986142454,-4.017058186,-4.16272907,-8.272308906,-4.333631283,-1.722950875,0.353508342,-2.900415372,5.435066019,3.690034307,3.706827379,-7.421747523,2.319872873,17.43549966,-8.092055156,-0.22814619,14.79632402,2.619243351,10.12919135,-4.483683173,6.491636451,1.35943558,4.918502259,-15.81667196,-7.843489311,0.422925074,8.240982514,-8.96137535,0.861901594,6.479651909,5.905588968,9.374073665,-4.30645552,0.901011069,-0.234750549,8.183468051,-8.576678174,5.291921273,-4.083648339,-4.837521957,3.198065822,4.488619773,2.826985695,-6.15010209,1.135324006,2.799333368,-0.646274235,14.10210822,4.496520754,4.382411486,-6.494223136,-6.022271274,7.066451337,10.66878455,2.950814066,-2.680984569,2.940026259,2.505832906,3.487189397,-9.596907222,3.658923391,6.164475387
-0.914763044,-9.906131243,1.101110622,2.897919752,-9.971585331,4.808091995,-11.84040564,-8.008390206,-4.904909997,-10.90555996,-3.631492961,-19.46962057,35.7542363,-22.38682012,-3.409103557,15.9183239,-1.157401563,8.488455993,-6.973672028,2.91664098,22.22077637,1.658400188,-11.13737431,23.9246057,-13.96309951,12.93215101,9.431981449,8.345007335,-11.82969568,2.30506839,-2.626469823,-18.64916881,33.40280654,5.203162714,17.10887826,7.137944858,28.27058117,4.926798054,-13.1369697,-11.04020733,-8.206479537,2.521742723,10.86648089,5.123995129,14.10645095,24.67892563,-6.715259844,-14.11422451,-50.39854204,24.47347579,7.591104293,3.343217411,20.2561975,-35.11039044,-10.81802675,-11.83343924,0.41104468,-0.98751902,-9.349288474,30.80035495,8.077080629,-3.199621088,3.539730954,-21.30133443,0.830102787,-3.165332509,16.61140634,-5.07219539,11.87619659,22.1515162,24.29307575,-2.953150602,45.46707625,28.99397583,2.293740377,-4.371806001,22.89017484,-1.518138666,14.00908369,-4.743296098,-12.59202128,-11.49926634,20.40454733,1.713958589,21.9490832,-9.123688371,21.74631529,1.423870051,0.440797143,12.51884058,-12.90551704,3.197844352,3.052404663,-6.169914856,-8.500315813,11.59442584,0.02066003,0.200758766,7.681606936,6.618990278,2.127045377,-0.957432937,-12.55624808,-2.388144178,2.637101117,-2.163415247,3.288933029,-6.774200705,-11.61967127,4.925961463,-3.034873314,-0.381882501,-4.978867515,0.695049142,-0.717568715,-0.930620414,-0.129225366,3.498099413,8.371919357,10.79885081,11.48330106,-14.65591158,-16.02873766,4.882647494,15.05542204,-4.887331332,0.912920809,-14.28798557,-24.01952691,7.941616875,-0.124281702,11.13105307,-26.81342441,-1.910453178,-4.291091234,7.723342426,-12.85096853,-0.788313586,1.603649103,-6.538948305,-6.774565992,-13.46167887,-7.050607155,-2.802854616,0.577819012,-4.722146598,8.845742722,6.007868409,6.030296769,-12.07688994,3.776215267,28.36950802,-13.16928261,-0.371491461,24.07825486,4.26347208,16.48494643,-7.290597721,10.56326512,2.209562118,8.00201772,-25.74009682,-12.76069954,0.688607575,13.41132068,-14.58110945,1.402534449,10.5406529,9.604472847,15.24853305,-6.999409106,1.468122537,-0.385853181,13.31423798,-13.95730297,8.611390286,-6.645384438,-7.871998372,5.209288907,7.305280317,4.597742016,-10.00995634,1.843013103,4.560639445,-1.052487039,22.94434034,7.321479751,7.131924024,-10.56963356,-9.798646106,11.49681761,17.36220556,4.802924894,-4.359344624,4.787992695,4.078340987,5.673064282,-15.61201605,5.949189082,10.03004576
-1.352330828,-14.65428583,1.630232747,4.287208531,-14.75317769,7.114770229,-17.524786,-11.85100385,-7.257217929,-16.1389283,-5.375081896,-28.80595913,52.89669391,-33.12483968,-5.044490078,23.55082201,-1.71167849,12.55166721,-10.31926343,4.31542482,32.87512901,2.45612831,-16.48149809,35.39767395,-20.65961843,19.13377991,13.95294039,12.34946612,-17.50055343,3.41262821,-3.884012868,-27.59174536,49.42736421,7.69676445,25.31364521,10.56204842,41.82391713,7.289444507,-19.43881987,-16.33484648,-12.14189875,3.731521394,16.07608437,7.579399366,20.87587846,36.50871233,-9.936211982,-20.87618359,-74.56854554,36.20653425,11.23677216,4.945183626,29.97324507,-51.93658859,-16.00343203,-17.5062487,0.610113847,-1.4642246,-13.83303243,45.57688248,11.94913549,-4.733832312,5.235465405,-31.51657095,1.225626712,-4.681582324,24.57614372,-7.506122508,17.5705372,32.77448712,35.94452874,-4.367494469,67.2772066,42.89515943,3.393021866,-6.470594818,33.87251012,-2.24938167,20.72414784,-7.019076269,-18.62754272,-17.01655771,30.18865783,2.536337245,32.47764694,-13.49794303,32.17379133,2.106075846,0.652745067,18.5199778,-19.0970234,4.72869104,4.516196989,-9.130835083,-12.57585665,17.15867349,0.032111553,0.295967165,11.36314048,9.790477095,3.145550244,-1.415312836,-18.57706001,-3.532568661,3.900116854,-3.199999218,4.869409285,-10.02189028,-17.19095682,7.289808944,-4.489811012,-0.562137174,-7.367797658,1.0302197,-1.065083605,-1.381306263,-0.192012451,5.172833282,12.38565438,15.97178241,16.98858546,-21.68217637,-23.71425848,7.220985311,22.27221452,-7.228334704,1.350725591,-21.14067271,-35.53087681,11.74890052,-0.184718073,16.46421768,-39.66609063,-2.828089069,-6.348543035,11.42770433,-19.01210838,-1.167235015,2.371582495,-9.67685191,-10.02399771,-19.91761896,-10.4303056,-4.146089103,0.857536107,-6.989089181,13.08916435,8.892194843,8.920367026,-17.86804371,5.588277585,41.97125142,-19.48595104,-0.54988164,35.62560826,6.309300556,24.39234688,-10.78110301,15.62847747,3.266488217,11.8376235,-38.08587925,-18.87723892,1.019232447,19.84374516,-21.57196163,2.075105362,15.59183956,14.20464458,22.5552047,-10.34741898,2.174137688,-0.574826641,19.69653502,-20.65126055,12.74097807,-9.832361229,-11.64705082,7.712688378,10.80962782,6.799998604,-14.81234632,2.72226074,6.753179614,-1.558049361,33.94359318,10.83701536,10.55259905,-15.64010822,-14.49633285,17.0078458,25.68947137,7.107341725,-6.446445018,7.087932028,6.034793673,8.392004887,-23.09388886,8.797136725,14.83869437
-1.875513403,-20.33343328,2.263375652,5.948957361,-20.47273909,9.874154266,-24.32557862,-16.44788537,-10.07102077,-22.39968261,-7.461146443,-39.97378434,73.40135575,-45.96987605,-7.000809838,32.68039107,-2.374537585,17.41046815,-14.32145189,5.988636252,45.61926483,3.410846367,-22.87465186,49.12147023,-28.66992785,26.55201305,19.36035966,17.14002803,-24.28346801,4.737902081,-5.387851358,-38.28849863,68.59679859,10.67922779,35.12801949,14.6580976,58.03529599,10.11558221,-26.97734174,-22.66822131,-16.84934725,5.178724518,22.30739116,10.51612394,28.97424502,50.65818739,-13.78916469,-28.96334283,-103.4803675,50.24066981,15.59871406,6.861156443,41.59717676,-72.06142532,-22.20559811,-24.29152931,0.848631653,-2.035085343,-19.19643183,63.25344996,16.58052269,-6.568982757,7.263505387,-43.73581318,1.69822407,-6.494939502,34.10310216,-10.41783989,24.38178166,45.48145691,49.88204624,-6.058922702,93.36722589,59.52281592,4.707816117,-8.981577688,47.01038605,-3.124729502,28.75592841,-9.741536449,-25.84647384,-23.61677285,41.89198105,3.52013667,45.07223174,-18.73010984,44.6466745,2.921988702,0.906386393,25.69792322,-26.50368658,6.559306871,6.267150015,-12.67304684,-17.450755,23.81532513,0.046123406,0.409636357,15.76645389,13.58359059,4.363551659,-1.962761492,-25.77889247,-4.901335483,5.410577902,-4.439755537,6.76059867,-13.90651522,-23.85499781,10.11770841,-6.230081788,-0.777168901,-10.22564188,1.431519966,-1.481463524,-1.921300479,-0.267282477,7.17554239,17.18657499,22.15836253,23.57355517,-30.08641337,-32.90726713,10.01740871,30.90414162,-10.02803183,1.874419146,-29.33786125,-49.29899449,16.30284885,-0.257180599,22.84265234,-55.0389621,-3.926041776,-8.809544608,15.85889585,-26.38159356,-1.620670713,3.289942621,-13.43076902,-13.91102425,-27.64012923,-14.47272663,-5.752654335,1.192659643,-9.70124314,18.16533093,12.34301363,12.37703815,-24.79520884,7.756059835,58.2407299,-27.04206047,-0.763316727,49.43838427,8.756728785,33.85139274,-14.95519902,21.68727351,4.53021387,16.42531961,-52.85401931,-26.19310743,1.414799691,27.53825598,-29.93393192,2.879614336,21.63321187,19.70610416,31.2940886,-14.35048512,3.019056536,-0.801670961,27.33035915,-28.65855095,17.68068464,-13.64457872,-16.16267931,10.70826427,15.0016623,9.433755454,-20.55727205,3.773066893,9.376953917,-2.162961207,47.09986675,15.0431276,14.64443659,-21.70564715,-20.11533152,23.59953589,35.65058201,9.864064578,-8.942285738,9.839844282,8.375190975,11.64401122,-32.04252564,12.2027663,20.59042122
-2.48431077,-26.9435736,3.000539338,7.883166243,-27.13026954,13.0862441,-32.24278349,-21.79903478,-13.34631851,-29.68782292,-9.889686604,-52.97309618,97.26822179,-60.92192923,-9.278062837,43.30703106,-3.145978847,23.06485882,-18.98023742,7.936275277,60.45318383,4.522554359,-30.31683563,65.09599454,-37.99402779,35.18685044,25.65423926,22.71669306,-32.1784394,6.280890003,-7.137985296,-50.73942863,90.9111097,14.15055273,46.55200109,19.42609242,76.90471775,13.40521116,-35.75253531,-30.0403318,-22.32882504,6.863352096,29.56040128,13.93416884,38.40155064,67.12735079,-18.27411798,-38.37570223,-137.1340079,66.57588246,20.67692998,9.091135863,55.1279926,-95.48490065,-29.42452499,-32.18928109,1.126598096,-2.700101251,-25.43948669,83.83005738,21.9712422,-8.705072423,9.6238509,-57.95906114,2.247894862,-8.605404042,45.19228167,-13.80734753,32.30992996,60.27242557,66.10562825,-8.027435301,123.7371341,78.87694531,6.23812313,-11.90475461,62.30380261,-4.144182161,38.10442539,-12.91067664,-34.24881463,-31.29991178,55.51451698,4.665356864,59.73283761,-24.8201888,59.1649648,3.871608618,1.201721121,34.05267687,-35.12550659,8.689691846,8.305263739,-16.79655012,-23.12501087,31.56438077,0.062695589,0.541766341,20.89154717,17.99833076,5.781049623,-2.599778905,-34.16174548,-6.494444643,7.168484262,-5.882684202,8.962501187,-18.42807554,-31.61179423,13.40965988,-8.255685641,-1.02697768,-13.55240019,1.89894994,-1.966708473,-2.550603062,-0.355035444,9.506226736,22.77468117,29.35859117,31.23821021,-39.86862258,-43.60776361,13.27191768,40.95120332,-13.28642271,2.484001475,-38.87955117,-65.32387996,21.60346186,-0.341669279,30.26635704,-72.93203881,-5.204311299,-11.67409595,21.01691699,-34.95942408,-2.148620682,4.358729482,-17.80069964,-18.43564561,-36.62920965,-19.17787023,-7.622550311,1.583189619,-12.85860847,24.07424245,16.36032478,16.40031014,-32.85838535,10.27956202,77.17794346,-35.83761091,-1.011796722,65.5165829,11.60575677,44.86208401,-19.81288574,28.73965324,6.000739077,21.76510603,-70.04451699,-34.7083051,1.875309308,36.49485314,-39.6670203,3.816061372,28.66476986,26.10885158,41.46518475,-19.00860751,4.002879081,-1.06638614,36.21571039,-37.97917415,23.43050999,-18.08203692,-21.41888385,14.19601659,19.88138377,12.49901257,-27.24473354,4.995431564,12.43196235,-2.867222578,62.41316106,19.93981649,19.40743663,-28.76625034,-26.65564211,31.2718879,47.24553749,13.07309345,-11.84686679,13.04372946,11.09953289,15.42908328,-42.4579264,16.1660778,27.28522631
-3.178722929,-34.48470679,3.841723804,10.08983518,-34.72576902,16.75103974,-41.27640063,-27.90445206,-17.08311115,-38.0033492,-12.66070238,-67.80389466,124.497292,-77.98099923,-11.87624907,55.430742,-4.026002276,29.51483922,-24.29562001,10.15834189,77.37688601,5.791252287,-38.8080494,83.32124688,-48.63191824,45.03829207,32.83457919,29.07946121,-41.18546762,8.041591974,-9.134414679,-64.94453535,116.3702975,18.11073928,59.58559002,24.86603287,98.4321824,17.15833136,-45.76440057,-38.45117796,-28.58033211,8.785404128,37.83511471,17.83353408,49.15779533,85.91620253,-23.39107185,-49.11326179,-175.5294667,85.2121722,26.47141993,11.63512188,70.56569256,-122.2070146,-37.66021268,-41.19950402,1.444013178,-3.459272322,-32.56219701,107.3067047,28.12129405,-11.14210131,12.31650194,-74.18631482,2.874639086,-11.01297594,57.84368224,-17.67464544,41.35498211,77.14739311,84.61527478,-10.27303227,158.3869313,100.9575476,7.983942905,-15.24012559,79.75275981,-5.307739646,48.76963879,-16.52649683,-43.8345651,-40.06597447,71.05626563,5.971997828,76.45946454,-31.76817992,75.72866222,4.954935595,1.53874925,43.58423873,-44.96248342,11.11984596,10.63053816,-21.50134493,-29.59862424,40.4058404,0.081828103,0.692357118,26.73842033,23.03469761,7.398044137,-3.326365074,-43.72561903,-8.311896141,9.173835932,-7.528785213,11.47511683,-23.58657122,-40.46134609,17.16566333,-10.56662257,-1.311563513,-17.34807257,2.43250962,-2.520818452,-3.269214011,-0.455271351,12.16488632,29.14997293,37.57246833,39.98255056,-51.02880399,-55.81574792,16.98451223,52.41339963,-17.00350734,3.179472577,-49.76574249,-83.60553321,27.65073954,-0.438184114,38.73533177,-93.34532077,-6.662897639,-14.94219707,26.90176775,-44.74559992,-2.75108492,5.577943076,-22.78664377,-23.59786178,-46.88486024,-24.54573641,-9.755777031,2.029126035,-16.46118519,30.81589892,20.94412828,20.99018299,-42.05757322,13.15878413,98.7828921,-45.87260236,-1.295321624,83.86020415,14.8563845,57.42442067,-25.35416319,36.78561667,7.678063838,27.85698279,-89.65737229,-44.42283191,2.400761297,46.71353665,-50.77122678,4.88444647,36.6865135,33.41288683,53.06849316,-24.32178616,5.125605323,-1.368972178,46.35258874,-48.61313017,29.99045413,-23.14473582,-27.41566444,18.17594534,25.44879221,15.99576994,-34.87473078,6.389354751,15.91820493,-3.670833473,79.88347611,25.52708202,24.84159918,-36.82191779,-34.11726462,40.02490181,60.47433779,16.73442835,-15.16018816,16.69958756,14.20781943,19.74722107,-54.34009114,20.68707123,34.92310965
