,t,x1,x2,u
0,0.0,-4.269957139484763,-10.901949262611865,0.0
4,0.1,-5.210666418148647,-7.9612399655880495,20.0
8,0.2,-5.871530207347568,-5.300376158970193,20.0
12,0.3,-6.279179326560244,-2.8927270245339582,20.0
16,0.4,-6.457710338082481,-0.7141960061816832,20.0
20,0.5,-6.518915112621562,-0.5132480589995039,1.397431726429507
24,0.6,-6.567025239284596,-0.45000829471104054,0.15129637625285292
28,0.7,-6.598891061229816,-0.1916139982128975,2.2652847455278176
32,0.8,-6.599235865182767,0.17854955459226635,3.698187488520757
36,0.9,-6.5654407796723415,0.4921267400304645,3.473722709484975
40,1.0,-6.525576774801521,0.3082179924401543,-1.440447427196148
0,0.0,9.572488683217586,-4.868375897582725,0.0
4,0.1,9.030081990510226,-5.961541564626518,-16.355723597510664
8,0.2,8.45686943259699,-5.510230196426247,-1.219011897128989
12,0.3,7.943003608226844,-4.779266981255089,2.1709739080107098
16,0.4,7.5033537252202045,-4.026278397466063,3.1333870078245765
20,0.5,7.137690845920626,-3.2990968613225986,3.615186568439585
24,0.6,6.843199273750052,-2.602345175225967,4.022601139261385
28,0.7,6.616980314168221,-1.9331848304830557,4.429413851611699
32,0.8,6.456169292087146,-1.2936920482264824,4.786817601755963
36,0.9,6.356105082185405,-0.717198770117714,4.764290682071348
40,1.0,6.30112843502973,-0.3878228568321674,2.743992661299898
0,0.0,-7.100272995074642,0.5527162458320305,0.0
4,0.1,-7.034115152784082,0.7668719332547722,2.80313529713167
8,0.2,-6.985825634691937,0.20822761578844898,-5.1035479937431365
12,0.3,-6.985664538027258,-0.1982324764153168,-4.062989955392298
16,0.4,-7.017471055339977,-0.43396957290353055,-2.6754361380108254
20,0.5,-7.065465808995583,-0.5244182730621745,-1.3844345381440226
24,0.6,-7.1133461126056305,-0.4346831355616253,0.41854833890346355
28,0.7,-7.145527241912641,-0.2126395601963959,1.8986244605806513
32,0.8,-7.145439452532907,0.20739592289140332,4.201232724673834
36,0.9,-7.108004881043162,0.5358226403559031,3.6586128895410543
40,1.0,-7.064640565274233,0.3348132729170596,-1.5764505167004856
0,0.0,-1.022653958563227,-10.01898544385638,0.0
4,0.1,-1.8793381205059265,-7.1623012646361355,20.0
8,0.2,-2.464172840205329,-4.577466529874433,20.0
12,0.3,-2.803028012965622,-2.2386113497248794,20.0
16,0.4,-2.9353138791282216,-0.4371257309038827,16.691997526583044
20,0.5,-2.983243696022046,-0.5200881307067963,-1.308922166968078
24,0.6,-3.031213091401235,-0.4406239590576488,0.31494776269887165
28,0.7,-3.063271990547492,-0.20448895155237118,2.0407610835895165
32,0.8,-3.0633518985383468,0.1962135298421765,4.006225734036288
36,0.9,-3.0408784988669932,0.2523195195678089,0.7857938939692661
40,1.0,-3.020755610764843,0.15181307083456963,-0.8038356063114708
0,0.0,2.199870423670937,-1.4434758602498867,0.0
4,0.1,2.056481507052116,-1.4246167384483417,-1.2452979481726212
8,0.2,1.9220654813665983,-1.2663412603465316,0.23859452416305985
12,0.3,1.804463108331234,-1.0886669455179283,0.6007194179325243
16,0.4,1.7044143577864685,-0.9151987207149658,0.734194742582122
20,0.5,1.6213167404142024,-0.7495145691316333,0.8258653421108236
24,0.6,1.5544157856936078,-0.5911436015904343,0.9147001282062245
28,0.7,1.503029090266802,-0.43912355225634897,1.0063335390729955
32,0.8,1.466500952420795,-0.29385986274070086,1.0873555166966369
36,0.9,1.4437715649622305,-0.162910020143447,1.0822045513871439
40,1.0,1.4312837501605016,-0.08809301814815765,0.62329187193587
0,0.0,5.410036211140971,-11.204153336339319,0.0
4,0.1,4.44056841233286,-8.234685523472736,20.0
8,0.2,3.753682837270186,-5.547799942333075,20.0
12,0.3,3.322488228533937,-3.1166053898838473,19.999999437129546
16,0.4,3.073501954696112,-1.8836656583773315,9.839534576687008
20,0.5,2.9100141046276513,-1.394246962088666,3.259308462202321
24,0.6,2.7870614023745817,-1.0702068515823517,2.0108740825327818
28,0.7,2.694318510240491,-0.7893314674760132,1.8813249197228468
32,0.8,2.6287103327035273,-0.5272002095908255,1.9652308034826427
36,0.9,2.5879405540621763,-0.2921128333077954,1.943175976417235
40,1.0,2.5655495913618034,-0.15794222489784665,1.1177964570962289
0,0.0,-3.576543882296564,0.5031642427899712,0.0
4,0.1,-3.5126620935526267,0.7700246005604834,3.3074214651438814
8,0.2,-3.4644374406974685,0.2039022567495703,-5.178976909558146
12,0.3,-3.464187351557879,-0.1922982327628267,-3.9595040037287723
16,0.4,-3.4961159640349817,-0.4421111617246205,-2.817415414389748
20,0.5,-3.543943207642888,-0.5132482891998814,-1.1896437108324884
24,0.6,-3.5920533299424027,-0.45000798621582905,0.15130180684454445
28,0.7,-3.6239191562501913,-0.1916143824152099,2.2652777749275095
32,0.8,-3.624263953124235,0.1785500654586278,3.6981965099971825
36,0.9,-3.6008843815618867,0.28723032986467634,1.3205983596832755
40,1.0,-3.5778420619088025,0.17547828689638148,-0.8870972331528006
0,0.0,0.8725948066913247,-1.4480137615218105,0.0
4,0.1,0.7661681717230301,-0.6930987580797441,6.484883684737647
8,0.2,0.7075358968361661,-0.4830470186427189,1.514194645501638
12,0.3,0.6631776681061224,-0.4054112695065016,0.3327752040617841
16,0.4,0.6212944331231587,-0.43181346685208744,-0.6828543232854457
20,0.5,0.5732553103719892,-0.5273765357460672,-1.4360219164514643
24,0.6,0.5254358689419689,-0.43062455713923004,0.48932537176818336
28,0.7,0.4931712211166426,-0.2182080840135749,1.8015182530033196
32,0.8,0.4767929803022078,-0.1111408882002465,0.9068895499889957
36,0.9,0.4684690536709199,-0.05625230176712296,0.46564659801843433
40,1.0,0.46418624090883237,-0.029844018195053043,0.2212547080999092
0,0.0,1.3595699675484614,-9.28667556672035,0.0
4,0.1,0.5725743042290528,-6.499679887833003,20.0
8,0.2,0.050796345403760414,-3.977901918224547,20.0
12,0.3,-0.23100271178844262,-1.696102872883411,19.999999881488694
