,Unnamed: 0,Unnamed: 0.1,t,xi1,xi2,ui,xf1,xf2,uf
1,1,4,0.1,-5.210666418,-7.961239966,20.0,-5.871530207,-5.300376159,20.0
2,2,8,0.2,-5.871530207,-5.300376159,20.0,-6.279179327,-2.892727025,20.0
3,3,12,0.3,-6.279179327,-2.892727025,20.0,-6.457710338,-0.714196006,20.0
4,4,16,0.4,-6.457710338,-0.714196006,20.0,-6.518915113,-0.513248059,1.397431726
5,5,20,0.5,-6.518915113,-0.513248059,1.397431726,-6.567025239,-0.450008295,0.151296376
6,6,24,0.6,-6.567025239,-0.450008295,0.151296376,-6.598891061,-0.191613998,2.265284746
7,7,28,0.7,-6.598891061,-0.191613998,2.265284746,-6.599235865,0.178549555,3.698187489
8,8,32,0.8,-6.599235865,0.178549555,3.698187489,-6.56544078,0.49212674,3.473722709
9,9,36,0.9,-6.56544078,0.49212674,3.473722709,-6.525576775,0.308217992,-1.440447427
11,12,4,0.1,9.030081991,-5.961541565,-16.3557236,8.456869433,-5.510230196,-1.219011897
12,13,8,0.2,8.456869433,-5.510230196,-1.219011897,7.943003608,-4.779266981,2.170973908
13,14,12,0.3,7.943003608,-4.779266981,2.170973908,7.503353725,-4.026278397,3.133387008
14,15,16,0.4,7.503353725,-4.026278397,3.133387008,7.137690846,-3.299096861,3.615186568
15,16,20,0.5,7.137690846,-3.299096861,3.615186568,6.843199274,-2.602345175,4.022601139
16,17,24,0.6,6.843199274,-2.602345175,4.022601139,6.616980314,-1.93318483,4.429413852
17,18,28,0.7,6.616980314,-1.93318483,4.429413852,6.456169292,-1.293692048,4.786817602
18,19,32,0.8,6.456169292,-1.293692048,4.786817602,6.356105082,-0.71719877,4.764290682
19,20,36,0.9,6.356105082,-0.71719877,4.764290682,6.301128435,-0.387822857,2.743992661
21,23,4,0.1,-7.034115153,0.766871933,2.803135297,-6.985825635,0.208227616,-5.103547994
22,24,8,0.2,-6.985825635,0.208227616,-5.103547994,-6.985664538,-0.198232476,-4.062989955
23,25,12,0.3,-6.985664538,-0.198232476,-4.062989955,-7.017471055,-0.433969573,-2.675436138
24,26,16,0.4,-7.017471055,-0.433969573,-2.675436138,-7.065465809,-0.524418273,-1.384434538
25,27,20,0.5,-7.065465809,-0.524418273,-1.384434538,-7.113346113,-0.434683136,0.418548339
26,28,24,0.6,-7.113346113,-0.434683136,0.418548339,-7.145527242,-0.21263956,1.898624461
27,29,28,0.7,-7.145527242,-0.21263956,1.898624461,-7.145439453,0.207395923,4.201232725
28,30,32,0.8,-7.145439453,0.207395923,4.201232725,-7.108004881,0.53582264,3.65861289
29,31,36,0.9,-7.108004881,0.53582264,3.65861289,-7.064640565,0.334813273,-1.576450517
31,34,4,0.1,-1.879338121,-7.162301265,20.0,-2.46417284,-4.57746653,20.0
32,35,8,0.2,-2.46417284,-4.57746653,20.0,-2.803028013,-2.23861135,20.0
