,t,x1,x2,u
0,0.0,9.140824975709169,-8.134854579012146,0.0
4,0.1,8.30955398795755,-8.484734810484033,-11.811512192234947
8,0.2,7.453255548933505,-8.638668830486449,-10.1023245902647
12,0.3,6.72454330364891,-5.979881808470864,19.300747767309772
16,0.4,6.149020525426175,-5.537938254550391,-1.3357922430224924
20,0.5,5.605475392655065,-5.336324077251321,-3.4193095547203036
24,0.6,5.150993228411356,-3.7792658538758195,11.025760591318061
28,0.7,4.832700214177366,-2.606143216852355,8.548296227895072
32,0.8,4.550057473555515,-3.039490346871817,-7.159898706412715
36,0.9,4.184535997964341,-4.250754788087177,-15.767859168065161
40,1.0,3.6943676260382827,-5.531274216118617,-17.706877999575113
0,0.0,-5.751938464500208,-6.363425297543113,0.0
4,0.1,-6.405264226139567,-6.697522575114448,-9.874230392109453
8,0.2,-7.006532877742728,-5.350300418172236,7.459535053387896
12,0.3,-7.470343957995548,-3.9492678390398694,9.372214988793
16,0.4,-7.919065824263068,-5.007534645143682,-15.069886723715795
20,0.5,-8.48803015344585,-6.349391385995447,-19.10821070034819
24,0.6,-9.032811074906654,-4.575782269641616,12.288281948927342
28,0.7,-9.562493438013995,-5.994228166748684,-19.481282602146976
32,0.8,-10.189712411777661,-6.541039308065701,-11.740301150810112
36,0.9,-10.763099287676827,-4.953158480646498,10.14493951519702
40,1.0,-11.144280642500197,-2.707883627976686,18.640934978461345
0,0.0,5.818468286150235,-17.926570917676347,0.0
4,0.1,4.043868567512473,-17.571342934945466,-14.193717359071387
8,0.2,2.430933062517937,-14.734637707535512,12.237697224151496
12,0.3,1.119751311111888,-11.542195819595845,18.81260136533379
16,0.4,-0.017746480281243777,-11.213241663982123,-8.08543635779635
20,0.5,-1.129583982094865,-11.026618244342457,-9.252140821741897
24,0.6,-2.270475181410211,-11.778673575000404,-18.92946529973559
28,0.7,-3.356291133922773,-9.967821317263775,7.250363052237848
32,0.8,-4.302835688128652,-8.979538404162003,0.41738358895621275
36,0.9,-5.125485363058648,-7.498140938190436,6.587477910413035
40,1.0,-5.780849977834465,-5.640113324264955,12.026629991494133
0,0.0,-2.578233086266966,-6.636356777745771,0.0
4,0.1,-3.283626483401814,-7.457822353332636,-15.268589727219105
8,0.2,-4.077497912024434,-8.403841854640445,-17.398909299306595
12,0.3,-4.972769372843042,-9.483594483191359,-19.750240893697942
16,0.4,-5.806682169144823,-7.232178785363191,14.175029015260975
20,0.5,-6.4781368380050575,-6.213883354432865,3.468407620698283
24,0.6,-7.124132530798769,-6.697963837737594,-11.300761760987076
28,0.7,-7.6827015821619336,-4.509879190414855,16.29515595959304
32,0.8,-8.047803176066546,-2.8203075233255155,13.244700731844873
36,0.9,-8.251907041184309,-1.2873153906116521,13.288882675958867
40,1.0,-8.307019660812502,0.1609296034243048,13.931323744075769
0,0.0,9.538014124935987,-12.14827351480331,0.0
4,0.1,8.312494282254246,-12.358618178583322,-14.358645064618187
8,0.2,7.185351748180101,-10.219872327530897,10.116033169782085
12,0.3,6.279140598220764,-7.942303821674129,13.713573558973827
16,0.4,5.462078760509444,-8.39144843630021,-12.662064523374475
20,0.5,4.624846490340868,-8.35382393756047,-7.996077714288997
24,0.6,3.7803581320417607,-8.532958155596102,-10.236225763348244
28,0.7,2.9362640293012485,-8.351940359768669,-6.630763069131795
32,0.8,2.0506579470872666,-9.343655453720405,-18.77321176165841
36,0.9,1.0944467378958784,-9.773407391285653,-13.859631467567958
40,1.0,0.14984988990677578,-9.129263510971047,-3.004529676746781
0,0.0,-8.84565889230222,-10.231868539740693,0.0
4,0.1,-9.755446925465417,-8.001065971135148,13.210145354419652
8,0.2,-10.477905459934368,-6.47355892691755,8.05048509748293
12,0.3,-11.157461671171584,-7.107009546669017,-13.130068309890381
16,0.4,-11.908279790061187,-7.896201818280895,-15.400103905018678
20,0.5,-12.648700583959663,-6.928342362758939,2.274386616230828
24,0.6,-13.213132418496505,-4.402386576214972,19.61523952006742
28,0.7,-13.561259262562926,-2.590345949972333,14.639137821758695
32,0.8,-13.794786249793228,-2.088555574040406,2.6826338870129547
36,0.9,-13.999686006810988,-2.0107363374831895,-1.2708052046086884
40,1.0,-14.285068693380728,-3.6692796119793814,-19.43925961066272
0,0.0,7.673246957373848,-14.197141763236424,0.0
4,0.1,6.30120166797512,-13.259390606436192,-4.342941325986356
8,0.2,5.104369673792201,-10.71957252519922,13.429860870539187
12,0.3,4.024246186473248,-10.880220205969211,-12.407711680890689
16,0.4,3.071100852390947,-8.226901092322494,17.00173779564286
20,0.5,2.2962966298674137,-7.284881075657341,1.6721579414151861
24,0.6,1.5317824450627557,-7.993592727742695,-14.732258368901249
28,0.7,0.6807176008877539,-9.010754287865689,-18.682264042981387
32,0.8,-0.2627362135490509,-9.844429725458653,-17.771292520299518
36,0.9,-1.2939475632776773,-10.764465888118663,-19.51247512388855
40,1.0,-2.2859535893790555,-9.10333552677688,6.691243352401656
0,0.0,6.627597492227505,-10.253517713802585,0.0
4,0.1,5.694234392872564,-8.443899550492326,8.762550639552519
8,0.2,4.970304091294084,-6.07419497636135,16.457742725524525
12,0.3,4.443519765556055,-4.487924966633774,10.594856839895304
16,0.4,3.9333437151654365,-5.695473584385871,-17.177246681427274
20,0.5,3.4717750868535844,-3.571296041801057,16.626089142729363
24,0.6,3.1685542564036155,-2.510792678115403,7.5728253323568815
28,0.7,2.951660859898982,-1.8382818973470323,4.556173842637541
32,0.8,2.7075026962160935,-3.0251042988961974,-14.309805652320392
36,0.9,2.491498014001604,-1.3233472371088568,14.857523795728547
40,1.0,2.3935858994885075,-0.6461793047822832,5.792558178135042
0,0.0,-7.8591160489309715,-8.806536203815943,0.0
4,0.1,-8.654788139475269,-7.134763837142104,8.76100276129208
8,0.2,-9.412763362744302,-8.010153235987596,-16.33364622114857
12,0.3,-10.231848296321113,-8.36562194425992,-11.745536418495028
16,0.4,-11.117573710597012,-9.33276989463998,-18.528733646563573
20,0.5,-12.015997748847262,-8.647136194617646,-2.1279033822833426
24,0.6,-12.783336447787937,-6.731558755075292,11.482387406012649
28,0.7,-13.346031621912811,-4.558555415074234,16.103081658757922
32,0.8,-13.82029217802686,-4.9206222652123195,-8.363274062525088
36,0.9,-14.285588057204802,-4.394069731613627,0.6125665442037231
40,1.0,-14.672343521478258,-3.3582995143595538,6.490147529802378
0,0.0,-9.63444040218053,-6.134240698379491,0.0
4,0.1,-10.183836153589914,-4.874663780450512,7.101811665192841
8,0.2,-10.721878148860739,-5.86959667313811,-15.329748879587441
12,0.3,-11.272469851689852,-5.1541593519478655,1.648456183607955
16,0.4,-11.695101933762025,-3.328898239082619,14.026290307927425
20,0.5,-11.984741483704923,-2.4780708533608036,5.6118783577861535
24,0.6,-12.197254291143523,-1.7837552932222551,4.818027526996545
28,0.7,-12.382459836916059,-1.918116639597858,-3.195668921484277
32,0.8,-12.651532559883407,-3.4380104767265385,-17.889665600963337
36,0.9,-13.006507047995193,-3.6578164628396292,-5.747804742252086
40,1.0,-13.30113987620913,-2.2581637594994586,11.05019875125901
0,0.0,9.9308260754867,-6.90828395001779,0.0
4,0.1,9.28988415759761,-5.926907949045945,3.4043408308281684
8,0.2,8.703097642124249,-5.810757872464795,-4.706364388921509
12,0.3,8.078284580829097,-6.671165613865174,-14.852208026954825
16,0.4,7.41878554115009,-6.521312318474548,-5.09645744288353
20,0.5,6.71608306070489,-7.516159270696764,-16.9754943266741
24,0.6,5.952495726626664,-7.751663002686872,-9.99091066068356
28,0.7,5.124845718708135,-8.784132202965399,-18.601192081971035
32,0.8,4.3511105853632595,-6.724885523155921,12.855115464645344
36,0.9,3.7014993813917614,-6.274838096875529,-1.995637776911579
40,1.0,3.1088013567237884,-5.59052570263686,0.9161436957064524
0,0.0,-0.8277256709021792,-13.584092162594345,0.0
4,0.1,-2.133897367946225,-12.556466026712688,-2.7854556116268085
8,0.2,-3.2399838113814146,-9.614290922954018,18.360886603231933
12,0.3,-4.202837697273648,-9.642319726013652,-9.90882688952138
16,0.4,-5.067762863278474,-7.688737866417335,10.886566935912114
20,0.5,-5.7918450825387,-6.807589871650166,1.570657755066847
24,0.6,-6.374466974764862,-4.877018796045268,13.479491833784898
28,0.7,-6.751038087984206,-2.690833813427598,18.09613869398109
32,0.8,-6.913147903495193,-0.5864300486962643,19.422939492201657
36,0.9,-6.9734812910550374,-0.6196835695056019,-0.935869083693369
40,1.0,-7.004061477678029,-0.0022096796566955464,5.868937032257655
0,0.0,-5.4945777279303964,-10.91072263905528,0.0
4,0.1,-6.595315603336333,-11.100866335509647,-12.908815718606457
8,0.2,-7.643401468016197,-9.881175747335316,1.7160472349410405
12,0.3,-8.548568099137576,-8.2493494483051,7.266596679084891
16,0.4,-9.31439056589487,-7.086477850706084,3.9704913084137736
20,0.5,-10.081889192988534,-8.24420249556139,-19.252232719493193
24,0.6,-10.921215816929024,-8.537443448403332,-11.32567576782816
28,0.7,-11.725843204689017,-7.571205587788082,1.6161047285486134
32,0.8,-12.402013008811464,-5.978727375700713,9.163084079645248
36,0.9,-12.989556145528944,-5.775521557956559,-3.8433731897370613
40,1.0,-13.623104434265338,-6.877087837956077,-17.35114568736302
0,0.0,7.501611373725375,-2.0834679177480346,0.0
4,0.1,7.2768994132147435,-2.4054065427726843,-5.466505855351752
8,0.2,6.960219191617809,-3.903238188063352,-18.145118668875142
12,0.3,6.5517090469126344,-4.261002953501679,-7.662749101434461
16,0.4,6.225596404657437,-2.294027355706201,16.408629555403408
20,0.5,6.052236563762157,-1.1915411702207914,9.291263445902157
24,0.6,5.955423132584865,-0.7520510678462863,3.426766711973155
28,0.7,5.792764361740326,-2.4724557160060683,-18.830634190042282
32,0.8,5.514210371650758,-3.0883607129414767,-8.944589870249121
36,0.9,5.303475104746046,-1.1585035517297357,17.191218943070908
40,1.0,5.105095239379586,-2.7820393346326195,-18.21915648269271
0,0.0,-9.55572420607076,-10.464573446035992,0.0
