,0,1,2,3,4,5
1,4.0,0.1,5.344152193,-16.31649154,-19.33477953,1389.9250099704564
2,8.0,0.2,3.706186326,-16.44075508,-17.62229409,1093.2679826362494
3,12.0,0.3,2.214487708,-13.44316872,15.05887739,807.681011707702
4,16.0,0.4,1.031439326,-10.27066518,19.89455158,620.9244217231973
5,20.0,0.5,-0.029657293,-10.94011161,-17.30543042,512.3950254874671
6,24.0,0.6,-0.977733141,-8.06924516,19.22790599,391.210714283075
7,28.0,0.7,-1.806253686,-8.494086221,-12.53361605,323.29347289208044
8,32.0,0.8,-2.64849008,-8.352992828,-7.011430009,247.09596212766573
9,36.0,0.9,-3.509046736,-8.84986055,-13.57424378,170.06317248533236
10,40.0,1.0,-4.336788559,-7.723741435,2.983772922,78.50843126445946
12,4.0,0.1,-9.129224903,-11.70725057,-15.07867355,1873.4558493471723
13,8.0,0.2,-10.18494802,-9.444911088,12.06616369,1651.9165541287143
14,12.0,0.3,-10.99910511,-6.880956264,17.49797729,1458.2490809674177
15,16.0,0.4,-11.66162802,-6.377885064,-1.594517104,1288.390312593302
16,20.0,0.5,-12.21344844,-4.686704868,11.39359782,1111.7066142028839
17,24.0,0.6,-12.66486798,-4.347341103,-1.120557773,939.924018530191
18,28.0,0.7,-13.08632603,-4.086172054,-1.60289005,760.6194846649153
19,32.0,0.8,-13.38584912,-1.940052457,18.46596507,572.6579073640072
20,36.0,0.9,-13.56312578,-1.610964525,1.518112773,388.0081878348584
21,40.0,1.0,-13.79940745,-3.090022095,-17.15339243,201.4430768779916
23,4.0,0.1,-10.99280489,-14.93748294,-0.006981335,3168.458035322199
24,8.0,0.2,-12.36453751,-12.53716798,10.28582345,2824.487879146105
25,12.0,0.3,-13.46419931,-9.506569549,19.30936635,2513.896519530948
26,16.0,0.4,-14.29766511,-7.201163573,14.71940171,2240.3727337373766
27,20.0,0.5,-14.97539305,-6.367290697,1.561449413,1983.0094454010616
28,24.0,0.6,-15.63184349,-6.755253153,-10.44412897,1718.1924669576238
29,28.0,0.7,-16.28916247,-6.397094738,-2.991605637,1427.659091750942
30,32.0,0.8,-16.97967504,-7.396502695,-16.8992053,1121.3547081685015
31,36.0,0.9,-17.75767216,-8.1508691,-15.32363528,776.9091758885024
32,40.0,1.0,-18.52109226,-7.134469957,2.529790481,393.96351927015627
34,4.0,0.1,6.39117427,-17.905616,-18.08480134,1702.8963072864917
35,8.0,0.2,4.641957232,-17.09227815,-9.358791939,1339.8028141999894
36,12.0,0.3,2.988759657,-15.99004089,-5.509603164,1025.6711399665173
37,16.0,0.4,1.432074245,-15.15754005,-7.241845705,760.9052693802109
38,20.0,0.5,0.044713349,-12.63176707,11.38412081,528.8411907235895
39,24.0,0.6,-1.153811987,-11.35993334,0.733083987,368.62966109619094
40,28.0,0.7,-2.190079176,-9.398102184,9.255639668,238.2476064449425
41,32.0,0.8,-2.987907155,-6.605001312,19.95272894,144.6985006585688
42,36.0,0.9,-3.592894732,-5.512948084,4.870656507,90.15431219938134
43,40.0,1.0,-4.13998262,-5.430188762,-4.643285655,46.7342065932228
45,4.0,0.1,-1.241234029,-9.983402887,-3.935858079,1276.2550465314316
46,8.0,0.2,-2.251634807,-10.22065908,-12.47656974,1174.968596518434
47,12.0,0.3,-3.264787054,-10.04530788,-8.378010467,1064.658541222368
48,16.0,0.4,-4.255722586,-9.777859493,-7.234871428,952.7405410134862
49,20.0,0.5,-5.187955117,-8.881724231,-0.360972694,838.761113196747
50,24.0,0.6,-6.117317523,-9.692021179,-17.39659354,732.960558078779
51,28.0,0.7,-7.084563233,-9.653534357,-9.287588873,600.0905025334117
52,32.0,0.8,-8.035023094,-9.360545206,-6.574707109,456.2774442138875
53,36.0,0.9,-8.874920059,-7.468916002,10.51732239,303.879907671359
54,40.0,1.0,-9.677432058,-8.563090765,-18.96686761,168.77792502151075
56,4.0,0.1,0.070513507,-16.46754296,-10.29797325,2196.89390923988
57,8.0,0.2,-1.513822635,-15.23964149,-3.564346735,1925.1787246804763
58,12.0,0.3,-3.003965097,-14.57429502,-8.24795995,1690.576870128272
59,16.0,0.4,-4.471034486,-14.76393265,-16.56707015,1468.802844277597
60,20.0,0.5,-5.931753287,-14.45558171,-11.52367869,1229.4666485420846
61,24.0,0.6,-7.273190306,-12.40729115,7.068535417,984.653133057011
62,28.0,0.7,-8.511433984,-12.35839715,-11.89349676,777.5631411841434
63,32.0,0.8,-9.633107262,-10.1124939,11.24229973,551.6813762771245
64,36.0,0.9,-10.57441726,-8.73663328,4.345506212,355.99014136229437
65,40.0,1.0,-11.3172983,-6.163859911,18.2989233,167.74866278331223
67,4.0,0.1,-10.78442651,-12.19802168,19.24332277,2811.796438213975
68,8.0,0.2,-11.96575145,-11.4410905,-4.243937543,2544.849322802482
69,12.0,0.3,-13.07689997,-10.79268498,-4.627430039,2270.6815081807704
70,16.0,0.4,-14.09339015,-9.557698294,2.184965039,1983.0870807340377
71,20.0,0.5,-14.95218192,-7.649927897,10.48978631,1693.089967773682
72,24.0,0.6,-15.60056303,-5.355921373,16.45625415,1410.4506486914609
73,28.0,0.7,-16.10481646,-4.739420664,1.122472719,1137.033146581453
74,32.0,0.8,-16.49554587,-3.102445786,12.46245474,855.1996254157912
75,36.0,0.9,-16.74251272,-1.857634537,9.978444026,572.6948581207153
76,40.0,1.0,-16.91247692,-1.546828823,1.408415081,288.4344731423982
78,4.0,0.1,1.60906712,-14.91061956,-1.470208465,1421.1987695145012
