,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg,path_diff
0,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,422.484604540295,368.1471334104282,0.0,374.9619,2191.2596,16.989800000000002
1,0.1,390.2926,363.5065,341.3228,323.2554,308.9195,297.9205,289.8216,284.1641,280.514,278.5115,277.9113,278.6028,280.6103,284.0736,289.2133,296.2861,305.5407,317.1864,331.3881,348.3004,406.6809505925468,353.01776218534394,374.9619,197.37490000000003,1816.2976999999998,16.989800000000002
2,0.2,382.636,362.8849,346.4949,332.8409,321.5011,312.1898,304.7111,298.9266,294.7333,292.0488,290.8035,290.9366,292.3959,295.1407,299.1466,304.4139,310.9785,318.9252,328.4048,339.6532,361.0161599312235,434.97321925543906,572.3368,126.46759999999995,1618.9227999999998,16.989800000000002
3,0.3,348.6035,338.4535,330.0149,322.89,316.8171,311.6519,307.3469,303.9302,301.4871,300.148,300.0824,301.4983,304.6424,309.7999,317.2894,327.4577,340.6804,357.3817,378.0913,403.5611,218.20955211178497,201.40323493721615,698.8044,83.16089999999997,1492.4551999999999,16.989800000000002
4,0.4,234.7751,249.8241,262.8501,273.5718,281.9545,288.1802,292.5802,295.5496,297.4607,298.5875,299.0492,298.777,297.5079,294.8095,290.1369,282.9233,272.6939,259.1882,242.4631,222.945,265.41920072401297,274.3066631725246,781.9653,262.26159999999993,1409.2943,16.989800000000002
5,0.5,267.8169,270.1467,272.4685,274.7974,277.0974,279.2872,281.256,282.8838,284.0623,284.7127,284.799,284.3365,283.394,282.0897,280.5782,279.0292,277.5988,276.4005,275.4818,274.8148,262.92506296259864,413.5260021221258,1044.2269,298.7212000000002,1147.0327,16.989800000000002
6,0.6,265.5638,267.9939,270.2099,272.2086,273.9923,275.5743,276.9852,278.2839,279.5707,281.0026,282.8089,285.3015,288.8759,293.998,301.1749,310.9147,323.6867,339.903,359.9445,384.2551,429.58413869583114,234.01115174945366,1342.9481,204.41239999999993,848.3114999999998,16.989800000000002
7,0.7,395.9839,368.2235,345.4442,327.1422,312.923,302.3732,295.0138,290.3081,287.6899,286.5922,286.4599,286.749,286.9178,286.4242,284.7405,281.3908,276.0101,268.4108,258.639,246.9961,414.95834414269825,238.36702905706073,1547.3605,290.5001,643.8990999999999,16.989800000000002
8,0.8,389.5046,368.751,351.6379,337.443,325.6542,315.8883,307.8354,301.2214,295.7851,291.2653,287.3982,283.9207,280.5792,277.1395,273.3973,269.1866,264.3852,258.9169,252.7493,245.888,267.9715171555964,451.5155885908933,1837.8606,264.14350000000013,353.3989999999999,16.989800000000002
9,0.9,275.6556,282.6321,288.408,292.6706,295.3157,296.4373,296.29,295.2428,293.7386,292.2701,291.373,291.6304,293.6765,298.1878,305.854,317.3321,333.2037,353.965,380.0922,412.2248,379.1849468671538,401.6552330892097,2102.0041,89.25549999999976,89.25549999999976,16.989800000000002
0,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,406.98063786673686,233.50244019749658,0.0,435.688,2161.6635,14.451300000000003
1,0.1,378.3932,354.4349,334.5053,318.2262,305.272,295.2813,287.8307,282.4497,278.6537,275.9775,273.9975,272.3409,270.6843,268.7479,266.2919,263.1181,259.0776,254.082,248.1115,241.2158,257.9844002868372,447.20045072046184,435.688,353.731,1725.9755,14.451300000000003
2,0.2,265.4561,272.1122,277.5339,281.4729,283.878,284.8838,284.7724,283.9258,282.7857,281.8304,281.5702,282.5557,285.3852,290.6985,299.1502,311.3647,327.8912,349.1923,375.7045,408.0152,383.56689204330974,390.3741054927382,789.419,147.15570000000002,1372.2445,14.451300000000003
3,0.3,361.3288,342.6736,327.2542,314.8395,305.2138,298.1309,293.3134,290.477,289.3625,289.7621,291.5303,294.5826,298.8842,304.4389,311.2851,319.5035,329.2367,340.7218,354.3295,370.6133,397.86488714531106,270.0074764574561,936.5747,105.15240000000006,1225.0888,14.451300000000003
4,0.4,375.5911,357.2968,342.2479,329.9481,320.0415,312.2513,306.3394,302.0802,299.243,297.5776,296.8043,296.6061,296.63,296.4976,295.8308,294.2902,291.6245,287.7183,282.6286,276.5936,324.0273761389308,291.6400984087846,1041.7271,168.10410000000002,1119.9364,14.451300000000003
5,0.5,319.6478,316.2247,313.3674,310.7894,308.3147,305.8673,303.4469,301.0984,298.8829,296.8549,295.0516,293.4904,292.1751,291.1042,290.2801,289.7134,289.4247,289.4416,289.7951,290.5169,387.42585078516106,419.74631668954237,1209.8312,162.45159999999987,951.8323,14.451300000000003
6,0.6,367.3128,350.7603,337.1802,326.1451,317.3068,310.3567,305.0168,301.051,298.2859,296.6346,296.1156,296.8625,299.122,303.2364,309.6133,318.687,330.883,346.6046,366.2633,390.3747,362.2099426638217,189.3784011548518,1372.2828,120.89340000000016,789.3807000000002,14.451300000000003
7,0.7,349.1739,338.5153,329.7339,322.4636,316.4432,311.4905,307.4732,304.2777,301.775,299.7849,298.0433,296.1771,293.6938,289.9948,284.4192,276.3206,265.1714,250.6776,232.877,212.1879,279.0143736988272,366.78522105768104,1493.1762,215.69349999999986,668.4873,14.451300000000003
8,0.8,283.3937,287.5118,291.0379,293.7441,295.5218,296.3758,296.4027,295.7642,294.6655,293.346,292.0823,291.1998,291.0826,292.172,294.9444,299.8675,307.3443,317.6629,330.9766,347.3361,193.5949016632075,308.1605587691481,1708.8697,187.7092,452.79380000000015,14.451300000000003
9,0.9,211.687,228.1636,242.6132,254.7993,264.6792,272.3874,278.1932,282.447,285.5265,287.7924,289.5563,291.0622,292.4805,293.9135,295.4099,296.9891,298.6694,300.4971,302.5699,305.0494,266.47707492698015,380.35605917285517,1896.5789,265.08460000000014,265.08460000000014,14.451300000000003
0,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,324.14991762849036,362.15760456595683,0.0,392.2938,2736.1102,14.9803
1,0.1,313.7316,304.6976,297.0319,290.7105,285.6751,281.8271,279.0381,277.1728,276.1169,275.8035,276.2335,277.4875,279.7257,283.1758,288.1085,294.8045,303.5201,314.4616,327.7838,343.6207,458.6314258724327,269.087455310278,392.2938,260.35470000000004,2343.8164,14.9803
2,0.2,419.3189,387.3774,361.2751,340.1049,323.246,310.1803,300.4071,293.4202,288.7153,285.8069,284.2397,283.5913,283.4682,283.5032,283.3604,282.7508,281.4592,279.3729,276.5037,272.9923,253.42431800770112,367.8432580094444,652.6485,227.56859999999995,2083.4617000000003,14.9803
3,0.3,264.1924,273.8638,281.8654,287.8616,291.7848,293.811,294.2962,293.6996,292.5119,291.2053,290.2089,289.906,290.6453,292.7533,296.5392,302.2891,310.2518,320.6277,333.574,349.2403,320.4761072215605,437.6502776770422,880.2171,139.91140000000007,1855.8931000000002,14.9803
4,0.4,312.7734,306.316,301.064,296.9655,293.942,291.8917,290.7088,290.3099,290.6613,291.7995,293.8434,296.9954,301.5339,307.7986,316.1718,327.0628,340.9034,358.1681,379.4351,405.5108,176.00006516464333,215.85925108009445,1020.1285,132.72350000000006,1715.9817,14.9803
5,0.5,197.8022,217.6842,235.0976,249.745,261.6033,270.8879,277.9777,283.3211,287.3439,290.3707,292.5702,293.9246,294.2268,293.1072,290.0901,284.6797,276.4658,265.2358,251.0661,234.3676,422.46835066731205,286.8364161080019,1152.852,306.3467999999998,1583.2582,14.9803
6,0.6,388.8085,360.7974,337.8662,319.6882,305.9205,296.0819,289.5381,285.5583,283.4014,282.399,282.0151,281.8753,281.7689,281.6293,281.5002,281.4933,281.7429,282.3653,283.4273,284.9341,253.53753104661973,261.05724681648053,1459.1988,281.403,1276.9114000000002,14.9803
7,0.7,262.3611,270.2669,276.8218,281.7755,285.0833,286.8841,287.446,287.0973,286.1614,284.9079,283.5241,282.1082,280.678,279.1897,277.5619,275.7002,273.5199,270.964,268.014,264.6927,443.7426760493655,240.0587807262322,1740.6018,343.93730000000005,995.5084000000002,14.9803
8,0.8,407.5251,377.8861,353.661,334.1346,318.7501,306.96,298.1752,291.7769,287.1556,283.7525,281.0869,278.7656,276.4771,273.978,271.079,267.6356,263.5439,258.7411,253.2068,246.9615,318.69168779184326,258.3833995421891,2084.5391,356.09169999999995,651.5711000000001,14.9803
9,0.9,315.3744,312.7306,310.2862,307.7054,304.8055,301.5441,297.9843,294.2501,290.4821,286.8048,283.3076,280.0409,277.0213,274.2419,271.6816,269.31,267.0877,264.9626,262.8658,260.7084,356.00789774038157,372.78093617901834,2440.6308,295.47940000000017,295.47940000000017,14.9803
0,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,318.268680398132,423.90247915188377,0.0,376.3917,2512.6379,21.36099999999999
1,0.1,309.0776,301.0915,294.309,288.7185,284.2777,280.9114,278.5256,277.0324,276.3815,276.5905,277.7705,280.1404,284.0277,289.8507,298.0843,309.2143,323.6954,341.935,364.3287,391.3762,182.78287575917437,450.79349020520505,376.3917,214.07359999999994,2136.2462,21.36099999999999
2,0.2,201.8994,219.2329,234.3125,246.8968,257.0002,264.8711,270.9346,275.7223,279.8067,283.7507,288.0787,293.2652,299.7381,307.8903,318.097,330.739,346.2366,365.1035,388.0361,416.062,215.85109805020744,336.57416108585625,590.4653,242.45000000000005,1922.1726,21.36099999999999
3,0.3,224.6728,232.7528,240.2241,247.1988,253.7662,259.9973,265.9526,271.6885,277.2595,282.7132,288.0812,293.3683,298.5466,303.5598,308.3421,312.8513,317.1111,321.2556,325.5636,330.4733,179.43445952802654,340.16592904659205,832.9153,330.6167999999999,1679.7226,21.36099999999999
4,0.4,195.1186,209.471,222.3922,233.8529,243.8984,252.6407,260.2392,266.8782,272.7463,278.0215,282.8636,287.4147,291.8044,296.1591,300.612,305.3134,310.4401,316.2043,322.8619,330.7228,212.60948027921364,298.25122599755537,1163.5321,428.95050000000015,1349.1058000000003,21.36099999999999
5,0.5,220.5096,227.7054,234.3859,240.6949,246.7229,252.5101,258.0576,263.3422,268.3297,272.9838,277.2699,281.1554,284.6085,287.5996,290.1073,292.1307,293.705,294.9181,295.9227,296.94,321.4310677532886,352.8805326148787,1592.4826,403.24839999999995,920.1553000000001,21.36099999999999
6,0.6,308.5756,297.3198,287.9263,280.5751,275.3115,272.0345,270.5211,270.4755,271.5854,273.574,276.2376,279.4671,283.2528,287.6753,292.8875,299.0893,306.5029,315.3541,325.8666,338.2781,309.8695685638457,441.8171424435569,1995.731,231.66119999999978,516.9069000000002,21.36099999999999
7,0.7,303.2896,297.5901,292.727,288.6828,285.4595,283.0731,281.5506,280.9312,281.2717,282.6565,285.2096,289.1059,294.5786,301.9192,311.4703,323.6158,338.777,357.432,380.1776,407.8606,446.3947778737964,376.9660037513442,2227.3922,106.83430000000044,285.2457000000004,21.36099999999999
8,0.8,410.1836,380.6685,356.6073,337.2664,322.1372,310.7822,302.7692,297.6605,295.0298,294.4857,295.6896,298.362,302.2835,307.2931,313.2922,320.2568,328.259,337.4932,348.3044,361.217,398.72776033633545,446.68986255005717,2334.2265,92.43309999999974,178.41139999999996,21.36099999999999
