,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg
0,0.0,247.0,265.0,251.0,250.0,269.0,268.0,267.0,255.0,245.0,268.0,267.0,248.0,255.0,252.0,256.0,254.0,251.0,259.0,243.0,248.0,323.0000015000001,323.00000150000017,0.0,0.0,938.4856856894664
1,0.1,385.43923122576325,354.8360800748646,332.2173379103345,314.2461487570376,299.1487355790445,287.98551805966815,279.4178850294538,273.81254254037765,270.4825801616483,267.7717125782252,268.11002784151276,271.29337127769435,275.738432506583,283.70840647233064,294.9448948658189,310.41850567815237,330.3170507200392,355.03568106355516,388.28786762026795,430.2521575995898,414.2873892865354,473.0,590.6569841906503,590.6569841906503,938.4856856894664
2,0.2,318.67146022583023,314.0454390159716,308.89684880819664,303.69779716944925,299.0315188264728,295.027945349895,291.83834670265526,289.5859867585463,288.51483462561043,288.9606809705909,291.0818550731704,295.14643194383393,301.46871959168226,310.18177336975793,321.55325517026637,335.84651889710574,353.4617765666064,374.95213693598606,400.9664042054701,432.7965859458294,327.7083960390562,473.0,746.2861071385345,155.62912294788418,347.82870149881614
3,0.3,309.84244013543383,305.82741902159665,302.5003936825538,299.79842780099256,297.7292860143476,296.3338574127176,295.67428849250484,295.84676516866807,296.97430944692786,299.20039012598914,302.6932946802633,307.62899739568405,314.1967217188632,322.6195034071397,333.15864483514025,346.15023240524664,362.044555018022,381.47679871315916,405.38431905126447,435.1688775523252,315.0869871753872,473.0,798.3586285037584,52.072521365223906,192.19957855093196
4,0.4,307.11588091399847,303.80599580744666,301.24170146622413,299.38327959838534,298.22492280551586,297.7748946897421,298.06158956595493,299.1364521403116,301.0738930858409,303.97005051484695,307.94234960767835,313.13291293315,319.71490040235875,327.90332651824207,337.9734515140936,350.2871482267347,365.33291016085906,383.7861308848211,406.6060901169981,435.21214735313384,311.4212881612874,471.8470805401033,827.9661140785329,29.6074855747745,140.12705718570805
5,0.5,308.0530101641968,304.66750349309905,302.1393978269203,300.4075959488076,299.4332209648611,299.2032083966557,299.7251644793758,301.02414510235076,303.14178992710504,306.1369455192103,310.0876608341934,315.0952667934371,321.29210841103253,328.85471775634807,338.02371972810556,349.1300096170835,362.623206186075,379.0983487023912,399.3417083236818,424.5424531085244,312.3261588618966,457.278979366797,849.5880644715264,21.62195039299354,110.51957161093355
6,0.6,311.7810647417523,307.70617313509666,304.6484916434214,302.5152675038475,301.23078454039774,300.7572973347235,301.0824199606419,302.2113491936638,304.16643093069797,306.990579181839,310.7522441401726,315.5514252822128,321.5273081422809,328.8686280190573,337.8282424295669,348.744168314917,362.0712706489089,378.43146203212996,398.6950875383037,424.11163780994997,316.7560242962799,456.5433626386186,870.0359307592539,20.447866287727493,88.89762121794001
7,0.7,315.988290236337,311.2000956539363,307.5496613263528,304.92270007889334,303.22472639576796,302.4030785408959,302.43308374590464,303.3093508553388,305.04494212568096,307.67471900267884,311.2602765542623,315.8957787533166,321.715260141509,328.90263846162264,337.7061181943996,348.4591366227862,361.61086195214256,377.77157976955465,397.78582657582683,422.8700859026098,321.79953816441196,454.9234659178346,889.681649660702,19.64571890144805,68.44975493021252
8,0.8,315.31261805433206,311.0327019530554,307.74396868369234,305.3587249937432,303.81976220992203,303.0886092368194,303.14694384352816,303.9978403684502,305.6661646278556,308.1995413089415,311.6708399094992,316.18267335922724,321.87438522434536,328.93228590003275,337.60436753512,348.2214074232915,361.2275467495959,377.22603228194737,397.05258459950414,421.9082770234194,320.77548203532666,453.64374215849074,908.7984414128344,19.116791752132485,48.80403602876447
9,0.9,314.441226651693,310.4188193681845,307.3527721934741,305.15357546950577,303.76275566113014,303.14304277315,303.27858084611233,304.1756557504614,305.8631582034553,308.39361383360733,311.84554758095396,316.3277181119683,321.98572842761763,329.0117491673854,337.65861412298614,348.2604937634203,361.26401993903175,377.276628724807,397.143735132544,422.0743653261205,319.6049219015771,453.85044600499225,927.8576756666912,19.059234253856744,29.687244276631986
