,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg,path_diff
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,472.0,471.0,0.0,352.0918,1239.1881,-40.0
1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.1,427.7969,391.8848,362.5556,338.8477,320.1088,305.7697,295.2585,288.0058,283.4981,281.3448,281.3342,283.4643,287.9432,295.1577,305.6175,319.8887,338.5395,362.1349,391.3208,427.0473,174.0,472.0,352.0918,105.5543,887.0963000000002,-7.2303
2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,0.2,199.9921,223.5078,243.5829,259.7045,271.8522,280.4375,286.1813,289.9695,292.7235,295.3041,298.4572,302.7952,308.8092,316.8991,327.4159,340.7138,357.2132,377.4844,402.3696,433.1747,245.0,473.0,457.6461,119.72250000000004,781.5420000000001,-32.5625
3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,0.3,249.9102,254.5262,259.0311,263.5547,268.1708,272.9116,277.7926,282.8417,288.1226,293.75,299.8939,306.7773,314.6713,323.8927,334.8102,347.8627,363.5957,382.7253,406.2434,435.5958,250.0,472.0,577.3686,110.59939999999996,661.8195000000001,-40.08839999999998
4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,0.4,254.5443,258.7877,262.8534,266.8539,270.8906,275.0556,279.4367,284.1232,289.2128,294.8182,301.0742,308.1452,316.2329,325.5885,336.5288,349.4609,364.9206,383.6329,406.6108,435.3236,250.0,472.0,687.968,98.51890000000004,551.2201000000001,-37.94439999999997
5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,0.5,254.8942,259.4589,263.794,267.9975,272.1658,276.3957,280.7862,285.4407,290.4712,296.002,302.1758,309.1601,317.1575,326.4176,337.2554,350.0772,365.419,384.008,406.86,435.4472,250.0,473.0,786.4869,92.58310000000006,452.7012000000001,-36.60430000000002
6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,0.6,255.046,259.7555,264.222,268.5385,272.798,277.0954,281.5293,286.2046,291.2355,296.7499,302.8946,309.8422,317.8002,327.024,337.8344,350.6435,365.9938,384.6192,407.5443,436.254,247.0,472.0,879.07,90.2559,360.1181,-35.904600000000016
7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,0.7,252.7104,258.0209,263.0129,267.7724,272.3909,276.9673,281.6079,286.4275,291.5511,297.1165,303.2785,310.2153,318.1379,327.3028,338.0302,350.7305,365.9437,384.4003,407.1192,435.5754,249.0,472.0,969.3259,90.38419999999996,269.86220000000003,-36.03269999999998
8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,0.8,254.2566,259.1635,263.8163,268.3086,272.732,277.1784,281.7425,286.5249,291.6365,297.2028,303.3692,310.3081,318.2276,327.3838,338.0982,350.7835,365.9817,384.4251,407.1336,435.5818,248.0,472.0,1059.7101,89.35889999999995,179.4780000000001,-35.82159999999999
9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,0.9,253.5108,258.6456,263.4918,268.1382,272.676,277.2003,281.8115,286.6175,291.7362,297.2992,303.4568,310.3846,318.2925,327.4377,338.1421,350.8182,366.0083,384.4443,407.1459,435.5878,246.0,471.0,1149.069,90.11910000000012,90.11910000000012,-35.79969999999997
10,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,472.0,473.0,0.0,351.7936,1240.9445,-40.0
11,11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,0.1,427.797,391.8849,362.5558,338.8482,320.11,305.7721,295.2632,288.0148,283.5147,281.3745,281.3851,283.5485,288.0773,295.364,305.9242,320.3299,339.1562,362.9762,392.4485,428.5462,171.0,471.0,351.7936,105.14059999999996,889.1509000000001,-7.227899999999977
12,12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,0.2,197.5579,221.5982,242.1371,258.6501,271.114,279.9451,285.8736,289.797,292.6479,295.2969,298.4959,302.8611,308.8836,316.9612,327.4409,340.6721,357.0709,377.2033,401.9066,432.478,245.0,473.0,456.9342,122.61460000000004,784.0103000000001,-33.054899999999975
13,13,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,0.3,249.8015,254.3209,258.751,263.2272,267.8249,272.5731,277.4818,282.5713,287.8981,293.5706,299.7544,306.6702,314.5884,323.8269,334.7561,347.8172,363.5577,382.6954,406.2225,435.5851,250.0,473.0,579.5488,112.20169999999996,661.3957,-40.42689999999999
14,14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,0.4,254.5075,258.7165,262.7524,266.7292,270.7491,274.905,279.2844,283.9763,289.0776,294.7009,300.9809,308.0822,316.2082,325.6119,336.6128,349.6214,365.1776,384.0116,407.144,436.0565,252.0,472.0,691.7505,98.21590000000003,549.1940000000001,-38.09500000000003
15,15,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,0.5,256.4885,260.6895,264.7093,268.6499,272.6081,276.6779,280.9527,285.5293,290.512,296.018,302.1833,309.17,317.1756,326.4458,337.2925,350.1196,365.4618,384.0457,406.8879,435.462,249.0,471.0,789.9664,91.08439999999996,450.9781,-36.32209999999998
16,16,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,,,,,,,,,,,,,,,,,,,,,,0.6,254.3076,259.2509,263.9145,268.3862,272.7584,277.1292,281.6031,286.2921,291.3171,296.8112,302.9237,309.8274,317.7273,326.8743,337.5827,350.2571,365.4311,383.8278,406.4566,434.778,247.0,473.0,881.0508,90.81169999999996,359.8937000000001,-35.870799999999974
17,17,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,0.7,252.6944,257.9911,262.9733,267.7273,272.3443,276.9216,281.5636,286.3837,291.5057,297.0675,303.2254,310.1608,318.0892,327.2728,338.0381,350.802,366.1104,384.6991,407.5933,436.277,249.0,473.0,971.8625,90.70659999999998,269.0820000000001,-36.07839999999999
