,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg,path_diff
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,321.719550830896,387.4605705201628,0.0,384.9775,2224.8829,-40.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,311.8093,303.2085,295.9076,289.888,285.0982,281.449,278.8263,277.1146,276.2258,276.1282,276.8682,278.584,281.5053,285.9396,292.2427,300.7803,311.8891,325.8528,342.9113,363.3181,228.945114131826,438.089321391299,384.9775,221.8876,1839.9054,-31.550999999999988
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.2,239.4152,248.8201,256.9103,263.5673,268.8241,272.8561,275.9508,278.4686,280.8049,283.362,286.5335,290.6996,296.2287,303.483,312.8236,324.6185,339.2592,357.1965,379.0105,405.5378,295.2837539388677,354.7190044902723,606.8651,161.03780000000006,1618.0178,-40.14389999999997
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.3,290.3167,286.0765,282.7334,280.4044,279.1368,278.9105,279.6553,281.2732,283.6605,286.7209,290.37,294.533,299.1406,304.1303,309.4569,315.114,321.165,327.7761,335.2459,344.0239,470.4199845919337,194.2108415409824,767.9029,182.20399999999995,1456.98,-34.08949999999999
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.4,427.748,393.2972,365.393,343.0794,325.699,312.6664,303.3665,297.13,293.2486,290.9997,289.6633,288.5284,286.8919,284.0643,279.3911,272.2967,262.3507,249.3425,233.3459,214.7464,185.87550412731724,381.3715100432984,950.1069,266.8326,1274.776,-0.3335999999999899
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.5,210.2781,232.3213,251.0621,265.9672,276.9454,284.2884,288.557,290.4552,290.7239,290.0732,289.1566,288.577,288.9084,290.7122,294.5357,300.8847,310.1818,322.7284,338.6995,358.1963,326.71368690082534,411.422857379094,1216.9395,183.5671,1007.9434,-28.711599999999976
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.6,315.5758,306.0884,298.3781,292.4998,288.3977,285.909,284.8009,284.8268,285.7815,287.5437,290.0976,293.5349,298.04,303.8679,311.3191,320.7207,332.4198,346.7956,364.3014,385.5447,374.1999938806854,324.78516504296937,1400.5066,99.46170000000006,824.3763000000001,-27.091000000000008
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.7,355.3819,339.6526,326.6507,316.1323,307.8984,301.7548,297.4952,294.8999,293.7426,293.7969,294.8397,296.6522,299.0209,301.7423,304.6367,307.57,310.4835,313.423,316.5614,320.2058,205.3232994378282,228.80309573959045,1499.9683,154.10899999999992,724.9146000000001,-11.245200000000011
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.8,223.5384,240.0408,254.2729,265.9264,274.9644,281.585,286.1464,289.0757,290.7821,291.5889,291.6911,291.1384,289.8421,287.602,284.1503,279.2078,272.5466,264.0501,253.7582,241.8855,410.3421539759147,274.38965257146515,1654.0773,298.67790000000014,570.8056000000001,-31.41500000000002
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.9,380.916,356.427,336.3503,320.3466,308.0663,299.06,292.7705,288.5788,285.8706,284.1001,282.8325,281.7637,280.7174,279.6276,278.5095,277.4273,276.4596,275.6695,275.0824,274.677,244.33721983750272,329.6959069729125,1952.7552,272.1277,272.1277,-13.939999999999998
10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,294.4610855953646,241.39413840755327,0.0,455.7593,4352.581499999999,-40.0
11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,1.0,0.1,290.1533,286.3765,283.1475,280.4684,278.3169,276.6443,275.3786,274.431,273.7015,273.0835,272.4649,271.7276,270.747,269.393,267.5356,265.055,261.8546,257.8754,253.106,247.5853,336.09432248677507,289.8559768759709,455.7593,451.4763,3896.822199999999,-36.35570000000001
12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,2.0,0.2,323.8499,313.2991,304.3198,296.8098,290.6543,285.7124,281.8188,278.7974,276.4795,274.7225,273.4248,272.5354,272.0555,272.0328,272.5465,273.6868,275.5293,278.1115,281.4168,285.3711,288.47921446510884,438.5827744748136,907.2356,320.9311,3445.3459,-27.2876
13,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,3.0,0.3,287.7329,287.1323,286.5027,285.7313,284.7786,283.6795,282.5361,281.5076,280.8042,280.686,281.4678,283.5249,287.2936,293.2606,301.9387,313.8326,329.4116,349.1089,373.3802,402.8498,191.1592602092482,189.3325468784085,1228.1667,243.9127000000001,3124.4148,-29.32049999999998
14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,4.0,0.4,208.4957,224.2326,237.9931,249.5783,258.9858,266.3873,272.0755,276.3936,279.6612,282.106,283.8104,284.6759,284.4139,282.5665,278.563,271.8114,261.8176,248.3142,231.3685,211.4363,422.03863410119993,206.06737573449152,1472.0794,464.4855,2880.5021,-46.61270000000002
15,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,5.0,0.5,388.1798,359.9025,336.6108,317.9621,303.6097,293.0769,285.7345,280.8461,277.6422,275.3935,273.4617,271.3261,268.5864,264.953,260.2303,254.2995,247.1038,238.6358,228.9272,218.0417,195.4658327903867,229.34305455565547,1936.5649,524.1676,2416.0166,-19.923099999999977
16,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,6.0,0.6,215.0737,232.6819,247.5665,259.3125,267.8418,273.3695,276.3137,277.1896,276.5151,274.7434,272.2276,269.2148,265.8601,262.249,258.4194,254.3771,250.1021,245.5494,240.6452,235.2862,233.13503056426512,339.5179634013808,2460.7325,589.9575,1891.849,-39.630499999999984
17,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,7.0,0.7,239.3997,245.0244,250.0361,254.4424,258.2329,261.3899,263.9063,265.8052,267.1596,268.108,268.8647,269.7215,271.0398,273.2293,276.7128,281.8806,289.0412,298.3819,309.955,323.7016,197.7788813954459,291.7370896261795,3050.69,526.8071,1301.8915000000002,-51.61009999999999
18,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,8.0,0.8,210.1782,221.3672,231.2339,239.7338,246.8994,252.8349,257.7004,261.69,265.0084,267.85,270.3814,272.7307,274.9818,277.176,279.3206,281.4047,283.4196,285.3801,287.3421,289.4106,330.0382526569256,382.24650723810726,3577.4971,479.47440000000006,775.0844000000002,-60.1651
19,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,9.0,0.9,315.0342,301.8958,290.8614,282.0931,275.6153,271.3018,268.9053,268.1147,268.6206,270.1742,272.6288,275.9602,280.2668,285.752,292.6935,301.4056,312.2032,325.3808,341.2181,360.0268,218.28489149974823,318.14613034851453,4056.9715,295.6100000000001,295.6100000000001,-41.69819999999999
20,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,214.2019722155765,297.38924798310927,0.0,466.1913,4487.4136,-40.0
21,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,1.0,0.1,225.5907,235.8236,244.7068,252.1385,258.1219,262.7563,266.2143,268.7125,270.4825,271.7503,272.7241,273.5902,274.5141,275.6437,277.1097,279.0239,281.4746,284.5211,288.1915,292.4863,221.26597474842671,240.95806390564707,466.1913,535.8634,4021.2223,-50.24369999999999
22,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,2.0,0.2,229.1053,236.1509,242.4364,247.9968,252.8684,257.0895,260.7004,263.7403,266.2431,268.2301,269.7011,270.6264,270.9424,270.5531,269.3407,267.1847,263.9881,259.7039,254.3567,248.0504,218.1639869922633,319.3852246869035,1002.0547,619.5061,3485.3589,-55.91050000000001
23,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,3.0,0.3,226.0574,233.1198,239.3844,244.8887,249.6757,253.7946,257.3023,260.2658,262.7676,264.9123,266.8344,268.7053,270.7359,273.1708,276.2729,280.2978,285.463,291.9195,299.7366,308.9081,400.963650896767,367.5477743848094,1621.5608,461.5881999999999,2865.8528,-59.2054
24,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,4.0,0.4,371.0049,345.5675,324.3254,307.1183,293.7641,283.9698,277.3218,273.3323,271.508,271.4172,272.7375,275.2792,278.9835,283.9039,290.1757,297.9825,307.5278,319.0179,332.6662,348.7247,198.21263451665143,177.12569228200715,2083.149,317.5245,2404.2646,-29.03019999999998
25,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,5.0,0.5,216.1546,232.2792,245.9995,257.0062,265.2933,271.1176,274.9106,277.1699,278.3527,278.7893,278.6247,277.7921,276.0171,272.8541,267.752,260.1465,249.571,235.7689,218.7848,199.0045,210.44197191660265,293.07065321918566,2400.6735,571.1367,2086.7401,-41.88240000000002
26,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,6.0,0.6,220.9571,230.4771,238.9579,246.3677,252.6898,257.9244,262.092,265.2372,267.4338,268.7921,269.4662,269.6615,269.6368,269.6962,270.1682,271.3683,273.5527,276.8714,281.3365,286.8172,442.9862556892181,247.66652954158283,2971.8102,526.9479000000001,1515.6034,-55.07560000000001
27,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,7.0,0.7,403.5171,370.7095,343.6148,321.7261,304.6367,291.8666,282.8114,276.7734,273.0287,270.8948,269.7781,269.1922,268.7543,268.1682,267.2061,265.6957,263.5168,260.6036,256.9492,252.6043,360.3807863259776,325.7421268453952,3498.7581,388.9072999999999,988.6554999999998,-21.133399999999995
28,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,8.0,0.8,346.5302,334.8769,324.8509,316.0516,308.2265,301.244,295.0608,289.6882,285.1655,281.5429,278.8787,277.2436,276.7291,277.4515,279.5449,283.1447,288.3614,295.256,303.8264,314.015,191.52178127788403,283.47732365196595,3887.6654,292.5641000000005,599.7482,-11.755999999999972
