,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg,path_diff
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,473.0,471.0,0.0,352.188,1035.2191000000005,3.7182999999999993
1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.1,428.5462,392.4484,362.9761,339.1559,320.3294,305.923,295.3617,288.0728,283.5402,281.3703,281.349,283.4727,287.9477,295.16,305.6187,319.8893,338.5398,362.135,391.3209,427.0473,371.0,371.0,352.188,104.4191,683.0311000000002,3.7182999999999993
2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,0.2,356.6258,344.8246,334.9078,326.4052,319.0438,312.7177,307.4466,303.3262,300.4792,299.0132,298.9906,300.4129,303.221,307.3105,312.5616,318.8809,326.2505,334.7759,344.7286,356.5753,373.0,372.0,456.6071,79.79670000000004,578.6120000000001,3.7182999999999993
3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,0.3,357.5729,344.9861,334.6851,326.2673,319.4397,313.9906,309.7705,306.6765,304.6414,303.625,303.6081,304.5891,306.5846,309.6316,313.794,319.1707,325.9076,334.2122,344.373,356.7868,374.0,372.0,536.4038,74.61519999999996,498.8153,3.7182999999999993
4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,0.4,358.5223,345.935,335.6808,327.352,320.647,315.3407,311.266,308.3006,306.3587,305.3847,305.3504,306.2527,308.1137,310.9827,314.939,320.0982,326.6206,334.7235,344.6999,356.9454,371.0,371.0,611.019,71.90949999999998,424.2001,3.7182999999999993
5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,0.5,356.3505,344.4626,334.797,326.9567,320.6475,315.6519,311.8108,309.0107,307.1741,306.2531,306.2259,307.0943,308.8842,311.6471,315.4641,320.4517,326.7708,334.6387,344.3474,356.2899,372.0,371.0,682.9285,70.60670000000005,352.29060000000004,3.7182999999999993
6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,0.6,357.1183,345.0466,335.2436,327.31,320.9477,315.9322,312.0954,309.3136,307.4997,306.5975,306.5793,307.4439,309.2163,311.9496,315.7277,320.6708,326.943,334.7645,344.429,356.3299,374.0,371.0,753.5352,70.87009999999998,281.6839,3.7182999999999993
7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,0.7,358.7072,346.3067,336.2408,328.0989,321.5744,316.4354,312.5068,309.6582,307.796,306.8587,306.8138,307.6562,309.4083,312.1214,315.8783,320.7986,327.0468,334.8431,344.4816,356.3562,373.0,373.0,824.4053,71.00139999999999,210.8138,3.7182999999999993
8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,0.8,358.0074,345.8598,336.0016,328.0237,321.6215,316.5674,312.6923,309.8731,308.0245,307.0931,307.0543,307.9107,309.6924,312.4582,316.2987,321.3411,327.7571,335.7744,345.6945,357.9205,372.0,371.0,895.4067,69.62819999999999,139.81240000000005,3.7182999999999993
9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,0.9,357.2347,345.2742,335.5719,327.7246,321.4315,316.468,312.6674,309.9082,308.1061,307.2075,307.1861,308.0408,309.7959,312.5026,316.2424,321.1331,327.3376,335.0762,344.6447,356.44,374.0,371.0,965.0349,70.18420000000003,70.18420000000003,3.7182999999999993
10,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,473.0,473.0,0.0,351.8898,1023.4787,3.574599999999976
11,11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,0.1,428.5462,392.4485,362.9763,339.1565,320.3305,305.9254,295.3664,288.0818,283.5568,281.3999,281.3999,283.5568,288.0818,295.3664,305.9254,320.3305,339.1565,362.9763,392.4485,428.5462,374.0,374.0,351.8898,103.5079,671.5889,3.574599999999976
12,12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,0.2,358.9459,346.5921,336.2289,327.3722,319.7378,313.2095,307.797,303.5866,300.6929,299.2169,299.2169,300.6929,303.5866,307.797,313.2095,319.7378,327.3722,336.2289,346.5921,358.9459,371.0,372.0,455.3977,77.94550000000004,568.081,3.574599999999976
13,13,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,0.3,356.1141,343.9782,334.0461,325.9207,319.3156,314.0282,309.9203,306.9015,304.9167,303.9357,303.9462,304.9501,306.9638,310.0217,314.1829,319.542,326.241,334.4861,344.5679,356.8881,374.0,371.0,533.3432,73.36569999999995,490.1355,3.574599999999976
14,14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,0.4,358.5022,345.8991,335.6372,327.3111,320.6194,315.3359,311.2905,308.357,306.4453,305.4959,305.4763,306.3799,308.2252,311.0579,314.9542,320.0267,326.4328,334.3877,344.182,356.2079,372.0,374.0,606.7089,71.99380000000008,416.7698,3.574599999999976
15,15,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,0.5,357.1252,345.0544,335.2415,327.2848,320.8865,315.8256,311.9395,309.1113,307.2614,306.3413,306.3304,307.2349,309.0873,311.9487,315.9115,321.1046,327.7009,335.9292,346.0931,358.5987,373.0,371.0,678.7027,69.8513999999999,344.77599999999995,3.574599999999976
16,16,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,,,,,,,,,,,,,,,,,,,,,,0.6,357.9232,345.6964,335.7693,327.737,321.2974,316.2236,312.3456,309.5384,307.7133,306.8125,306.8058,307.6885,309.4813,312.2318,316.0182,320.9554,327.2038,334.9821,344.5855,356.4116,373.0,373.0,748.5541,70.28820000000007,274.92460000000005,3.574599999999976
17,17,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,0.7,357.9762,345.8,335.9188,327.9252,321.5158,316.4627,312.5958,309.7907,307.9599,307.0482,307.0292,307.904,309.7014,312.4794,316.3279,321.374,327.7895,335.8024,345.715,357.9313,371.0,374.0,818.8423,69.00519999999995,204.6364,3.574599999999976
18,18,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,,,,,,,,,,,,,,,,,,,,,,0.8,356.4521,344.6678,335.108,327.3749,321.1722,316.2794,312.5342,309.8201,308.0578,307.1994,307.225,308.1412,309.9808,312.8049,316.7057,321.8125,328.2992,336.3973,346.4143,358.7619,372.0,374.0,887.8475,67.74610000000007,135.63120000000004,3.574599999999976
19,19,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,,,,,,,,,,,,,,,,,,,,,,0.9,357.1855,345.1814,335.4465,327.5813,321.287,316.339,312.569,309.8535,308.1061,307.2723,307.3265,308.2706,310.1337,312.9739,316.8812,321.9833,328.4537,336.5244,346.5046,358.8088,373.0,373.0,955.5936,67.88509999999997,67.88509999999997,3.574599999999976
20,20,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,472.0,471.0,0.0,352.0918,1024.852,3.8707999999999743
21,21,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,,,,,,,,,,,,,,,,,,,,,,0.1,427.7969,391.8848,362.5556,338.8477,320.1088,305.7697,295.2585,288.0058,283.4981,281.3448,281.3342,283.4643,287.9432,295.1577,305.6175,319.8887,338.5395,362.1349,391.3208,427.0473,372.0,372.0,352.0918,104.34970000000004,672.7602000000002,3.8707999999999743
