,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg,path_diff
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,194.9666329442805,282.9609292221481,0.0,484.8822,4702.5459,-20.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,209.9687,223.5145,235.3111,245.1978,253.1618,259.3241,263.9054,267.1828,269.4487,270.9791,272.0151,272.7556,273.3587,273.9473,274.6161,275.436,276.4581,277.7143,279.2189,280.9713,460.8620013832829,263.8497389999493,484.8822,481.287,4217.6637,-34.725900000000024
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.2,417.0163,380.9061,351.2645,327.4254,308.8909,295.11,285.4085,279.0169,275.1432,273.0492,272.1044,271.8095,271.7932,271.7931,271.6315,271.194,270.4146,269.2672,267.7607,265.9344,263.93937419450185,267.48401939078326,966.1692,372.7240999999999,3736.3767,-0.0899999999999749
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.3,271.0493,277.36,282.3789,285.8165,287.6139,287.9206,287.0344,285.3256,283.1642,280.8652,278.6591,276.6844,274.999,273.6006,272.449,271.4862,270.6497,269.8806,269.1267,268.3418,203.7787112262255,302.60600736850785,1338.8933,398.25940000000014,3363.6526000000003,-8.52940000000001
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.4,218.589,231.9872,243.6502,253.3853,261.1473,267.0285,271.2306,274.0277,275.7292,276.6518,277.1,277.3565,277.6789,278.2981,279.4153,281.1965,283.7644,287.1912,291.4962,296.6528,366.37153486991673,245.0354307839468,1737.1527,413.47080000000005,2965.3932,-30.771500000000003
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.5,345.2143,327.1125,312.0304,299.9377,290.7072,284.0745,279.6526,276.9792,275.5731,274.9815,274.8068,274.7133,274.4194,273.6855,272.3066,270.113,266.9816,262.8523,257.7417,251.7473,334.6791423120524,211.49464391262848,2150.6235,418.8035,2551.9224,-15.1755
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.6,324.6542,316.0933,308.7205,302.3325,296.783,291.964,287.7866,284.1614,280.9824,278.1155,275.3934,272.616,269.557,265.975,261.631,256.3081,249.8343,242.103,233.0871,222.8422,245.50736330372493,264.7757458337811,2569.427,481.7329,2133.1189,-8.836000000000013
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.7,253.9068,261.4135,267.7104,272.5987,276.0156,278.0246,278.7847,278.5117,277.4419,275.8057,273.8141,271.6566,269.5051,267.5171,265.8348,264.5744,263.8094,263.5511,263.734,264.2129,319.89714316131403,203.61456337508088,3051.1599,508.3136,1651.386,-24.425399999999968
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.8,310.3403,302.0612,295.066,289.328,284.7604,281.2115,278.4778,276.3262,274.5166,272.8159,271.0029,268.8637,266.1846,262.747,258.3309,252.7289,245.7705,237.3495,227.4482,216.1469,323.4364307145496,234.3440853019276,3559.4735,557.9885999999997,1143.0724,-22.988499999999988
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.9,314.6681,307.0899,300.5326,294.8567,289.9371,285.6531,281.884,278.5081,275.4059,272.4654,269.5878,266.6943,263.7291,260.6601,257.4734,254.1634,250.7176,247.1018,243.2467,239.0428,303.7818440328134,174.9166536729722,4117.4621,585.0838000000003,585.0838000000003,-20.396900000000016
