 ,t  ,x0      ,x1      ,x2      ,x3      ,x4      ,x5      ,x6      ,x7      ,x8      ,x9      ,x10     ,x11     ,x12     ,x13     ,x14     ,x15     ,x16     ,x17     ,x18     ,x19     ,u0                ,u1                ,L        ,inst_cost         ,ctg               ,path_diff
0,0.0,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,221.2467661793464 ,215.87071366980837,0.0      ,504.9524          ,3347.619          ,-20.0
1,0.1,231.2978,240.3102,248.1208,254.6428,259.8761,263.8976,266.8382,268.8517,270.0827,270.6398,270.576 ,269.8792,268.4715,266.2197,262.9552,258.503 ,252.716 ,245.5089,236.884 ,226.9421,190.27644847968313,323.65694347118404,504.9524 ,649.3217000000001 ,2842.6666         ,-30.1524
2,0.2,204.0899,216.5846,227.6007,237.0481,244.916 ,251.2687,256.2334,259.9855,262.7363,264.7277,266.2317,267.5546,269.0378,271.0501,273.9674,278.1384,283.8428,291.2537,300.4172,311.2642,356.6129726877965 ,268.9491005332079 ,1154.2741,560.8691999999999 ,2193.3449         ,-43.93129999999999
3,0.3,335.6285,317.4182,302.1074,289.7917,280.4356,273.8357,269.6401,267.4035,266.6529,266.9416,267.8835,269.1623,270.5258,271.7719,272.7379,273.2967,273.3624,272.9012,271.9415,270.5756,311.1489619753155 ,305.2537250925488 ,1715.1433,413.60180000000014,1632.4757000000002,-22.614300000000014
4,0.4,304.8934,299.4247,294.5824,290.2628,286.4163,283.0369,280.1463,277.7767,275.9577,274.7097,274.0445,273.9719,274.5082,275.6822,277.5369,280.124 ,283.4938,287.6839,292.7113,298.5723,285.1940174551051 ,427.69326976573404,2128.7451,301.59479999999985,1218.8739         ,-14.763100000000009
5,0.5,284.4666,283.8781,283.3161,282.71  ,282.0398,281.3386,280.6891,280.2204,280.1048,280.5596,281.8512,284.2998,288.2795,294.2089,302.5323,313.6931,328.1136,346.1963,368.3727,395.2225,353.2857093283011 ,376.80466953299924,2430.3399,146.07860000000028,917.2791000000002 ,-17.911400000000015
6,0.6,337.8725,324.804 ,313.9261,305.1315,298.3106,293.3312,290.0386,288.2708,287.8754,288.7246,290.7208,293.7968,297.9113,303.0474,309.2159,316.4685,324.9189,334.7706,346.3488,360.1342,332.8399387317845 ,232.6759713962823 ,2576.4185,124.13479999999981,771.2004999999999 ,-7.4687999999999874
7,0.7,324.1755,316.9545,310.942 ,305.9696,301.9217,298.7201,296.3043,294.6101,293.5467,292.9756,292.6925,292.4161,291.7884,290.39  ,287.7744,283.5205,277.2994,268.9427,258.4966,246.2436,205.51358185268157,342.25795598973264,2700.5533,229.00459999999975,647.0657000000001 ,-3.7298999999999864
8,0.8,222.5835,238.0536,251.4462,262.4859,271.1195,277.493 ,281.8986,284.7128,286.3421,287.1874,287.6284,288.0263,288.7338,290.1032,292.484 ,296.2062,301.554 ,308.7385,317.885 ,329.0477,409.96565126071516,360.72549989646666,2929.5579,216.57790000000023,418.06110000000035,-26.706999999999994
9,0.9,380.2291,355.4293,335.0755,318.869 ,306.509 ,297.6032,291.6612,288.1422,286.5225,286.3575,287.3218,289.2233,291.9951,295.6737,300.3701,306.2438,313.4817,322.2901,332.8994,345.588 ,189.61012078797958,184.92482019733163,3146.1358,201.48320000000012,201.48320000000012,-8.446799999999996
0,0.0,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,251.21880567892575,242.26841526363816,0.0      ,473.8319          ,5063.3905         ,-20.0
1,0.1,255.5027,259.3109,262.5926,265.3232,267.5091,269.1851,270.4054,271.2313,271.7182,271.9036,271.7985,271.3827,270.6048,269.3868,267.6342,265.2503,262.1529,258.291 ,253.6569,248.2897,173.01850965067737,238.0059026208196 ,473.8319 ,610.1965999999999 ,4589.5586         ,-24.864900000000034
2,0.2,191.2131,207.7314,222.2165,234.4607,244.4211,252.2032,258.0207,262.1468,264.867 ,266.4422,267.0866,266.9582,266.1604,264.7502,262.7498,260.1594,256.9679,253.1623,248.7338,243.6803,414.66110156216905,259.05595123793546,1084.0285,663.6363000000001 ,3979.3620000000005,-42.99679999999998
3,0.3,380.6067,351.8001,327.8204,308.4584,293.4655,282.4344,274.7871,269.8337,266.86  ,265.211 ,264.3482,263.8753,263.5352,263.1889,262.7826,262.3137,261.7986,261.2464,260.642 ,259.9378,303.10506392350305,292.7162366456342 ,1747.6648,470.1287000000002 ,3315.7257000000004,-14.015600000000006
4,0.4,300.1844,297.6251,295.1081,292.427 ,289.5019,286.368 ,283.1443,279.9943,277.089 ,274.5803,272.5893,271.207 ,270.5015,270.5275,271.331 ,272.9471,275.393 ,278.6569,282.6914,287.4137,194.42370147241988,296.84853966315984,2217.7935,416.7339999999999 ,2845.597          ,-11.432000000000016
5,0.5,211.4874,226.8887,240.1726,251.0793,259.5661,265.7886,270.0521,272.7493,274.3017,275.1126,275.5367,275.8661,276.3287,277.0933,278.279 ,279.9644,282.1967,284.9986,288.3764,292.3272,241.36482610181503,190.3939836794309 ,2634.5275,525.7107999999998 ,2428.8630000000003,-33.461400000000026
6,0.6,245.3465,248.9297,252.2507,255.3965,258.3979,261.235 ,263.8485,266.1528,268.0445,269.4017,270.076 ,269.881 ,268.5833,265.9038,261.5363,255.184 ,246.6115,235.7028,222.5087,207.2688,334.53765402129306,298.39769474636637,3160.2383,609.1689999999999 ,1903.1522000000004,-39.565
7,0.7,320.1495,307.6033,296.9646,288.2616,281.4324,276.3086,272.6321,270.0948,268.3878,267.2492,266.502 ,266.0769,266.0183,266.4715,267.6507,269.7918,273.0966,277.6793,283.5315,290.5163,436.0279508621198 ,262.45306540757576,3769.4073,444.4234000000006 ,1293.9832000000006,-26.141399999999976
8,0.8,401.7394,373.4515,350.0152,330.7273,315.0887,302.6697,293.0489,285.7986,280.496 ,276.7408,274.1704,272.4656,271.3503,270.5856,269.9664,269.32  ,268.5102,267.4431,266.0721,264.3966,209.9315500123958 ,281.5073987270768 ,4213.8307,374.66469999999936,849.5598          ,-1.530300000000011
9,0.9,227.9971,244.1936,257.8013,268.4118,275.9586,280.6769,283.0174,283.5423,282.83  ,281.4037,279.6916,278.0136,276.5898,275.5593,275.0007,274.9493,275.4078,276.3517,277.7322,279.4792,184.12221679104124,217.6371845857684 ,4588.4954,474.89510000000064,474.89510000000064,-25.373100000000022
0,0.0,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,175.78759060570582,206.1220713002171 ,0.0      ,539.9797          ,2696.3501         ,-20.0
1,0.1,194.3448,211.1761,225.8756,238.2111,248.1424,255.7989,261.4306,265.3456,267.8499,269.1983,269.561 ,269.0082,267.5106,264.9549,261.1711,255.9717,249.1958,240.7525,230.6545,219.0322,458.26098567052736,220.32252380152966,539.9797 ,676.0878000000001 ,2156.3704000000002,-38.25110000000001
2,0.2,414.3463,378.0291,348.1292,324.031 ,305.2492,291.2087,281.1807,274.3216,269.7572,266.6714,264.3697,262.309 ,260.0983,257.4781,254.2913,250.4512,245.9139,240.6553,234.6552,227.8886,237.781442238451  ,396.5589609618345 ,1216.0675,495.22839999999997,1480.2826         ,-3.991299999999967
3,0.3,249.5155,259.8933,268.3319,274.4995,278.3472,280.084 ,280.1118,278.9481,277.1567,275.3045,273.9442,273.6191,274.8734,278.2555,284.3002,293.4914,306.2162,322.7343,343.1926,367.7114,395.01852914171127,321.1109085151344 ,1711.2959,269.40419999999995,985.0542          ,-16.365999999999985
4,0.4,369.2936,347.682 ,329.7537,315.2315,303.8551,295.3178,289.2606,285.3008,283.0709,282.2494,282.5754,283.8444,285.8943,288.5903,291.8165,295.4806,299.5303,303.976 ,308.9121,314.5291,255.68125585448436,411.6005587278024 ,1980.7001,178.0545000000002 ,715.6500000000001 ,-2.4822000000000344
5,0.5,263.6174,270.7556,276.7314,281.3424,284.5726,286.5785,287.6477,288.1462,288.4702,289.0118,290.1438,292.2199,295.5837,300.5776,307.5477,316.8407,328.802 ,343.7843,362.1839,384.5232,320.2445842544936 ,440.42242613559654,2158.7546,112.05499999999984,537.5954999999999 ,-12.67149999999998
6,0.6,311.9849,305.0136,299.3411,294.9624,291.8387,289.897 ,289.0468,289.2039,290.3157,292.3809,295.4601,299.6788,305.224 ,312.3368,321.3073,332.4748,346.2399,363.0985,383.7081,409.0075,289.17248143269273,342.05887054628863,2270.8096,60.4387999999999  ,425.54050000000007,-10.90300000000002
