,x_0,x_1,x_2,x_3,u_0,u_1,obj
0,10000.0,10000.0,10000.0,10000.0,3915000.0000000005,0.0,40000.0
1,312709.9334189177,12907979.220741605,-38915.58898862043,26202627.594867263,451939960.0879718,0.0,39462232.338016406
2,5003833.509301814,24084690.77801794,569535.7492762721,52068559.2986709,1172560604.4377227,0.0,81726619.33526693
3,6506790.425927837,-8637205.491060505,1523020.6019730808,-13648875.434619226,739764693.1486813,0.0,30315891.953580648
4,3179614.7014089623,-50656449.084650174,1932930.782386815,-101732010.2001005,-351214570.89052427,0.0,157501004.76854646
5,-3648400.9718432073,-14196778.300342726,1956935.798912957,-35379842.122853465,302030957.7804139,0.0,55181957.19395235
6,-2681116.103748916,30358115.219391894,1512313.4756288796,55743787.47024744,648842163.6831592,0.0,90295332.26901713
7,-1336160.591247461,18395779.531422276,1386031.0995532311,33456894.00396784,373153569.46331125,0.0,54574865.226190805
8,385780.4164386874,-224068.08950134183,1285467.4458190626,-1760167.0018727898,285505728.6526831,0.0,3655482.9536318816
9,-467540.5698137178,-11479114.81423238,1223011.9720087687,-24948433.345325124,-111647004.9310542,0.0,38118100.701379985
10,-1571276.9072022839,-14904189.60857166,1116702.7623446938,-32672017.35525123,-241964225.21925646,0.0,50264186.63336987
11,-2757391.55591404,2580688.4116386715,423711.3758544684,2466381.0103200646,-150176276.83299473,0.0,8228172.353727245
12,-1540901.373083808,14436129.373074887,-126174.25213804367,28392318.731559396,-52625647.70646254,0.0,44495523.72985613
13,171394.74583320558,21665125.34208554,-262408.5073205182,44771646.48733191,270219200.1864439,0.0,66870575.08257118
14,1532355.0362661218,-4691760.036538647,-350381.81377541035,-6593000.688531852,-255704665.91226843,0.0,13167497.57511203
15,215594.7595681635,-12232068.14085536,-397135.13634826976,-23020387.221880224,-264132892.03858075,0.0,35865185.25865202
16,352505.496559211,7405014.790759845,-494455.18181801616,16530623.157414803,208621765.58220485,0.0,24782598.626551874
17,3244465.158673085,15222160.106256183,-318160.6905166967,34557469.92362707,458410983.7659361,0.0,53342255.87907304
18,4231169.513460669,-4945271.942521186,149945.23120873506,-5771453.264604267,304955944.4741833,0.0,15097839.951794855
19,4658270.0016707815,9135675.657200761,383446.8668394138,22351007.504244823,999799925.2809932,0.0,36528400.02995578
20,6154134.133727302,-407719.12396651506,1624395.5529437524,2426025.5222575497,1058121426.0001454,0.0,10612274.332895119
21,4107688.7602270334,-31846031.173743647,2554562.7584373746,-64123989.350165226,437620373.9526847,0.0,102632272.04257327
22,3002993.86637123,-23754040.22075938,2885819.1855179137,-49579258.318066895,802185288.1857208,0.0,79222111.59071542
23,-4374867.361641513,-47839804.15525518,3048472.284345709,-105022849.54624043,-766430600.4494084,0.0,160285993.34748283
24,-11559985.094400581,-51397826.2989015,1952158.496653003,-116939326.91629305,-1790111041.0273201,0.0,181849296.80624813
25,-16641681.545544082,-56038253.44729196,965327.3539645317,-129302001.874685,-2789653474.0431023,0.0,202947264.22148558
26,-13672336.676135043,78265912.73804596,-3062619.2567325057,149866738.9496563,-521376960.9917711,0.0,244867607.62056983
27,2505087.7002858175,145309331.3464195,-4725332.466464361,302808553.9844198,1460945521.8807337,0.0,455348305.4975895
28,12078511.652957583,118737132.94881766,-4487371.148080348,258450541.94360974,1704050267.3341093,0.0,393753557.69346535
29,17707660.689476624,-44163411.29301749,-1626748.924788684,-67963507.65828663,152485593.00456706,0.0,131461328.56556943
30,6972634.938085121,-98019270.71917318,361515.85958190856,-190387101.13687095,-636873367.9043878,0.0,295740522.65371114
