,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg,path_diff
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,374.6666064828317,371.5036707148832,0.0,369.0796,692.1654,-40.0
1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.1,357.3408,340.8074,325.7516,312.6694,301.8277,293.2719,286.8727,282.3969,279.5853,278.2205,278.1771,279.4472,282.1407,286.4599,292.6507,300.9355,311.4374,324.1114,338.6983,354.717,350.3307005720913,374.9941402097669,369.0796,148.24439999999993,323.08579999999995,-19.728099999999984
2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,0.2,342.351,334.4963,326.9014,319.7176,313.1123,307.2632,302.3482,298.535,295.9713,294.7798,295.0545,296.8608,300.234,305.1771,311.6567,319.5961,328.87,339.3003,350.6558,362.6584,273.98307861059754,345.47467854246133,517.324,51.8777,174.84140000000002,-5.7368000000000166
3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,0.3,280.572,286.7125,292.0358,296.3144,299.4906,301.6712,303.0913,304.0627,304.916,305.9519,307.4048,309.4229,312.0637,315.3016,319.047,323.1711,327.534,332.0121,336.5173,341.006,289.70527300589515,335.0382412681202,569.2017,28.73530000000005,122.96370000000002,-11.3288
4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,0.4,291.2704,292.8633,294.5068,296.215,297.9936,299.843,301.7624,303.7544,305.8265,307.9895,310.2537,312.6229,315.09,317.6346,320.2244,322.8204,325.385,327.8905,330.3259,332.6999,289.98341471024366,339.1823904505893,597.937,25.43179999999996,94.22839999999997,-13.156999999999982
5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,0.5,291.6814,293.3937,295.1338,296.9141,298.7451,300.6356,302.5926,304.6216,306.7272,308.9133,311.1842,313.5443,315.9992,318.5546,321.2156,323.9853,326.8624,329.8395,332.9015,336.0256,283.66815393192,343.5322666520009,623.3688,21.945400000000063,68.79660000000001,-12.36439999999999
6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,0.6,286.5709,289.4349,292.2282,294.9301,297.5342,300.0483,302.4915,304.8911,307.2786,309.6864,312.1457,314.6856,317.3322,320.1082,323.0312,326.112,329.3523,332.7425,336.2604,339.8717,288.0931089143913,351.47677152506753,645.3142,18.03639999999996,46.85119999999995,-12.951700000000017
7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,0.7,290.0378,292.0095,294.0319,296.1228,298.2933,300.5486,302.8907,305.3209,307.8434,310.4674,313.2088,316.0903,319.1397,322.3877,325.8626,329.5856,333.5639,337.7861,342.2187,346.8065,281.6445153498372,355.89995832728295,663.3506,12.807500000000005,28.81479999999999,-12.451399999999978
8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,0.8,284.8884,288.0973,291.2427,294.3082,297.2918,300.2061,303.0758,305.9344,308.8202,311.7731,314.8321,318.0337,321.4107,324.9908,328.7943,332.8318,337.1007,341.5835,346.2461,351.0388,290.1983093028214,355.539406637692,676.1581,8.97199999999998,16.007299999999987,-12.793900000000008
9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,0.9,291.8262,293.5177,295.3289,297.3018,299.462,301.8193,304.3712,307.1082,310.0176,313.0881,316.3113,319.6817,323.1962,326.8517,330.6439,334.565,338.6034,342.7425,346.9616,351.2363,277.171683673427,365.9373432902412,685.1301,7.035300000000007,7.035300000000007,-11.180700000000002
