,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg,path_diff
0,,,,,,,,,,,,,,,,,,,,,,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,372.99945975357844,372.99995898738655,0.0,368.7879,959.4225000000001,-40.0
1,,,,,,,,,,,,,,,,,,,,,,0.1,355.9578,339.6957,324.887,312.0199,301.3573,292.9442,286.6546,282.2609,279.5107,278.1944,278.1944,279.5107,282.2609,286.6547,292.9443,301.3574,312.0201,324.8873,339.696,355.9583,318.3859196004458,273.26344190396543,368.7879,174.4187,590.6346000000001,-20.055799999999977
2,,,,,,,,,,,,,,,,,,,,,,0.2,315.7682,313.0339,310.1082,306.9874,303.7497,300.5446,297.5645,295.0069,293.0347,291.7403,291.1208,291.0642,291.3515,291.6763,291.6829,291.0212,289.4121,286.7097,282.9452,278.3376,243.3128167087554,372.9998404598272,543.2066,158.16449999999998,416.21590000000003,-12.455399999999997
3,,,,,,,,,,,,,,,,,,,,,,0.3,253.3534,262.8385,271.2948,278.3946,283.9887,288.1046,290.918,292.7093,293.8207,294.6219,295.4912,296.808,298.9502,302.2856,307.1513,313.8157,322.4291,332.9736,345.2289,358.7692,258.6082492489176,372.9999597447382,701.3711,99.09860000000003,258.05140000000006,-24.895399999999995
4,,,,,,,,,,,,,,,,,,,,,,0.4,262.7525,266.8598,270.8935,274.8199,278.6131,282.2633,285.7855,289.2263,292.6673,296.2225,300.031,304.2443,309.011,314.4602,320.6864,327.736,335.5995,344.2075,353.4333,363.1013,305.3197290899601,372.9998260644205,800.4697,59.04020000000003,158.95280000000002,-30.736699999999985
5,,,,,,,,,,,,,,,,,,,,,,0.5,301.2751,297.5912,294.5816,292.4777,291.411,291.4169,292.4539,294.4327,297.2452,300.7879,304.9762,309.7492,315.0667,320.9017,327.2307,334.0251,341.2444,348.8322,356.715,364.8043,282.06378016316256,372.9998346062321,859.5099,21.802299999999946,99.9126,-21.5831
6,,,,,,,,,,,,,,,,,,,,,,0.6,284.3952,286.6924,288.9375,291.1419,293.3496,295.6333,298.0838,300.7966,303.8587,307.3396,311.2857,315.7194,320.641,326.0324,331.8604,338.0806,344.64,351.4787,358.5313,365.729,267.52059727776475,372.99971856632055,881.3122,13.144499999999994,78.11030000000005,-17.36669999999998
7,,,,,,,,,,,,,,,,,,,,,,0.7,272.4253,277.2445,281.9093,286.3804,290.6546,294.7636,298.7673,302.7431,306.7743,310.9398,315.3064,319.9245,324.826,330.0249,335.5184,341.2896,347.3093,353.5389,359.9322,366.4375,271.40193863747095,372.99995617996046,894.4567,12.051000000000045,64.96580000000006,-18.236400000000003
8,,,,,,,,,,,,,,,,,,,,,,0.8,275.2526,279.1236,283.0341,287.0001,291.0355,295.1518,299.3603,303.6729,308.1025,312.6638,317.3714,322.2387,327.2762,332.4894,337.8777,343.4337,349.1427,354.9833,360.9283,366.9456,346.1899449031043,273.1632762973602,906.5077,8.805899999999951,52.914800000000014,-17.84820000000002
9,,,,,,,,,,,,,,,,,,,,,,0.9,337.4742,329.3536,322.3423,316.8109,312.9525,310.7819,310.1599,310.8319,312.4663,314.6842,317.0775,319.2171,320.6601,320.9648,319.7209,316.596,311.3946,304.1133,294.9784,284.4466,277.94079157401484,273.9527000910706,915.3136,44.10890000000006,44.10890000000006,-2.2180999999999926
10,,,,,,,,,,,,,,,,,,,,,,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,372.9991107911528,372.9998917015797,0.0,368.788,960.4572,-40.0
11,,,,,,,,,,,,,,,,,,,,,,0.1,355.9575,339.6954,324.8869,312.0198,301.3572,292.9442,286.6545,282.2608,279.5107,278.1944,278.1944,279.5107,282.2609,286.6546,292.9443,301.3574,312.0201,324.8873,339.696,355.9582,318.30869404201604,273.36114115575873,368.788,174.38260000000002,591.6691999999999,-20.055799999999977
12,,,,,,,,,,,,,,,,,,,,,,0.2,315.7041,312.9824,310.0681,306.9573,303.7279,300.5294,297.5544,295.0008,293.0315,291.7396,291.1225,291.0687,291.3595,291.6891,291.7021,291.0487,289.4501,286.7603,283.0103,278.4186,243.2669304896886,372.999980661438,543.1706,158.07639999999992,417.2865999999999,-12.47059999999999
