,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg,path_diff
0,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,445.13741648059175,118.4340192126601,0.0,471.95392429,4268.11883254,-40.0
1,0.1,394.93275171,351.42193213,318.62984672,297.01059094,284.44876546,277.96368541,274.96480986,273.71232211,273.23365644,273.05484025,272.95488216,272.79130259,272.36066898,271.23581981,268.54301214,262.71990422,251.44036173,232.0279549,202.58321846,163.51389441,138.8045213368075,302.66330440587376,471.95392429,473.581344,3796.16490825,-35.03631459000002
2,0.2,192.32127863,236.36224608,265.70415514,280.65300273,285.19048552,284.10302219,281.03779211,277.97766043,275.59959737,273.84420466,272.33640897,270.60275932,268.18163619,264.75724895,260.41559974,256.01427962,253.45885875,255.47327523,264.51609112,281.10152158,303.31181280097155,387.45677237794814,945.53526829,527.0596336799999,3322.5835642499997,-28.89697781000001
3,0.3,289.74569865,279.57662177,274.35038322,273.34037306,274.55670505,276.08630348,276.83539107,276.5356267,275.3807547,273.67330522,271.65281234,269.50598737,267.49566793,266.14659761,266.4335958,269.89584016,278.54776067,294.42517582,318.71268027,350.73172388,297.2310423871804,83.24010557059415,1472.59490197,497.1651374800001,2795.5239305699997,-36.913696519999974
4,0.4,291.50661202,286.35596787,282.20644548,279.23264394,277.3317068,276.19429947,275.43680941,274.73314362,273.89947886,272.92135702,271.93564144,271.17205656,270.82454041,270.78580185,270.18921082,266.83460313,256.86613533,235.36604269,198.37238544,145.79229642,436.60686110160105,343.6605520969627,1969.76003945,496.80839959000014,2298.35879309,-36.805700530000024
5,0.5,391.61836043,352.30146827,322.11769791,301.55291877,288.91646852,281.73423905,277.79594513,275.56306112,274.12532613,272.98503517,271.83843597,270.41865336,268.43647044,265.67924941,262.33573155,259.51644308,259.68242773,266.40076736,282.91503549,309.8561547,425.83315212837823,434.9123968206922,2466.56843904,488.20371996999984,1801.5503934999997,-31.265760950000015
6,0.6,396.30024808,368.4586872,343.74474601,323.11447416,306.91485243,294.90835043,286.43766149,280.65170944,276.70747497,273.90497279,271.76354987,270.07725375,268.98893856,269.1021044,271.60967533,278.3586283,291.69724502,313.92248441,346.27692372,387.81923706,443.8724758013183,195.97480734085974,2954.77215901,367.9984455099998,1313.3466735299999,-18.091649570000016
7,0.7,413.82284181,385.49125596,360.18866386,338.62213207,320.94203935,306.91632952,296.10815152,288.00782663,282.12744622,278.0767804,275.62282986,274.7124612,275.4136455,277.71249647,281.12039002,284.15494043,283.99319601,276.83579199,259.40708823,231.20515507,245.0713230891333,241.7131394884946,3322.77060452,307.0762220200004,945.3482280200001,-6.083670480000023
8,0.8,277.51181382,303.1603593,318.19032416,322.69324237,319.48120898,312.12695899,303.55937439,295.59440779,289.09048999,284.29411327,281.11754299,279.27820329,278.33170827,277.66920055,276.55683996,274.27231338,270.32547741,264.65241999,257.62453365,249.81772367,107.58870222558997,349.6321947490217,3629.84682654,329.36973537999984,638.2720059999997,-0.8730410100000086
9,0.9,166.31681213,217.53101182,256.36548863,281.65578782,295.19040404,300.14809411,299.75988421,296.60757742,292.45055999,288.32273075,284.71284649,281.74990284,279.38631639,277.60245106,276.65063179,277.30424391,280.97350899,289.4535517,304.14240599,324.94997553,198.6077512575896,190.69000474710538,3959.21656192,308.90227061999985,308.90227061999985,-12.851905890000012
0,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,121.57806112395684,462.8656460383983,0.0,478.60665759,4523.1658778,-40.0
1,0.1,165.74096582,204.01557224,232.8613702,251.87890883,262.92901497,268.63368166,271.27174711,272.37385106,272.79625294,272.95842547,273.06284575,273.25835373,273.78584267,275.16720098,278.47489775,285.62786167,299.48341378,323.32921241,359.49851566,407.4904574,139.9822355888305,298.9987246149399,478.60665759,459.40048765,4044.55922021,-44.36631834000002
2,0.2,166.12972086,190.84975964,212.8667035,231.24933322,245.58117418,256.00088931,263.08241838,267.62729019,270.47429769,272.39317761,274.06930593,276.1412682,279.22668644,283.85851978,290.26695993,298.02059599,305.71396399,311.08032551,311.86626049,307.27502671,404.2544796968798,467.4397420180576,938.00714524,499.86382759,3585.1587325600003,-56.99911069000001
3,0.3,349.16103585,303.43069807,272.43852115,256.27973292,251.36457457,253.05219434,257.55516424,262.59288735,267.19531757,271.22520382,274.95667481,278.81130265,283.24720354,288.79014252,296.20806464,306.78422389,322.4983238,345.75624919,378.37190287,420.05365851,314.54874237871417,115.65593282188092,1437.87097283,369.8706933000001,3085.29490497,-59.94780566
4,0.4,304.98912343,295.06987946,285.1223478,276.18931618,269.43249293,265.51358312,264.38942415,265.51746881,268.2144482,271.94027674,276.41902095,281.60307394,287.49416291,293.79464114,299.35541625,301.51551327,295.74659711,276.35122239,238.79046543,183.03238652,128.6962902231272,237.7486739915069,1807.74166613,312.82847664999986,2715.4242116699997,-47.48641687999998
5,0.5,173.94957204,212.32968649,239.8621709,256.43424411,264.66750543,268.01626245,269.36599517,270.5250544,272.33375809,274.97680215,278.24039062,281.63879823,284.45085844,285.76440202,284.63892615,280.44102853,273.25523753,264.07783213,254.46459605,245.64949086,258.37698434701053,241.01986575032242,2120.57014278,411.56315481,2402.59573502,-44.98373755
6,0.6,251.54856163,247.46024973,247.35980851,250.65897383,255.74323061,261.05759713,265.71641904,269.51106486,272.5991818,275.1806507,277.306654,278.83239142,279.46921657,278.88876951,276.84052749,273.24778943,268.24893343,262.16260889,255.38454199,248.26251008,329.0626751130195,459.2439903660483,2532.13329759,502.9324297100002,1991.03258021,-51.94240287000002
7,0.7,306.50892518,287.35481352,273.70900599,265.90630321,262.92540874,263.19054135,265.22178747,267.93130008,270.63880031,272.9620243,274.70267543,275.79559625,276.36010548,276.88212669,278.52948801,283.50803574,295.17585793,317.45346446,353.21423842,402.1019598,133.2521935330288,106.17340703614202,3035.0657273,447.08761583999967,1488.1001505,-49.80945865000001
8,0.8,175.22006503,210.83788014,236.530638,252.34943041,260.78881019,264.92793056,267.15704266,268.8231334,270.46517785,272.21124149,274.09391558,276.20905612,278.69583251,281.49340369,283.82765373,283.51587035,276.50908816,257.44868437,221.86155042,169.4396157,202.54995575249723,323.6802305289036,3482.15334314,475.4406281700003,1041.0125346600003,-48.07206944000001
9,0.9,211.29311784,220.64090438,230.59098898,240.46895934,249.37497708,256.68914919,262.28263819,266.41759369,269.51410816,271.94338784,273.90380652,275.37034437,276.1115649,275.81403234,274.3818858,272.41018053,271.61420138,274.73261461,284.45141593,301.57148304,366.64851615374295,303.36125301760046,3957.59397131,565.57190649,565.57190649,-56.31085080999998
