,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg,path_diff
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,473.0,346.0,0.0,384.3487,2841.3858,11.72289999999998
1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.1,428.544,392.4422,362.9611,339.1222,320.2568,305.7729,295.0624,287.4978,282.475,279.4685,278.076,278.0422,279.2592,281.7463,285.6151,291.0263,298.1464,307.1144,318.0282,330.9595,268.0,270.0,384.3487,235.6215,2457.0371,11.72289999999998
2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,0.2,275.5675,282.3602,287.8419,291.6965,293.8595,294.4942,293.9286,292.573,290.8373,289.065,287.4896,286.2166,285.2272,284.4011,283.552,282.4716,280.9768,278.9512,276.3748,273.3327,383.0,272.0,619.9702,263.00110000000006,2221.4156,11.72289999999998
3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,0.3,361.942,344.3734,329.8706,318.1197,308.8226,301.653,296.2532,292.2538,289.3031,287.0917,285.3672,283.9373,282.6642,281.4545,280.2481,279.0086,277.7166,276.3649,274.9552,273.4959,321.0,274.0,882.9713,270.6409,1958.4145,11.72289999999998
4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,0.4,315.8942,311.7039,308.0936,304.8164,301.7178,298.7265,295.8341,293.0706,290.4795,288.0999,285.9551,284.0498,282.3718,280.898,279.5993,278.4458,277.41,276.4673,275.5968,274.7799,352.0,270.0,1153.6122,278.02160000000003,1687.7736,11.72289999999998
5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,0.5,338.9959,328.1111,319.0207,311.4681,305.2321,300.1094,295.9096,292.4566,289.5931,287.1837,285.1167,283.3019,281.6676,280.1563,278.7207,277.3222,275.9287,274.5151,273.0631,271.5605,342.0,274.0,1431.6338,282.34119999999984,1409.752,11.72289999999998
6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,0.6,331.7634,323.2138,316.0116,309.8944,304.6604,300.1553,296.2607,292.8846,289.9533,287.4057,285.1901,283.2618,281.583,280.1216,278.8509,277.7482,276.793,275.9645,275.2402,274.5947,340.0,274.0,1713.975,280.0761,1127.4108,11.72289999999998
7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,0.7,330.0481,321.7318,314.7352,308.8111,303.7649,299.443,295.7235,292.5097,289.7239,287.303,285.1952,283.3569,281.7512,280.3458,279.1122,278.0247,277.0598,276.1954,275.4105,274.6852,346.0,272.0,1994.0511,280.2614000000001,847.3347000000001,11.72289999999998
8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,0.8,334.6521,325.1614,317.1948,310.4931,304.8475,300.0852,296.0609,292.6506,289.7485,287.2649,285.1237,283.2602,281.6195,280.1541,278.8229,277.5904,276.4259,275.3036,274.2025,273.1059,341.0,271.0,2274.3125,282.4391999999998,567.0733,11.72289999999998
9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,0.9,330.8865,322.4362,315.323,309.293,304.1483,299.7341,295.9284,292.6344,289.7729,287.2775,285.0906,283.161,281.4425,279.8927,278.4731,277.1487,275.8887,274.6659,273.4567,272.2408,349.0,273.0,2556.7517,284.6341000000002,284.6341000000002,11.72289999999998
10,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,473.0,341.0,0.0,386.1962,2858.106,11.716799999999978
11,11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,0.1,428.5439,392.4419,362.9605,339.1208,320.2538,305.7668,295.0502,287.4744,282.4315,279.3905,277.9415,277.8184,278.9,281.1899,284.7828,289.8225,296.4601,304.8211,314.9911,327.0276,269.0,271.0,386.1962,241.3922,2471.9098000000004,11.716799999999978
12,12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,0.2,276.3595,282.9672,288.2882,292.0061,294.0539,294.591,293.9407,292.5081,290.6997,288.8569,287.2142,285.8813,284.8474,284.0031,283.1751,282.168,280.809,278.9871,276.6806,273.9652,389.0,272.0,627.5884,265.3661000000001,2230.5176,11.716799999999978
13,13,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,0.3,366.6032,347.956,332.576,320.1144,310.2489,302.6339,296.8931,292.6396,289.505,287.1647,285.3537,283.8694,282.5661,281.3442,280.1386,278.9093,277.6333,276.301,274.9122,273.4744,314.0,272.0,892.9545,271.5291,1965.1515,11.716799999999978
