,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg,path_diff
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,325.0,473.0,0.0,365.0616,2269.1238,19.788299999999992
1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.1,314.406,305.2244,297.4396,291.0308,285.9471,282.1041,279.3998,277.7447,277.0989,277.5093,279.1402,282.2917,287.3991,295.0112,305.7473,320.2444,339.1164,362.9585,392.441,428.5436,464.0,271.0,365.0616,151.1825,1904.0622,19.788299999999992
2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,0.2,423.4739,390.6768,363.9884,342.4675,325.4884,312.5424,303.1437,296.797,292.9977,291.2385,291.0108,291.7991,293.0736,294.2931,294.9262,294.4952,292.6391,289.1802,284.1771,277.9405,359.0,296.0,516.2441,193.5321,1752.8797,19.788299999999992
3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,0.3,347.8526,338.782,331.1553,324.5182,318.5839,313.2084,308.3526,304.0376,300.3037,297.1797,294.6676,292.7403,291.3509,290.4465,289.9812,289.9256,290.2699,291.0225,292.2056,293.8511,411.0,202.0,709.7762,239.87850000000003,1559.3475999999998,19.788299999999992
4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,0.4,386.5099,366.6083,350.3558,337.0915,326.3098,317.5883,310.5505,304.8466,300.1433,296.115,292.433,288.7547,284.7162,279.9335,274.0189,266.6124,257.4256,246.2913,233.2022,218.3285,333.0,352.0,949.6547,292.0162,1319.4690999999998,19.788299999999992
5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,0.5,327.1975,322.5721,318.6382,315.0289,311.5019,307.9318,304.2899,300.6228,297.033,293.6702,290.7324,288.473,287.2058,287.2987,289.1487,293.1388,299.5838,308.6816,320.4925,334.9624,363.0,294.0,1241.6709,182.02229999999983,1027.4528999999998,19.788299999999992
6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,0.6,348.6433,336.7787,326.9715,318.8891,312.2633,306.8698,302.5195,299.0559,296.3531,294.3114,292.8489,291.8913,291.3612,291.1721,291.2298,291.4425,291.7381,292.0849,292.508,293.097,369.0,278.0,1423.6932,193.64840000000004,845.4305999999999,19.788299999999992
7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,0.7,353.6979,341.0855,330.6505,322.0105,314.8696,308.9901,304.1746,300.2535,297.0779,294.513,292.4345,290.725,289.2731,287.9738,286.7323,285.4698,284.1304,282.6885,281.1527,279.566,364.0,288.0,1617.3416,216.8032000000001,651.7821999999999,19.788299999999992
8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,0.8,350.0697,338.6003,329.087,321.1485,314.4932,308.8954,304.1785,300.2026,296.8557,294.0476,291.7066,289.7775,288.2207,287.0113,286.1371,285.5958,285.3905,285.5263,286.0062,286.831,367.0,284.0,1834.1448,219.3337000000001,434.9789999999998,19.788299999999992
9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,0.9,352.304,340.1973,330.1626,321.8099,314.838,309.0094,304.1338,300.0568,296.6522,293.8165,291.4644,289.525,287.9396,286.659,285.6429,284.8597,284.2866,283.911,283.7306,283.7541,358.0,303.0,2053.4785,215.64529999999968,215.64529999999968,19.788299999999992
10,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,216.0,471.0,0.0,412.5778,1786.4329,10.345200000000034
11,11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,0.1,227.0519,236.9803,245.6038,252.8332,258.6865,263.2871,266.8485,269.658,272.064,274.4721,277.3509,281.2384,286.7439,294.5347,305.3055,319.7381,338.4695,362.1037,391.3077,427.0426,322.0,473.0,412.5778,227.19100000000003,1373.8551,10.345200000000034
12,12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,0.2,310.2219,299.9953,291.5238,284.9536,280.3349,277.6181,276.6794,277.3647,279.5354,283.1053,288.0628,294.4779,302.4981,312.3415,324.2932,338.7149,356.0743,377.0061,402.4208,433.6936,257.0,471.0,639.7688,96.63049999999998,1146.6641,10.345200000000034
13,13,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,0.3,261.9034,266.378,270.3487,273.8127,276.8518,279.627,282.3577,285.2959,288.7012,292.8228,297.8922,304.1258,311.7365,320.953,332.0457,345.3611,361.3677,380.723,404.3767,433.7419,281.0,448.0,736.3993,75.55340000000001,1050.0336,10.345200000000034
14,14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,0.4,280.316,279.9253,279.9343,280.4299,281.4766,283.1186,285.3872,288.3106,291.9234,296.2739,301.4297,307.4821,314.5518,322.7993,332.4404,343.7716,357.206,373.3242,392.9489,417.2613,317.0,378.0,811.9527,48.06949999999995,974.4802,10.345200000000034
15,15,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,0.5,309.748,303.7017,298.8977,295.3619,293.0899,292.0405,292.1395,293.2894,295.3817,298.3059,301.9565,306.2369,311.065,316.3831,322.1738,328.4855,335.462,343.3758,352.6577,363.9235,360.0,296.0,860.0222,59.908199999999965,926.4107,10.345200000000034
16,16,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,,,,,,,,,,,,,,,,,,,,,,0.6,344.9231,332.3886,322.1431,314.0015,307.7957,303.3452,300.4473,298.8771,298.3942,298.7481,299.6828,300.9377,302.2515,303.3702,304.0628,304.147,303.5197,302.1876,300.2891,298.0972,392.0,235.0,919.9304,148.80690000000004,866.5025,10.345200000000034
17,17,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,0.7,371.2554,354.2481,340.3206,329.0056,319.9369,312.7952,307.2783,303.0863,299.916,297.4587,295.3988,293.413,291.1727,288.3513,284.6392,279.7679,273.5397,265.8582,256.7508,246.3746,376.0,270.0,1068.7373,249.67499999999995,717.6956,10.345200000000034
18,18,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,,,,,,,,,,,,,,,,,,,,,,0.8,360.0478,346.9993,336.2146,327.2159,319.6416,313.2134,307.7119,302.9582,298.8023,295.1162,291.7929,288.7483,285.9247,283.2914,280.8422,278.5868,276.5375,274.6945,273.033,271.4965,363.0,294.0,1318.4123,250.06269999999995,468.02060000000006,10.345200000000034
