,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg,path_diff
0,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,401.1709603697004,355.13886019187953,0.0,380.5563,3533.8023,11.548400000000015
1,0.1,373.9195,351.0236,331.9537,316.3755,303.9983,294.4989,287.5058,282.6235,279.476,277.752,277.2394,277.8431,279.5853,282.5884,287.0442,293.1755,301.1959,311.2801,323.5563,338.129,330.2152094885853,240.66567575683825,380.5563,244.8843,3153.2459999999996,11.548400000000015
2,0.2,322.7148,316.4176,310.9663,306.1122,301.7154,297.7296,294.1743,291.0979,288.5402,286.4975,284.8979,283.5865,282.3244,280.803,278.674,275.5948,271.2819,265.5659,258.4314,250.0314,270.1057092355185,433.30502662913125,625.4406,255.09249999999997,2908.3616999999995,11.548400000000015
3,0.3,274.2985,278.1432,281.4014,283.9177,285.6366,286.6014,286.9421,286.8583,286.6073,286.4997,286.9046,288.258,291.0672,295.9002,303.3582,314.0308,328.4524,347.0838,370.3542,398.7954,199.40522312950336,332.5911870206427,880.5331,173.5294,2653.2691999999997,11.548400000000015
4,0.4,215.2133,229.5902,242.2395,253.0071,261.8986,269.0673,274.7793,279.3676,283.184,286.557,289.7591,292.9875,296.3571,299.9093,303.635,307.5106,311.5422,315.8109,320.5077,325.9523,186.74511380024873,260.85599301394166,1054.0625,318.4611,2479.7398,11.548400000000015
5,0.5,201.7258,215.4399,227.7952,238.752,248.3267,256.5864,263.6355,269.5969,274.5917,278.7184,282.0369,284.5567,286.2344,286.9805,286.6783,285.2132,282.5092,278.5653,273.483,267.4761,393.03911768170394,317.1063514355624,1372.5236,392.5689,2161.2787,11.548400000000015
6,0.6,364.7966,340.8209,320.9562,305.1347,293.1966,284.811,279.4804,276.6016,275.551,275.7637,276.7908,278.3289,280.2225,282.4466,285.0758,288.2463,292.1171,296.837,302.5233,309.2584,177.21052865303997,215.2075867516046,1765.0925,340.4943999999998,1768.7097999999999,11.548400000000015
7,0.7,199.0668,218.822,235.7795,249.5575,260.118,267.7199,272.8233,275.9746,277.6995,278.4204,278.407,277.7576,276.4087,274.1662,270.7541,265.8753,259.2777,250.817,240.5035,228.5209,422.9868755756596,216.01033297087054,2105.5869,514.9188000000004,1428.2154,11.548400000000015
8,0.8,388.7105,360.0601,336.424,317.4491,302.7803,291.9345,284.2823,279.0969,275.632,273.1939,271.1901,269.1501,266.7213,263.6528,259.7733,254.9724,249.1849,242.3823,234.5651,225.7593,423.46128362218764,289.2300375774452,2620.5057,476.8559,913.2965999999997,11.548400000000015
9,0.9,394.766,371.2083,351.6234,335.2379,321.5112,310.039,300.4962,292.6057,286.1266,280.8563,276.6381,273.3726,271.0228,269.6113,269.2042,269.8828,271.7069,274.6782,278.7151,283.6465,472.24050723914115,184.85245613608865,3097.3616,436.44069999999965,436.44069999999965,11.548400000000015
