,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg,path_diff
0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,372.0,371.0,0.0,369.7127,1820.5774,39.60989999999998
1,1,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.1,355.1287,339.029,324.3683,311.6296,301.0731,292.7434,286.5151,282.1625,279.4349,278.1233,278.1096,279.3912,282.0815,286.3846,292.547,300.791,311.2401,323.8497,338.3622,354.2991,373.0,337.0,369.7127,160.97050000000007,1450.8647,39.60989999999998
2,2,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,0.2,361.0225,349.3588,338.3058,328.1286,319.0499,311.2437,304.8335,299.894,296.4545,294.503,293.9886,294.8231,296.883,300.0126,304.0311,308.7448,313.9628,319.5143,325.2627,331.1115,211.0,272.0,530.6832,105.8746,1289.8941999999995,39.60989999999998
3,3,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,0.3,229.3228,246.5843,261.8875,274.626,284.5426,291.7171,296.492,299.3653,300.8755,301.5035,301.6056,301.3797,300.8654,299.9704,298.517,296.3027,293.1632,289.0299,283.9668,278.1811,373.0,287.0,636.5578,142.57049999999992,1184.0195999999996,39.60989999999998
4,4,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,0.4,357.3914,342.7127,329.7461,319.0145,310.7302,304.8082,300.9331,298.6528,297.4747,296.9428,296.6867,296.4419,296.0478,295.4311,294.5832,293.5363,292.3423,291.055,289.7186,288.3621,372.0,272.0,779.1283,167.09820000000002,1041.4490999999998,39.60989999999998
5,5,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,0.5,362.0103,352.2872,343.0753,334.5784,326.9451,320.2603,314.5436,309.7538,305.798,302.5435,299.831,297.4875,295.339,293.2214,290.9914,288.5364,285.7842,282.7089,279.3343,275.7296,373.0,373.0,946.2265,182.0537,874.3508999999999,39.60989999999998
6,6,6.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,0.6,364.8322,356.7994,349.0288,341.634,334.7104,328.3353,322.5719,317.4773,313.1161,309.5757,306.9827,305.5146,305.4022,306.915,310.3281,315.8698,323.6579,333.6383,345.5435,358.8867,371.0,373.0,1128.2802,121.8977,692.2972,39.60989999999998
7,7,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,0.7,364.4007,357.8914,351.564,345.5145,339.8439,334.6586,330.0706,326.1956,323.1518,321.0556,320.018,320.1371,321.4911,324.1286,328.0596,333.2467,339.5996,346.9724,355.1657,363.9345,372.0,373.0,1250.1779,134.0009,570.3995,39.60989999999998
8,8,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,0.8,366.2773,360.6619,355.26,350.1756,345.5097,341.3591,337.8156,334.9649,332.884,331.6398,331.2853,331.8567,333.37,335.8177,339.1667,343.3564,348.2992,353.8809,359.9646,366.3941,371.0,371.0,1384.1788,186.23210000000017,436.3986,39.60989999999998
9,9,9.0,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,0.9,366.5449,362.1769,357.9827,354.048,350.457,347.2901,344.6223,342.5206,341.0414,340.2282,340.1092,340.6954,341.9798,343.9366,346.5221,349.6757,353.3227,357.3764,361.7418,366.3178,373.0,373.0,1570.4109,250.1664999999998,250.1664999999998,39.60989999999998
10,10,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,373.0,371.0,0.0,369.5444,1710.3911999999998,34.698800000000006
11,11,11.0,11.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,0.1,355.9582,339.6959,324.887,312.0195,301.356,292.9413,286.6486,282.2493,279.4893,278.1562,278.1287,279.4019,282.0873,286.3876,292.5485,300.7918,311.2404,323.8499,338.3622,354.2992,371.0,336.0,369.5444,160.7776,1340.8467999999998,34.698800000000006
12,12,12.0,12.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,0.2,359.413,348.1191,337.3978,327.5018,318.6479,311.0103,304.7175,299.8521,296.4525,294.5146,293.9937,294.8054,296.8277,299.904,303.8518,308.4752,313.5819,319.0014,324.5992,330.2835,309.0,273.0,530.322,108.79129999999998,1180.0692,34.698800000000006
13,13,13.0,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,0.3,310.5409,311.791,312.5179,312.5922,312.005,310.8596,309.3384,307.6569,306.0156,304.5576,303.3396,302.3185,301.3547,300.2328,298.6963,296.4952,293.4379,289.4389,284.5498,278.9655,231.0,274.0,639.1133,124.83749999999998,1071.2779,34.698800000000006
14,14,14.0,14.0,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,0.4,244.4167,257.1707,268.6879,278.5518,286.5376,292.6099,296.8884,299.5953,300.9989,301.3659,300.9271,299.8618,298.2951,296.3071,293.9459,291.2438,288.2302,284.9419,281.429,277.7562,372.0,291.0,763.9508,157.9728,946.4404,34.698800000000006
15,15,15.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,0.5,357.0967,343.044,330.5588,320.1219,311.9316,305.9152,301.7892,299.1457,297.541,296.5682,295.9045,295.3307,294.7295,294.0679,293.3718,292.6981,292.1081,291.6464,291.3272,291.129,365.0,274.0,921.9236,170.45349999999996,788.4676000000001,34.698800000000006
16,16,16.0,16.0,16.0,16.0,,,,,,,,,,,,,,,,,,,,,,0.6,356.3015,347.8036,339.694,332.1348,325.252,319.1282,313.7983,309.2496,305.4255,302.2326,299.5495,297.2363,295.1451,293.1301,291.058,288.8192,286.3381,283.5813,280.5617,277.337,373.0,373.0,1092.3771,176.58429999999998,618.0141000000001,34.698800000000006
17,17,17.0,17.0,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,0.7,364.5142,356.1956,348.1981,340.652,333.6577,327.2871,321.59,316.6064,312.383,308.992,306.5481,305.2203,305.2334,306.8524,310.3488,315.9481,323.7664,333.7497,345.6334,358.9366,373.0,372.0,1268.9614,119.18080000000008,441.4298000000001,34.698800000000006
18,18,18.0,18.0,18.0,18.0,,,,,,,,,,,,,,,,,,,,,,0.8,365.9203,358.9545,352.2154,345.8146,339.8624,334.4675,329.7378,325.7809,322.7031,320.608,319.5928,319.7428,321.1242,323.7754,327.6977,332.8479,339.1324,346.4055,354.4717,363.093,373.0,371.0,1388.1422,134.30970000000002,322.249,34.698800000000006
19,19,19.0,19.0,19.0,19.0,,,,,,,,,,,,,,,,,,,,,,0.9,367.1239,361.3561,355.8041,350.5739,345.7687,341.4882,337.8264,334.8699,332.6957,331.3682,330.9363,331.4306,332.86,335.2097,338.4396,342.4837,347.251,352.6273,358.479,364.6567,373.0,372.0,1522.4519,187.9393,187.9393,34.698800000000006
20,20,20.0,20.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,372.0,373.0,0.0,368.9561,1789.1014,39.40440000000001
21,21,21.0,21.0,21.0,21.0,,,,,,,,,,,,,,,,,,,,,,0.1,355.1287,339.0291,324.3686,311.6303,301.0746,292.7464,286.5211,282.1741,279.4563,278.1616,278.1753,279.5,282.2551,286.6516,292.9428,301.3567,312.0198,324.8872,339.696,355.9583,371.0,336.0,368.9561,158.32799999999995,1420.1453,39.40440000000001
22,22,22.0,22.0,22.0,22.0,,,,,,,,,,,,,,,,,,,,,,0.2,359.3666,348.0321,337.2804,327.3679,318.5129,310.8896,304.6254,299.8007,296.4513,294.5705,294.1102,294.9822,297.0598,300.1812,304.1581,308.7894,313.8788,319.2544,324.7839,330.381,193.0,272.0,527.2841,108.1857,1261.8173000000002,39.40440000000001
23,23,23.0,23.0,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,0.3,214.3005,234.4098,252.3187,267.339,279.1696,287.8832,293.8461,297.6004,299.739,300.7982,301.1845,301.1377,300.7304,299.8949,298.4716,296.2708,293.1373,289.008,283.9502,278.1721,372.0,306.0,635.4698,148.09160000000008,1153.6316000000002,39.40440000000001
24,24,24.0,24.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,0.4,355.6341,340.2831,326.7995,315.751,307.3643,301.5417,297.9361,296.0565,295.3759,295.4185,295.8154,296.3275,296.8414,297.347,297.9046,298.6077,299.5474,300.7811,302.3134,304.0886,373.0,276.0,783.5614,144.18189999999993,1005.54,39.40440000000001
25,25,25.0,25.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,0.5,362.4034,352.1156,342.4199,333.5521,325.684,318.9148,313.2699,308.7058,305.1203,302.3641,300.2544,298.5863,297.1455,295.7208,294.1183,292.178,289.7908,286.9136,283.5773,279.8856,372.0,371.0,927.7433,164.83620000000008,861.3581,39.40440000000001
26,26,26.0,26.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,0.6,363.8846,355.909,348.2058,340.8952,334.0803,327.8457,322.2598,317.3812,313.2701,310.0024,307.6857,306.4711,306.5571,308.178,311.5752,316.9493,324.402,333.8793,345.1322,357.7111,373.0,371.0,1092.5795,118.6905999999999,696.5219,39.40440000000001
27,27,27.0,27.0,27.0,27.0,,,,,,,,,,,,,,,,,,,,,,0.7,365.9942,359.1048,352.4465,346.1313,340.2684,334.9638,330.3213,326.4431,323.4295,321.3775,320.3781,320.511,321.8377,324.3935,328.1791,333.1526,339.2241,346.253,354.0506,362.3867,373.0,372.0,1211.2701,137.32940000000008,577.8313,39.40440000000001
28,28,28.0,28.0,28.0,28.0,,,,,,,,,,,,,,,,,,,,,,0.8,367.2005,361.5083,356.0297,350.8692,346.1287,341.9058,338.2927,335.3745,333.2269,331.9141,331.4862,331.9766,333.3987,335.7439,338.9792,343.0455,347.8571,353.3025,359.2468,365.5355,371.0,371.0,1348.5995,190.03099999999995,440.5019,39.40440000000001
29,29,29.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,0.9,366.6404,362.3602,358.2393,354.3587,350.7997,347.6425,344.9635,342.8324,341.3093,340.4416,340.2617,340.785,342.0089,343.912,346.4549,349.5807,353.2167,357.2772,361.6653,366.2763,371.0,371.0,1538.6305,250.47090000000003,250.47090000000003,39.40440000000001
30,30,30.0,30.0,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,373.0,371.0,0.0,369.5444,1799.7,39.7267
31,31,31.0,31.0,31.0,31.0,,,,,,,,,,,,,,,,,,,,,,0.1,355.9582,339.6959,324.887,312.0195,301.356,292.9413,286.6486,282.2493,279.4893,278.1562,278.1287,279.4019,282.0873,286.3876,292.5485,300.7918,311.2404,323.8499,338.3622,354.2992,372.0,338.0,369.5444,160.4044,1430.1556,39.7267
