,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg,path_diff
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,326.0,373.0,0.0,380.0316,1152.9872,-40.0
1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.1,316.9691,308.3521,300.5077,293.6971,288.0643,283.6421,280.3792,278.1808,276.9545,276.6511,277.2964,279.007,281.9884,286.5124,292.8726,301.3225,312.0038,324.88,339.6929,355.9572,304.0,373.0,380.0316,171.82539999999997,772.9556,-29.35789999999997
2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,0.2,301.5071,299.0227,296.5723,294.2104,292.0265,290.1423,288.7038,287.8697,287.8002,288.6465,290.543,293.6009,297.9024,303.4947,310.3839,318.5286,327.8351,338.1559,349.2918,360.9987,298.0,371.0,551.857,72.31799999999998,601.1302000000001,-22.857700000000023
3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,0.3,297.1293,296.2902,295.5225,294.8804,294.4353,294.2757,294.5024,295.2229,296.5428,298.5589,301.3515,304.979,309.4733,314.837,321.0424,328.032,335.7205,343.9983,352.7357,361.7879,325.0,272.0,624.175,39.60000000000002,528.8122000000001,-18.724300000000028
4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,0.4,320.1141,315.5009,311.404,308.0142,305.4562,303.7848,302.9894,303.0008,303.6962,304.9002,306.3819,307.8522,308.9668,309.3429,308.5933,306.3793,302.4731,296.8192,289.575,281.1166,322.0,273.0,663.775,85.23170000000005,489.21220000000005,-9.215199999999982
5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,0.5,319.499,317.0787,314.8139,312.7669,310.9814,309.4771,308.2446,307.2433,306.4012,305.6184,304.7739,303.7348,302.3686,300.5562,298.2052,295.2606,291.7135,287.6047,283.0234,278.1011,204.0,306.0,749.0067,118.72839999999997,403.9805,-3.522899999999993
6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,0.6,222.1637,239.4368,255.0513,268.4558,279.3627,287.7429,293.7793,297.7959,300.1851,301.348,301.6558,301.4327,300.954,300.4506,300.1134,300.0915,300.4846,301.3324,302.607,304.2129,267.0,372.0,867.7351,133.97530000000006,285.25210000000004,-25.25709999999998
7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,0.7,268.7668,270.7105,272.9643,275.5862,278.5506,281.7617,285.0862,288.3939,291.5978,294.6847,297.7322,300.9101,304.4671,308.7015,313.9203,320.3882,328.2741,337.6045,348.2354,359.8519,291.0,371.0,1001.7104,79.56370000000004,151.27679999999998,-31.23829999999998
8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,0.8,289.4447,288.1076,287.1796,286.8047,287.0692,288.0051,289.6023,291.8261,294.6363,298.0014,301.9073,306.3587,311.374,316.9764,323.1824,329.9911,337.375,345.2744,353.5969,362.2203,279.0,373.0,1081.2741,38.31849999999986,71.71309999999994,-24.994899999999973
9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,0.9,281.0067,283.0182,285.0479,287.1239,289.291,291.6087,294.1457,296.9731,300.1576,303.7563,307.8134,312.3592,317.4093,322.9649,329.0127,335.5246,342.4574,349.7517,357.3335,365.1154,225.0,341.0,1119.5926,33.39460000000008,33.39460000000008,-21.3913
