,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg,path_diff
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,473.0,471.0,0.0,352.188,1040.4458,16.230799999999988
1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.1,428.5462,392.4484,362.9761,339.1559,320.3294,305.923,295.3617,288.0728,283.5402,281.3703,281.349,283.4727,287.9477,295.16,305.6187,319.8893,338.5398,362.135,391.3209,427.0473,362.0,471.0,352.188,100.15770000000003,688.2578000000001,16.230799999999988
2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,0.2,349.6582,339.5216,330.9615,323.552,317.0615,311.4308,306.7372,303.1503,300.8886,300.1854,301.2661,304.34,309.603,317.2505,327.4987,340.6163,356.9713,377.1018,401.828,432.436,262.0,386.0,452.3457,26.339200000000005,588.1001,16.230799999999988
3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,0.3,270.0106,277.3914,283.8207,289.1186,293.2695,296.4107,298.7965,300.7481,302.6023,304.6677,307.1942,310.3587,314.2672,318.9727,324.508,330.9282,338.3615,347.0586,357.4389,370.1286,270.0,381.0,478.6849,46.08760000000001,561.7609,16.230799999999988
4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,0.4,273.3212,276.5577,279.6919,282.7139,285.6243,288.4375,291.1836,293.9093,296.6775,299.5657,302.6648,306.0781,309.9223,314.3315,319.4643,325.5146,332.7257,341.409,351.9679,364.9307,260.0,363.0,524.7725,78.12630000000001,515.6732999999999,16.230799999999988
5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,0.5,264.5838,268.8874,272.8972,276.6156,280.0647,283.2859,286.3371,289.2876,292.2138,295.1944,298.3084,301.635,305.2561,309.2625,313.7622,318.8933,324.8387,331.8434,340.2325,350.4329,274.0,433.0,602.8988,108.00699999999996,437.5469999999999,16.230799999999988
6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,0.6,275.0482,276.1805,277.4521,278.905,280.5671,282.4562,284.588,286.9883,289.7054,292.8233,296.4735,300.8431,306.1794,312.789,321.0325,331.3182,344.1014,359.9009,379.3496,403.2974,281.0,461.0,710.9058,85.23559999999998,329.54,16.230799999999988
7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,0.7,280.8219,280.8694,281.1902,281.8289,282.8271,284.2258,286.0711,288.4209,291.3529,294.9723,299.4182,304.8699,311.5514,319.736,329.7527,341.9985,356.9627,375.2742,397.787,425.7338,263.0,398.0,796.1414,61.62729999999999,244.3044,16.230799999999988
8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,0.8,266.7851,270.3574,273.7192,276.8967,279.9448,282.9457,286.0021,289.2278,292.7365,296.6329,301.0059,305.9275,311.4574,317.6556,324.6038,332.4355,341.3719,351.7625,364.1271,379.2018,258.0,390.0,857.7687,82.65590000000009,182.6771,16.230799999999988
9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,0.9,262.3202,266.3725,270.1871,273.8022,277.2659,280.6364,283.9805,287.3713,290.8862,294.6057,298.6141,303.0024,307.8737,313.3513,319.5895,326.7878,335.2086,345.1987,357.2174,371.8764,272.0,444.0,940.4246,100.02119999999992,100.02119999999992,16.230799999999988
10,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,473.0,472.0,0.0,352.038,1037.6307,16.556399999999996
11,11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,0.1,428.5462,392.4485,362.9762,339.1562,320.3299,305.9242,295.364,288.0773,283.5485,281.3851,281.3745,283.5147,288.0148,295.2632,305.7721,320.11,338.8482,362.5558,391.8849,427.797,364.0,473.0,352.038,100.11169999999998,685.5926999999999,16.556399999999996
12,12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,0.2,351.2097,340.7054,331.8466,324.1991,317.5243,311.7564,306.9659,303.3159,301.0194,300.3051,301.3954,304.4986,309.8109,317.5297,327.8746,341.1192,357.6381,377.9791,402.9772,433.9442,260.0,386.0,452.1497,25.87630000000001,585.4809999999999,16.556399999999996
13,13,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,0.3,268.4772,276.2731,283.0555,288.6398,293.0116,296.3145,298.8128,300.8391,302.7414,304.8377,307.385,310.5643,314.4831,319.1939,324.7273,331.1365,338.5477,347.2112,357.5472,370.1848,270.0,381.0,478.026,45.94509999999997,559.6046999999999,16.556399999999996
14,14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,0.4,273.2795,276.4804,279.5899,282.601,285.5149,288.3442,291.1157,293.872,296.672,299.5901,302.7145,306.147,310.0037,314.4188,319.5511,325.5954,332.7957,341.4645,352.0062,364.9502,262.0,363.0,523.9711,77.543,513.6596,16.556399999999996
15,15,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,0.5,266.1801,270.1247,273.826,277.2894,280.5364,283.6046,286.5456,289.4212,292.2996,295.252,298.3509,301.6704,305.2888,309.2938,313.7922,318.9212,324.8632,331.8632,340.2465,350.4402,275.0,430.0,601.5141,106.27060000000006,436.1166,16.556399999999996
16,16,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,,,,,,,,,,,,,,,,,,,,,,0.6,275.917,276.9346,278.1036,279.4629,281.0386,282.8474,284.9047,287.2355,289.8868,292.94,296.522,300.8136,306.0537,312.5391,320.6197,330.692,343.1992,358.6465,377.6493,401.0307,277.0,458.0,707.7847,85.79899999999998,329.8459999999999,16.556399999999996
17,17,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,0.7,277.6799,278.483,279.447,280.6113,282.0189,283.7184,285.7681,288.2408,291.2292,294.852,299.259,304.6369,311.2138,319.2638,329.1142,341.1569,355.8725,373.8754,395.9969,423.4317,268.0,409.0,793.5837,63.92470000000003,244.0469999999999,16.556399999999996
18,18,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,,,,,,,,,,,,,,,,,,,,,,0.8,270.6669,273.2462,275.7616,278.2498,280.7646,283.3758,286.1668,289.2296,292.659,296.5477,300.9829,306.0465,311.82,318.3954,325.8943,334.4944,344.4634,356.1987,370.2743,387.4986,254.0,384.0,857.5084,78.30539999999996,180.12229999999988,16.556399999999996
19,19,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,,,,,,,,,,,,,,,,,,,,,,0.9,259.2441,264.1208,268.6379,272.8226,276.7251,280.4171,283.987,287.532,291.1515,294.941,298.9898,303.3816,308.2005,313.5403,319.5194,326.2994,334.1076,343.2624,354.2016,367.5168,273.0,447.0,935.8138,101.81689999999992,101.81689999999992,16.556399999999996
20,20,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,472.0,473.0,0.0,351.7936,1037.6371,16.32249999999999
21,21,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,,,,,,,,,,,,,,,,,,,,,,0.1,427.797,391.8849,362.5558,338.8482,320.11,305.7721,295.2632,288.0148,283.5147,281.3745,281.3851,283.5485,288.0773,295.364,305.9242,320.3299,339.1562,362.9762,392.4485,428.5462,363.0,473.0,351.7936,99.15169999999996,685.8435,16.32249999999999
22,22,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,,,,,,,,,,,,,,,,,,,,,0.2,350.409,340.0663,331.3397,323.8009,317.2159,311.5225,306.7942,303.1967,300.9447,300.2685,301.3916,304.5223,309.857,317.5924,327.9474,341.1948,357.7092,378.0388,403.02,433.9664,259.0,385.0,450.9453,25.71070000000003,586.6918000000001,16.32249999999999
23,23,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,0.3,267.6397,275.5798,282.4881,288.1808,292.6448,296.0252,298.5877,300.6662,302.6097,304.7365,307.3033,310.49,314.4023,319.0904,324.582,330.9268,338.2479,346.7919,356.9753,369.422,271.0,381.0,476.656,46.74269999999996,560.9811,16.32249999999999
24,24,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,0.4,274.0323,277.0134,279.9362,282.7963,285.5948,288.3415,291.058,293.7808,296.5626,299.4722,302.5937,306.0259,309.8837,314.3011,319.438,325.4902,332.7029,341.389,351.9529,364.9226,260.0,361.0,523.3987,78.46180000000004,514.2384,16.32249999999999
