,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg,path_diff
0,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,338.2627047591239,315.6966048083041,0.0,401.0161,4119.9987,-40.0
1,0.1,327.1402,316.5261,306.8595,298.4577,291.4901,285.9818,281.8431,278.9131,277.0072,275.9588,275.649,276.0217,277.0849,278.8984,281.55,285.1244,289.6681,295.1577,301.4785,308.4209,186.81124743105232,281.89618894232603,401.0161,322.0863,3718.9826000000003,-27.01819999999998
2,0.2,204.8053,221.816,237.0099,249.8175,259.9885,267.5808,272.8965,276.3878,278.5575,279.8765,280.7262,281.3716,281.9576,282.526,283.0426,283.4321,283.6132,283.5307,283.1766,282.5993,180.59438193312383,360.60085177962804,723.1024,447.29150000000004,3396.8963000000003,-45.41919999999999
3,0.3,193.7517,206.555,218.6815,229.8665,239.9229,248.7521,256.3467,262.7861,268.2292,272.9057,277.1068,281.1743,285.486,290.4333,296.3875,303.6561,312.4338,322.7567,334.4748,347.2519,343.4679026333699,187.24090997395325,1170.3939,445.95640000000003,2949.6048,-64.24789999999999
4,0.4,326.3084,310.2625,296.2804,285.0234,276.8017,271.5804,269.0406,268.6661,269.8311,271.8643,274.0845,275.8102,276.3617,275.0712,271.3194,264.6014,254.6169,241.3606,225.1847,206.806,254.635912644201,345.1008819944794,1616.3503,452.53729999999996,2503.6484,-41.4196
5,0.5,259.3245,263.657,267.3413,270.1959,272.1676,273.3204,273.8025,273.8092,273.5531,273.2526,273.1403,273.4825,274.5978,276.8599,280.671,286.404,294.3203,304.4833,316.6936,330.4715,355.706275342924,216.83159058827883,2068.8876,365.90200000000004,2051.1111,-39.67959999999999
6,0.6,341.25,327.4994,315.0621,304.3732,295.6577,288.9356,284.0575,280.7558,278.6947,277.5043,276.7962,276.1641,275.1805,273.4016,270.3918,265.7719,259.284,250.859,240.6649,229.1161,338.8724786135581,253.790956346697,2434.7896,405.72580000000016,1685.2091,-24.064399999999978
7,0.7,331.7184,324.6695,317.8297,311.2977,305.1605,299.4854,294.3106,289.6399,285.4418,281.6558,278.2045,275.0087,272.0037,269.1503,266.4385,263.8829,261.5084,259.3333,257.3524,255.5279,193.52405750116066,303.38828034286655,2840.5154,392.90809999999965,1279.4832999999999,-13.514599999999973
8,0.8,212.0651,229.5412,245.0396,257.917,267.8581,274.871,279.2293,281.3861,281.8837,281.2798,280.0977,278.8036,277.7993,277.4222,277.9437,279.5578,282.3645,286.3496,291.3732,297.1729,267.25177451574626,253.79755894837297,3233.4235,409.08380000000034,886.5752000000002,-38.12900000000002
9,0.9,266.6587,266.2926,266.3294,266.8578,267.8666,269.2571,270.8731,272.5379,274.0862,275.3824,276.3241,276.8336,276.8436,276.2855,275.0875,273.1838,270.5348,267.1518,263.1169,258.5899,369.7514931077675,176.9200409450326,3642.5073,477.4913999999999,477.4913999999999,-43.74290000000002
