,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg,path_diff
0,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,352.607118463799,253.40481002655082,0.0,430.8153,1379.9571,7.3507000000000176
1,0.1,339.0383,326.0881,314.2903,304.0282,295.501,288.7259,283.5698,279.7971,277.1197,275.2396,273.8776,272.7875,271.7605,270.6246,269.2431,267.5169,265.3885,262.8482,259.9375,256.7466,353.8835593839981,371.25601860636687,430.8153,345.6513,949.1418000000001,7.3507000000000176
2,0.2,344.0144,334.3717,325.166,316.5783,308.7516,301.7885,295.7564,290.7008,286.6641,283.7096,281.9447,281.5393,282.7307,285.809,291.0789,298.7977,309.1003,321.9259,336.9683,353.6681,362.3875182519572,338.4371780474796,776.4666,155.0168,603.4905000000001,7.3507000000000176
3,0.3,352.9776,343.7842,335.0125,326.8473,319.448,312.9472,307.4525,303.05,299.8055,297.7646,296.9488,297.3497,298.9229,301.5844,305.2121,309.6535,314.7398,320.3024,326.188,332.2678,306.81962277521416,302.30562852380984,931.4834,92.19580000000008,448.4737000000001,7.3507000000000176
4,0.4,308.8063,310.5105,311.7046,312.2569,312.15,311.4748,310.4022,309.1446,307.9132,306.8816,306.161,305.7862,305.717,305.8493,306.0376,306.1244,305.9725,305.4946,304.674,303.5699,285.1687143322416,344.51114632926567,1023.6792,68.5664999999999,356.27790000000005,7.3507000000000176
5,0.5,289.4522,293.5159,297.1698,300.2779,302.7714,304.6502,305.9754,306.855,307.4294,307.8585,308.3132,308.9701,310.0073,311.5978,313.8976,317.0283,321.0549,325.9647,331.6538,337.9261,341.03818341063857,347.2183677690302,1092.2457,40.22790000000009,287.71140000000014,7.3507000000000176
6,0.6,334.46,328.252,322.7317,318.1245,314.5458,312.0062,310.4357,309.7177,309.7234,310.3389,311.4809,313.1015,315.183,317.7273,320.7421,324.2283,328.1686,332.5207,337.2141,342.1523,342.2029541795217,276.64418770494547,1132.4736,47.26839999999993,247.48350000000005,7.3507000000000176
7,0.7,337.7971,333.5373,329.5597,325.9813,322.8922,320.3507,318.3784,316.9573,316.0258,315.4755,315.1473,314.8318,314.2743,313.1905,311.2942,308.3361,304.1501,298.6966,292.0907,284.6055,316.87295180794865,352.06700536464075,1179.742,74.97800000000007,200.21510000000012,7.3507000000000176
8,0.8,317.8941,318.785,319.4375,319.7822,319.7953,319.4972,318.9434,318.2141,317.406,316.6297,316.0129,315.707,315.8908,316.7668,318.5441,321.408,325.479,330.7711,337.1626,344.3891,262.9810044587256,240.22560139553428,1254.72,45.348199999999906,125.23710000000005,7.3507000000000176
9,0.9,272.488,281.5492,289.7796,296.9023,302.7717,307.37,310.7797,313.1418,314.6059,315.2845,315.2149,314.3364,312.4859,309.4155,304.8339,298.4691,290.1431,279.8435,267.7735,254.3617,326.18086261078065,315.0578133933308,1300.0682,79.88890000000015,79.88890000000015,7.3507000000000176
0,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,201.32274210435904,367.3574296316638,0.0,445.0556,2623.9756,3.0319999999999823
1,0.1,213.5419,225.2053,235.8348,245.0893,252.7973,258.9576,263.7152,267.3248,270.1129,272.4493,274.7288,277.3637,280.7756,285.3817,291.5658,299.6342,309.7605,321.9334,335.9215,351.2732,292.62703828376783,265.34892638189206,445.0556,386.79200000000003,2178.92,3.0319999999999823
2,0.2,285.8809,279.6748,274.4677,270.576,268.1458,267.1603,267.4742,268.8606,271.0536,273.7774,276.7559,279.7095,282.3458,284.3578,285.438,285.313,283.7924,280.8231,276.5278,271.215,290.89876046352657,269.00233351223926,831.8476,368.36310000000003,1792.1280000000002,3.0319999999999823
3,0.3,287.7158,284.6867,281.9524,279.6289,277.798,276.5004,275.7329,275.4495,275.5655,275.9661,276.5168,277.0756,277.5057,277.6875,277.5295,276.9755,276.009,274.6534,272.9693,271.048,358.1715345919483,371.5252495324518,1200.2107,315.6592999999998,1423.7649000000001,3.0319999999999823
4,0.4,344.625,331.6669,319.8102,309.4339,300.7539,293.8267,288.5816,284.8706,282.5251,281.4086,281.4579,282.7064,285.2875,289.4155,295.3424,303.2957,313.4061,325.6381,339.7446,355.2574,346.98041962452254,198.0684586167886,1515.87,189.1023,1108.1056000000003,3.0319999999999823
5,0.5,339.3035,331.7846,324.5805,317.8439,311.7168,306.3202,301.74,298.0085,295.0834,292.8267,290.9842,289.1753,286.8973,283.5563,278.5281,271.2496,261.3281,248.646,233.4332,216.2785,366.30635077379645,352.9134656478046,1704.9723,263.33230000000003,919.0033000000003,3.0319999999999823
6,0.6,356.7394,347.4141,338.5452,330.2986,322.7795,316.032,310.0505,304.8004,300.247,296.3876,293.283,291.0827,290.0347,290.4726,292.7734,297.2869,304.2452,313.6732,325.3237,338.6622,275.102271107084,207.85193696101516,1968.3046,174.16229999999996,655.6710000000003,3.0319999999999823
7,0.7,282.8289,289.9669,296.0205,300.6578,303.7436,305.3315,305.6198,304.8852,303.4092,301.4104,298.9923,296.112,292.5753,288.0605,282.1727,274.5246,264.8327,253.0104,239.2324,223.9512,339.45726211628687,362.36296956273156,2142.4669,205.86549999999988,481.5087000000003,3.0319999999999823
8,0.8,332.7131,326.2816,320.4204,315.2909,310.9409,307.315,304.2873,301.7086,299.4573,297.4863,295.8593,294.7706,294.5439,295.6041,298.4204,303.4233,310.9055,320.9277,333.2525,347.3325,236.6402048391231,264.99461351591856,2348.3324,115.38960000000043,275.64320000000043,3.0319999999999823
9,0.9,249.2181,261.0974,271.6841,280.5695,287.5689,292.7158,296.2176,298.3879,299.5722,300.0818,300.1425,299.8651,299.2361,298.1319,296.3539,293.681,289.9341,285.0382,279.0675,272.2603,233.88717547922028,335.16362998026887,2463.722,160.2536,160.2536,3.0319999999999823
0,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,295.6597846498929,371.84234921439906,0.0,391.3493,2547.571,2.1936000000000035
1,0.1,291.8001,288.1183,284.7696,281.8684,279.4822,277.6355,276.3247,275.5403,275.2919,275.6327,276.6786,278.6188,281.712,286.266,292.5973,300.9727,311.5419,324.2746,338.9188,354.996,268.2266332399891,369.6192283879687,391.3493,213.33279999999996,2156.2217,2.1936000000000035
2,0.2,270.3252,272.3055,274.0775,275.6016,276.9001,278.0566,279.2063,280.5201,282.1869,284.3967,287.3273,291.1329,295.9356,301.8174,308.8141,316.9096,326.0338,336.0618,346.8186,358.087,262.51886145279695,338.59794622956,604.6821,139.16520000000003,1942.8889,2.1936000000000035
3,0.3,265.2401,267.9324,270.577,273.1747,275.7491,278.3478,281.0363,283.8906,286.9854,290.3821,294.1177,298.1951,302.579,307.1972,311.9495,316.7239,321.4166,325.9538,330.307,334.4992,302.1735199844221,346.81753306526497,743.8473,108.79859999999996,1803.7237,2.1936000000000035
