  ,t  ,x0      ,x1      ,x2      ,x3      ,x4      ,x5      ,x6      ,x7      ,x8      ,x9      ,x10     ,x11     ,x12     ,x13     ,x14     ,x15     ,x16     ,x17     ,x18     ,x19     ,u0         ,u1         ,L        ,inst_cost         ,ctg               ,path_diff
0 ,0.0,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,363.3405546,386.0000015,0.0      ,375.5612          ,1121.9403         ,5.253300000000024
1 ,0.1,344.5465,328.4988,315.0058,303.9315,295.1228,288.3791,283.4571,280.1   ,278.0776,277.2263,277.4791,278.8829,281.5983,285.8826,292.0566,300.4626,311.4212,325.2054,342.0458,362.1866,376.7400036,425.4160013,375.5612 ,173.0009          ,746.3791          ,5.253300000000024
2 ,0.2,357.9315,342.1878,329.0111,318.0652,309.1142,301.9861,296.5525,292.7211,290.4359,289.6803,290.4827,292.9192,297.1142,303.2373,311.4995,322.1505,335.485 ,351.866 ,371.7787,395.9292,336.2204065,386.7017847,548.5621 ,71.74009999999998 ,573.3782          ,5.253300000000024
3 ,0.3,327.9753,321.1938,315.5485,310.8108,306.8472,303.6081,301.11  ,299.4128,298.5982,298.75  ,299.9411,302.2269,305.6463,310.2315,316.0242,323.0998,331.596 ,341.7469,353.9181,368.6481,371.1202803,384.3195169,620.3022 ,59.821300000000065,501.6381          ,5.253300000000024
4 ,0.4,354.8428,341.4437,330.492 ,321.6758,314.7494,309.5046,305.7579,303.349 ,302.1445,302.042 ,302.9735,304.9076,307.8492,311.842 ,316.9709,323.3689,331.2275,340.8134,352.4919,366.7636,375.6158267,360.5479373,680.1235 ,63.029499999999985,441.81679999999994,5.253300000000024
5 ,0.5,359.3726,346.1146,335.3   ,326.5381,319.5394,314.0827,309.9945,307.1352,305.3912,304.6685,304.8903,305.9951,307.9385,310.6972,314.2774,318.7262,324.147 ,330.7159,338.7   ,348.4749,376.4081908,335.0233739,743.153  ,78.96640000000002 ,378.78729999999996,5.253300000000024
6 ,0.6,360.4457,347.4741,336.9155,328.3472,321.4534,315.9931,311.7782,308.6583,306.5095,305.2264,304.7169,304.8992,305.7014,307.0659,308.9562,311.3682,314.3441,317.9852,322.4641,328.032 ,377.8088267,460.2573613,822.1194 ,92.92779999999993 ,299.82089999999994,5.253300000000024
7 ,0.7,361.6776,348.5847,337.9281,329.2672,322.2756,316.7126,312.4072,309.252 ,307.2044,306.2924,306.624 ,308.3936,311.8857,317.468 ,325.5771,336.7   ,351.3633,370.1523,393.7848,423.2774,378.595471 ,292.8799127,915.0472 ,53.54849999999999 ,206.8931          ,5.253300000000024
8 ,0.8,362.4305,349.3486,338.7527,330.2113,323.4083,318.1097,314.1367,311.3441,309.5982,308.7554,308.6408,309.0328,309.655 ,310.1848,310.2797,309.6238,307.9862,305.2827,301.622 ,297.3213,377.2827539,447.6992591,968.5957 ,96.03059999999994 ,153.3446          ,5.253300000000024
9 ,0.9,361.5308,348.7895,338.4536,330.0756,323.3196,317.9327,313.7288,310.582 ,308.4291,307.277 ,307.2159,308.4301,311.2042,315.9178,323.0271,333.0369,346.4767,363.8998,385.9355,413.427 ,377.1972135,315.8689022,1064.6263,57.31400000000008 ,57.31400000000008 ,5.253300000000024
10,1.0,361.4416,348.7041,338.3932,330.0782,323.4429,318.2533,314.3349,311.552 ,309.7901,308.9369,308.8654,309.4201,310.4106,311.6175,312.813 ,313.7964,314.4407,314.7392,314.841 ,315.0625,377.0674779,318.6579929,1121.9403,0.0               ,0.0               ,5.253300000000024
