,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg,path_diff
0,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,197.51167120260575,174.57013683000758,0.0,461.74763754,6236.385425139999,-40.0
1,0.1,219.52802946,238.60917427,252.98977402,262.47055157,267.97929023,270.82315769,272.13802593,272.68623327,272.89201395,272.95539583,272.94837691,272.86095197,272.59131872,271.87616927,270.16162041,266.45345946,259.27056512,246.90849921,228.15751478,203.27745048,318.500959605215,426.7922650791943,461.74763754,526.61893119,5774.637787599999,-42.176842309999984
2,0.2,298.92506251,282.98533981,272.66002868,267.77892792,266.75774902,267.72327424,269.26463649,270.62039921,271.51520442,271.91319568,271.83692824,271.29536469,270.33293112,269.22609908,268.8507679,271.14607862,279.36935495,297.59712928,329.0553825,373.71654717,118.32490539522041,268.65340141043396,988.36656873,504.2554401199999,5248.018856409999,-45.27672575999998
3,0.3,164.39004362,203.79495111,232.71352573,251.03299007,261.16980604,266.19933837,268.57222593,269.74801556,270.4102247,270.83748781,271.20132493,271.73925915,272.81359521,274.84718091,278.10302203,282.31970296,286.37020798,288.30416375,286.1119747,279.05573281,159.28365226628287,364.1984984242029,1492.62200885,511.41631456000005,4743.763416289999,-46.80066162999998
4,0.4,179.52451706,199.07882337,217.11306534,232.74768529,245.34988865,254.76271287,261.30909723,265.61456852,268.39031532,270.28173349,271.80616818,273.35307322,275.21752782,277.66446798,281.04289403,285.94896432,293.35127422,304.48340598,320.32594993,340.79480775,195.57399631188176,471.1775244065512,2004.03832341,577.8786219399999,4232.34710173,-58.23728713
5,0.5,202.66462126,210.52778038,219.42898199,228.99214438,238.45971549,247.08302932,254.39010498,260.25620281,264.83948703,268.47503786,271.59124592,274.67794758,278.31670384,283.27541313,290.65376383,302.01902561,319.38473697,344.81365886,379.52183786,422.75168787,99.35421651796617,264.07646120704675,2581.91694535,559.0856114200001,3654.46847979,-65.91697067999999
6,0.6,135.57267893,168.10321643,194.68660613,214.96424679,229.9324816,241.04252444,249.56709247,256.40326681,262.15685752,267.30435397,272.31601605,277.70184294,283.96316005,291.41813342,299.87186673,308.18503545,313.99245869,314.03173812,305.44844985,287.74766975,365.42330004254114,73.49991031368046,3141.00255677,620.0843615100002,3095.38286837,-71.95747556
7,0.7,315.95209465,275.41316797,248.8823374,236.3644996,234.38769633,238.56250545,245.37975444,252.77259198,259.86996717,266.50423209,272.7803537,278.76259859,284.21844734,288.34994997,289.49565205,284.896735,270.78701861,243.18808728,199.6071301,141.12743016,143.35663154394854,110.66801069488977,3761.08691828,641.2614693199998,2475.2985068599996,-74.43749455
8,0.8,177.03565152,205.03721981,224.46280472,235.93132032,242.2210904,246.3229709,250.23405371,254.75912706,259.87318686,265.14267501,269.9623453,273.59873506,275.13727346,273.44665535,267.25193781,255.36057182,237.00547275,212.17086884,181.71956699,147.23122421,163.93506315787008,150.608042901685,4402.3483876,806.9452324800004,1834.0370375399998,-66.6770291
9,0.9,180.71019017,196.66924685,211.0852145,223.45853664,233.64130302,241.84034067,248.47416128,253.96129528,258.54153593,262.18486261,264.58696983,265.22553097,263.45722756,258.65121425,250.35878431,238.49819067,223.48838653,206.22455182,187.81618474,169.15840017,293.326003832048,283.04166737193185,5209.29362008,1027.0918050599994,1027.0918050599994,-71.15965933000001
0,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,364.4838677913623,426.79663302460716,0.0,455.35198777,7272.88547991,-40.0
1,0.1,337.80217871,314.67799445,297.25036638,285.76063289,279.08456231,275.63809503,274.04468056,273.38054144,273.13201681,273.05832544,273.07739068,273.21638791,273.6383449,274.75591783,277.43491744,283.22894856,294.45232965,313.76811283,343.06628997,381.94114052,198.24413574812354,263.1810060931284,455.35198777,361.93990637999997,6817.53349214,-37.36190497000001
2,0.2,227.6882324,251.96348116,268.2131627,276.59223916,279.26223533,278.83406486,277.31544096,275.83363653,274.84696512,274.48237651,274.79939145,275.93026183,278.10001254,281.51857214,286.1257049,291.22461132,295.19608663,295.66235949,290.41563044,278.89074954,213.21373613842013,82.51504066447515,817.29189415,351.54578042,6455.59358576,-34.16593513999999
3,0.3,227.857907,241.44518318,253.07044364,262.14547819,268.51939194,272.47598932,274.60092061,275.59067238,276.08892605,276.59073957,277.39972925,278.5907196,279.92435159,280.67507898,279.37642041,273.58201498,259.89639751,234.65122611,195.43870278,143.04878286,187.2446114134607,273.4145365352314,1168.83767457,442.88956233,6104.04780534,-40.52401068
4,0.4,206.5390943,224.2169377,239.15203004,250.91524063,259.66178412,265.87342131,270.13047942,272.97428295,274.83431969,275.9782793,276.46596586,276.11841502,274.54259033,271.27577275,266.10796695,259.55504192,253.2569835,249.85703799,251.97410879,260.50501483,183.9678750150864,257.9326480870325,1611.7272369,575.4719174600002,5661.15824301,-47.126578689999974
5,0.5,200.3151927,215.78691618,229.67618836,241.54582326,251.23920684,258.82351064,264.50331595,268.5343768,271.15469894,272.54270752,272.80923288,272.02649875,270.28877752,267.78451875,264.84361327,261.91927992,259.48727279,257.89586559,257.24629975,257.37494149,124.35234356830169,149.40101633764885,2187.19915436,682.6626565799997,5085.686325549999,-54.176489360000005
6,0.6,155.68450469,184.18087005,207.98858176,226.59541748,240.50614326,250.6513409,257.93240214,263.0315151,266.40929872,268.37206604,269.13574487,268.85768104,267.62228877,265.3636516,261.71502116,255.82270236,246.26300946,231.29900067,209.64715365,181.5455025,198.82073363183747,88.167839861122,2869.86181094,849.16356602,4403.02366897,-62.34865909999999
7,0.7,201.88767721,206.63904256,213.80612189,222.91515787,232.76127984,242.09498114,250.05895477,256.26903409,260.67889592,263.39479574,264.52537463,264.07662661,261.87065497,257.46898944,250.10220792,238.64366487,221.71296099,198.02176732,167.00093225,129.51181496,320.7364440584387,100.85289121834623,3719.02537696,1056.1631183900004,3553.86010295,-70.90501886000001
8,0.8,291.05295487,266.41489625,249.84258498,241.61453725,239.98000427,242.43739275,246.72158001,251.21073766,254.90396126,257.22160766,257.79325028,256.29735862,252.36559372,245.55304992,235.37734601,221.42422768,203.49605444,181.74853534,156.74680103,129.40563726,351.16824805325354,100.30752556063338,4775.18849535,1201.6037645199995,2497.6969845599997,-70.56260725000001
9,0.9,323.30989338,298.39795776,278.51532175,264.46310819,255.87681775,251.65032146,250.38525949,250.70865966,251.43435953,251.60746438,250.48218178,247.47482521,242.12148634,234.0573884,223.02290667,208.89091325,191.70318833,171.701343,149.33968378,125.27178556,461.0028869826357,219.0661820057082,5976.79225987,1296.0932200400002,1296.0932200400002,-61.34967854000001
0,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,225.8129975664961,82.04333690553689,0.0,474.89565872,5827.27315077,-40.0
1,0.1,239.57529943,251.50265858,260.4917606,266.41811943,269.86159913,271.63923137,272.46093624,272.80278498,272.92819817,272.95611085,272.9121234,272.73353545,272.20797296,270.81994714,267.49355247,260.29956671,246.3644171,222.38157941,186.00442176,137.73670814,392.7228600922701,211.16569148957979,474.89565872,555.90023754,5352.37749205,-41.360768629999995
2,0.2,353.86363739,320.82688778,296.98318995,282.46627948,275.16241599,272.31589521,271.66128921,271.77845023,271.93487324,271.7707255,271.02959123,269.39249619,266.41812007,261.6015127,254.57738897,245.45195445,235.11669723,225.23992648,217.65218213,213.24984533,330.27459316152397,98.78161074773746,1030.79589626,642.2499622999999,4796.47725451,-40.68410478999999
3,0.3,321.78729917,312.8639699,303.60316585,294.68379435,286.94883925,280.93822295,276.69144991,273.8349362,271.7893943,269.94752867,267.76659391,264.78855824,260.61347888,254.82980892,246.88697274,235.92322791,220.65984982,199.58954734,171.65198411,137.23075298,439.1885290654519,440.0510016004598,1673.04585856,727.7156607100001,4154.22729221,-32.06177704999999
4,0.4,398.9138909,363.03521534,334.283448,313.15212555,298.49581425,288.55409247,281.69708966,276.69436309,272.67217835,268.98089429,265.10023637,260.62914613,255.39073767,249.70335815,244.85612588,243.68919023,250.86769103,272.1219844,311.91065234,370.12376021,269.0451922191986,376.8683479576756,2400.76151927,642.3259578900002,3426.5116315,-24.44590753
5,0.5,288.10515833,302.25203537,308.88422169,308.38473162,303.07177605,295.60334407,287.91425748,280.95769214,274.95554766,269.7890702,265.33190237,261.68248311,259.30600982,259.07624666,262.17288541,269.7965004,282.7456538,301.03528199,323.80305852,349.60389645,156.90775606004627,295.65889723641067,3043.08747716,481.4596701299997,2784.18567361,-17.39665593000001
