,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg,path_diff
0,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,317.10592529647886,185.4731563772453,0.0,453.24599585,4785.64497303,5.799023929999976
1,0.1,304.24219728,293.0936634,284.69153141,279.152122,275.93344978,274.27179487,273.50333886,273.18211553,273.05827735,273.00812481,272.96785004,272.88004564,272.63751443,272.00088357,270.47610536,267.17864767,260.79130189,249.79851732,233.12474681,211.00082647,419.86375335010564,253.502280471572,453.24599585,475.02021192000007,4332.39897718,5.799023929999976
2,0.2,380.71436574,346.18490216,319.17512815,300.2413805,288.17578855,281.06476055,277.11169882,274.98538786,273.8209421,273.0799204,272.40131203,271.49301317,270.07702995,267.8996612,264.81993453,260.96472429,256.87070967,253.45360387,251.66034107,251.87809741,431.246093711517,257.27387026257213,928.26620777,474.74466255000004,3857.37876526,5.799023929999976
3,0.3,399.02003766,369.03257875,343.00138857,321.8304982,305.61437979,293.847266,285.69630961,280.23618335,276.60379675,274.07544576,272.0896178,270.24329114,268.28378794,266.1064054,263.75431758,261.40613952,259.33287919,257.81412697,257.02498296,256.93447918,405.011423194818,384.2212453244602,1403.01087032,458.9554538499999,3382.6341027099998,5.799023929999976
4,0.4,386.24464346,367.6354684,349.58151521,332.73104266,317.76939385,305.16859727,295.06071666,287.26240206,281.38729535,276.97437969,273.59469098,270.93491171,268.87961817,267.62319922,267.82957493,270.80055692,278.50002691,293.17422326,316.39151684,347.76612818,449.41819012846037,197.29655065861107,1861.96632417,407.81001462999984,2923.67864886,5.799023929999976
5,0.5,418.91288781,390.52206974,365.66730289,344.82844004,327.77152857,313.95248658,302.81464465,293.90430852,286.87450642,281.46534069,277.50179659,274.89938279,273.63384554,273.61317198,274.40323114,274.84405133,272.77926165,265.31638163,249.95875627,226.32688628,281.0542074792676,210.0485424996695,2269.7763388,371.4030152800001,2515.86863423,5.799023929999976
6,0.6,304.682953,322.7303064,332.08113331,332.86653762,327.45150431,318.79902393,309.31189869,300.45973886,292.92096919,286.873574,282.22238967,278.70882858,275.93037756,273.32358481,270.16836628,265.66187909,259.07843291,249.9771782,238.36957303,224.76086805,79.35868702987432,154.6152536927091,2641.17935408,409.0908264300001,2144.46561895,5.799023929999976
7,0.7,150.53810561,212.11859249,258.05329871,287.17572389,302.06584574,306.88514261,305.62785818,301.30560516,295.84617217,290.30577094,285.12609212,280.33123408,275.6491746,270.57003102,264.35849199,256.05220299,244.51568694,228.65693532,207.87358999,182.60506138,94.47331355107846,124.30531119531057,3050.27018051,457.87285815999985,1735.37479252,5.799023929999976
8,0.8,139.99086662,182.39387047,219.05971558,248.27041604,269.43007889,283.00259537,290.20314433,292.58045267,291.63892753,288.58710197,284.22293097,278.9197804,272.66591899,265.12187364,255.68086502,243.54242776,227.83602295,207.84531473,183.34747393,154.96639907,392.1575902093181,211.5564845456735,3508.14303867,599.4306392000003,1277.5019343600002,5.799023929999976
9,0.9,342.17443223,301.91520055,276.72346003,266.18898503,265.98364721,270.8157085,276.51840735,280.70250714,282.44518061,281.67515129,278.65013467,273.64670337,266.84814872,258.38895975,248.51952429,237.83337004,227.42832739,218.7955404,213.27907545,211.24985037,379.5653545645821,161.11445794332428,4107.57367787,678.0712951599999,678.0712951599999,5.799023929999976
0,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,359.83880908776507,378.0670545254181,0.0,450.24364673,2478.25140426,14.793527410000024
1,0.1,334.51208842,312.56183896,296.01896128,285.11267162,278.77563489,275.5041503,273.99156243,273.36087555,273.12395183,273.0503018,273.05587873,273.1486322,273.43628987,274.19962067,276.02977617,279.98798875,287.65522936,300.85084772,320.86622401,347.42402786,297.42934162444647,425.0065384107385,450.24364673,383.04664594999997,2028.0077575300002,14.793527410000024
2,0.2,297.55796082,296.48878168,293.74149729,289.71447223,285.28653349,281.28297364,278.17122221,276.05139788,274.80917826,274.28795602,274.41391417,275.27309425,277.16360849,280.64010069,286.54697033,296.0075325,310.30211345,330.55375738,357.20432798,389.44909349,418.59738887971474,281.34655475886836,833.29029268,278.83971199000007,1644.96111158,14.793527410000024
3,0.3,381.44908608,348.80627498,323.38496334,305.52568406,293.89065206,286.61183376,282.11052238,279.37643354,277.89971088,277.506673,278.2308189,280.23195766,283.71557306,288.78969862,295.2181085,302.10483991,307.69064374,309.58571327,305.69113943,295.57051346,413.8870253781845,290.79404847435336,1112.13000467,205.57846302999997,1366.12139959,14.793527410000024
4,0.4,387.86401874,363.33785196,341.55267897,323.31109113,308.90307727,298.16970029,290.66340873,285.83273062,283.16600591,282.26183167,282.82670484,284.6194245,287.36958263,290.70185991,294.10144426,296.95189755,298.65432983,298.79479105,297.28745378,294.42169053,436.5299189400026,449.0928635292458,1317.7084677,204.6646579599999,1160.54293656,14.793527410000024
5,0.5,408.0663146,381.38026875,357.79292109,337.96739329,321.99590767,309.62238046,300.44195512,294.01676663,289.92357603,287.7677858,287.18933579,287.88050753,289.64246394,292.51632556,297.01069418,304.37439598,316.71434885,336.61565296,366.01777487,404.65186599,437.356416616927,134.29407688016926,1522.37312566,176.31045694,955.8782786000002,14.793527410000024
6,0.6,413.23340977,390.08663863,368.75992967,349.87158496,333.77956986,320.59972819,310.257878,302.55553129,297.23508555,294.03668872,292.73917314,293.16574556,295.10943147,298.10568003,300.99354174,301.33988795,295.09911804,277.19110412,243.53219097,193.99662012,359.1594421401986,243.8577779470025,1698.6835826,188.30288294000002,779.5678216600002,14.793527410000024
7,0.7,360.71950251,359.89890536,355.47074855,347.72327395,337.97551157,327.79352741,318.42796527,310.62257691,304.66809729,300.52542323,297.91269838,296.33205395,295.06770777,293.22280571,289.87395937,284.3790007,276.74477769,267.79297528,258.83294613,250.86319875,276.1975171167982,439.0728821226282,1886.98646554,246.3787996200001,591.2649387200001,14.793527410000024
8,0.8,297.48853948,314.945361,326.21119911,330.95941084,330.41892944,326.46233729,320.85798952,314.90681575,309.3809604,304.60647628,300.58972215,297.16245164,294.1687856,291.73358256,290.6260642,292.63516149,300.69290806,318.32429628,348.14972464,389.86852518,435.1898369009632,315.8761450004961,2133.36526516,199.10772275,344.88613910000004,14.793527410000024
9,0.9,401.83304559,373.26891256,352.12382417,338.22199846,329.55836749,323.77808276,319.15708541,314.83889965,310.61855611,306.63504081,303.1669322,300.55849077,299.21251851,299.55460616,301.88288599,306.08426384,311.34259092,316.12917806,318.75760195,318.40155592,234.18288854280743,272.3378174514467,2332.47298791,145.77841635000004,145.77841635000004,14.793527410000024
0,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,294.7214193301197,396.26716097232617,0.0,451.01854172,2745.6910201,6.4573294799999985
1,0.1,288.3862226,282.89579042,278.75789453,276.02982114,274.44468594,273.62640833,273.24821468,273.09107977,273.0342274,273.02457672,273.05564627,273.17172266,273.51120579,274.40725744,276.55451404,281.19840376,290.19395823,305.67554704,329.15774744,360.31547178,412.7039976035391,226.25479917048935,451.01854172,397.53554548000005,2294.67247838,6.4573294799999985
2,0.2,373.77334385,339.737779,313.60134318,295.81683482,284.96348606,278.93746931,275.85255702,274.39968916,273.82865089,273.79590102,274.22309452,275.19828425,276.8838088,279.36601456,282.39213997,285.01873157,285.36668533,280.85853419,269.2475365,250.18406958,437.7640778982284,429.9120265547804,848.5540872,342.16380489000005,1897.1369329,6.4573294799999985
3,0.3,402.20052651,369.45246605,341.5843558,319.53705462,303.21806476,291.86523455,284.44285677,279.93146708,277.48296072,276.4678347,276.45520235,277.16897934,278.47231652,280.44495611,283.60758601,289.26089099,299.71027014,317.93502876,346.33905153,384.88948155,416.4514197064757,103.72170629354316,1190.71789209,275.59079054999984,1554.97312801,6.4573294799999985
4,0.4,394.15127247,372.41215264,351.91795426,333.43466909,317.62292178,304.85477273,295.15299789,288.25916509,283.7661586,281.24880589,280.35351184,280.82286646,282.41844776,284.67835324,286.45566362,285.31523527,277.17055334,256.86428946,220.24861504,167.23228405,281.7918678476418,384.0652163491875,1466.30868264,265.43356629000004,1279.3823374600001,6.4573294799999985
5,0.5,300.97250764,315.50105856,322.78155922,322.94491678,318.02909869,310.61530256,302.82984379,295.98568575,290.66141998,286.92354688,284.51587307,282.97785258,281.74709925,280.35352262,278.80965713,278.1819823,281.04366728,291.19055937,312.07794723,344.33716332,395.2359893215765,356.7698553472707,1731.74224893,275.77136882000013,1013.9487711700001,6.4573294799999985
6,0.6,371.98048582,351.70030046,335.96942821,324.59746396,316.32064461,309.77827913,304.09982784,298.97181447,294.42009243,290.57261526,287.53576367,285.39665705,284.30488607,284.56757308,286.687439,291.28674096,298.90812262,309.76499639,323.57726768,339.59434066,180.0968630291655,305.71017300206483,2007.51361775,213.30017252999983,738.17740235,6.4573294799999985
7,0.7,225.50552988,263.48158623,289.72237114,304.05445934,309.17555049,308.6171742,305.31180183,301.1395704,297.10751453,293.70806835,291.20605186,289.79558714,289.64925478,290.88690133,293.48081478,297.12674913,301.15666389,304.61739154,306.60819899,306.78750838,390.9240555144378,223.35562447578607,2220.81379028,170.96487607000017,524.8772298200001,6.4573294799999985
8,0.8,359.32639043,333.38766727,316.05255361,306.80875863,302.98157267,301.62606678,300.72965716,299.44117887,297.72807783,295.92913844,294.43599339,293.52451205,293.26717697,293.45536288,293.49775916,292.32183603,288.38715338,279.98212288,265.90702219,246.34707199,437.9353039131995,436.35179998743,2391.77866635,187.43794604000004,353.91235374999997,6.4573294799999985
9,0.9,403.62653891,372.80277136,347.8110185,329.36501292,316.80634708,308.75839394,303.74628096,300.5682985,298.41424002,296.81931084,295.54969288,294.49744258,293.65034026,293.1977016,293.807972,297.0154905,305.45062945,322.44224562,350.63010488,389.94859528,414.0959242243118,414.2392653799708,2579.21661239,166.47440770999992,166.47440770999992,6.4573294799999985
0,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,100.80677858569453,441.1237073267901,0.0,479.70055142,2835.23924525,3.2039134999999987
1,0.1,151.02769748,194.55264078,227.35537298,248.98163007,261.54752088,268.03470852,271.03457968,272.28756057,272.76671697,272.94681261,273.05093569,273.22750257,273.69553483,274.91895483,277.84794114,284.18181717,296.45073364,317.56588852,349.59338012,392.08968032,440.9120014930932,272.6857691189848,479.70055142,464.88408308,2355.53869383,3.2039134999999987
2,0.2,377.55720544,324.99036137,289.22416666,270.0416019,263.04586129,262.86626693,265.34882301,268.17216285,270.47420741,272.23306451,273.80444357,275.6825985,278.38657064,282.33584653,287.61163988,293.60142417,298.71216887,300.53372635,296.78423829,286.82010952,228.1164977314227,363.1722250314132,944.5846345,365.92929366,1890.6546107499998,3.2039134999999987
