,mpc_x_0,mpc_x_1,mpc_x_2,mpc_x_3,u_0,u_1,ctg
0,-278.0,408.0,-824.0,-558.0,-3.1249999999999964e+18,3.742514970059862e+16,1.4101921144412884e+21
1,4.2947904164539986e+18,-9.244614413633374e+18,7.041635101886838e+18,-9.622075699950492e+18,1.8774056052160365e+19,1.2988549522003433e+18,1.4086109018664382e+21
2,1.00239117170081e+19,-1.060080371110912e+19,6.410404146710482e+18,8.716625808762893e+17,-1.3094990336107473e+19,1.3937688569296835e+18,1.3834728885482954e+21
3,1.541540971652082e+19,-1.0330998974933402e+19,5.725423997745689e+18,9.59922425465846e+18,1.634123630421633e+19,2.1293066946136755e+18,1.362275117873925e+21
4,1.657337981956375e+19,-8.07141587250905e+18,1.298250841396085e+18,1.7059197539103052e+19,-1.5861493094117845e+19,1.15416584412344e+18,1.3325043179025806e+21
5,1.5071917732521892e+19,-4.4177943365004165e+18,-2.4058964174335457e+18,2.024801843108933e+19,-1.7119268516940894e+19,6.029099846803663e+17,1.302495366397174e+21
6,1.16214692703433e+19,-5.032209541584241e+17,-3.7108113823611965e+18,1.8928124426878435e+19,1.3889557229162985e+19,2.5391210989640486e+17,1.2725624636875908e+21
7,8.607016877520888e+18,-4.703191859299192e+18,-6.892000512143949e+16,5.4776842384028e+18,1.4163696409606486e+19,4.790354317597764e+17,1.2481089160011904e+21
8,1.078555022983212e+19,-9.58674293004541e+18,5.246263924657609e+18,1.9446719827521836e+18,1.4394862476645708e+19,1.498932429792481e+18,1.231359143590335e+21
9,1.314616930355445e+19,-7.00886956730881e+18,2.2095882042333248e+18,1.3116983547807562e+19,-1.7746760001437204e+19,7.850481435786033e+17,1.2096306316034724e+21
10,1.1933474979523086e+19,-1.247341050091947e+18,-3.1994526769995853e+18,2.0371414544461832e+19,-1.5689130781676917e+19,-1.774857217861406e+17,1.1826239222195125e+21
11,6.132933373697965e+18,6.101398676891168e+18,-7.298202965678932e+18,2.047430544856564e+19,1.601348104309593e+19,-7.07085733266538e+17,1.1563147723422427e+21
12,-2.594248673508796e+18,9.282205663780635e+18,-8.155749879845131e+18,9.71793665339179e+18,1.6450595147462291e+19,-1.2040513960819668e+18,1.1279510687216446e+21
13,-8.36011409044589e+18,5.392679582665808e+18,-3.3367786041024686e+18,-7.291965995277554e+18,1.2512240329777095e+19,-3.896661487798646e+17,1.1042486750146092e+21
14,-6.874100790017938e+18,-1.7698162048134006e+18,3.998076671190091e+18,-1.6831310186824983e+19,1.7946843468450218e+19,1.6544706069900736e+17,1.0856069526390849e+21
15,-5.973384453136529e+17,-6.77162509945303e+18,8.390729645893411e+18,-1.2860670456936042e+19,1.5224074129056436e+19,1.5820932697867802e+18,1.0618141554480871e+21
16,7.484760521809979e+18,-1.1202611823314465e+19,9.79359403468109e+18,-5.858566197309243e+18,1.500176935572738e+19,2.1046746303959547e+18,1.0391008899248675e+21
