mpc_x_0,mpc_x_1,mpc_x_2,mpc_x_3,mpc_x_4,mpc_x_5,mpc_x_6,mpc_x_7,mpc_x_8,mpc_x_9,mpc_x_10,mpc_x_11,mpc_x_12,mpc_x_13,mpc_x_14,mpc_x_15,mpc_x_16,mpc_x_17,mpc_x_18,mpc_x_19,mpc_x_20,mpc_x_21,mpc_x_22,mpc_x_23,mpc_x_24,mpc_x_25,mpc_x_26,mpc_x_27,mpc_x_28,mpc_x_29,mpc_x_30,mpc_x_31,mpc_x_32,mpc_x_33,mpc_x_34,mpc_x_35,mpc_x_36,mpc_x_37,mpc_x_38,mpc_x_39,mpc_x_40,mpc_x_41,mpc_x_42,mpc_x_43,mpc_x_44,mpc_x_45,mpc_x_46,mpc_x_47,mpc_x_48,mpc_x_49,mpc_x_50,mpc_x_51,mpc_x_52,mpc_x_53,mpc_x_54,mpc_x_55,mpc_x_56,mpc_x_57,mpc_x_58,mpc_x_59,mpc_x_60,mpc_x_61,mpc_x_62,mpc_x_63,mpc_x_64,mpc_x_65,mpc_x_66,mpc_x_67,mpc_x_68,mpc_x_69,mpc_x_70,mpc_x_71,mpc_x_72,mpc_x_73,mpc_x_74,mpc_x_75,mpc_x_76,mpc_x_77,mpc_x_78,mpc_x_79,mpc_x_80,mpc_x_81,mpc_x_82,mpc_x_83,mpc_x_84,mpc_x_85,mpc_x_86,mpc_x_87,mpc_x_88,mpc_x_89,mpc_x_90,mpc_x_91,mpc_x_92,mpc_x_93,mpc_x_94,mpc_x_95,mpc_x_96,mpc_x_97,mpc_x_98,mpc_x_99,mpc_x_100,mpc_x_101,mpc_x_102,mpc_x_103,mpc_x_104,mpc_x_105,mpc_x_106,mpc_x_107,mpc_x_108,mpc_x_109,mpc_x_110,mpc_x_111,mpc_x_112,mpc_x_113,mpc_x_114,mpc_x_115,mpc_x_116,mpc_x_117,mpc_x_118,mpc_x_119,mpc_x_120,mpc_x_121,mpc_x_122,mpc_x_123,mpc_x_124,mpc_x_125,mpc_x_126,mpc_x_127,mpc_x_128,mpc_x_129,mpc_x_130,mpc_x_131,mpc_x_132,mpc_x_133,mpc_x_134,mpc_x_135,mpc_x_136,mpc_x_137,mpc_x_138,mpc_x_139,mpc_x_140,mpc_x_141,mpc_x_142,mpc_x_143,mpc_x_144,mpc_x_145,mpc_x_146,mpc_x_147,mpc_x_148,mpc_x_149,mpc_x_150,mpc_x_151,mpc_x_152,mpc_x_153,mpc_x_154,mpc_x_155,mpc_x_156,mpc_x_157,mpc_x_158,mpc_x_159,mpc_x_160,mpc_x_161,mpc_x_162,mpc_x_163,mpc_x_164,mpc_x_165,mpc_x_166,mpc_x_167,mpc_x_168,mpc_x_169,mpc_x_170,mpc_x_171,mpc_x_172,mpc_x_173,mpc_x_174,mpc_x_175,mpc_x_176,mpc_x_177,mpc_x_178,mpc_x_179,mpc_x_180,mpc_x_181,mpc_x_182,mpc_x_183,mpc_x_184,mpc_x_185,mpc_x_186,mpc_x_187,mpc_x_188,mpc_x_189,mpc_x_190,mpc_x_191,mpc_x_192,mpc_x_193,mpc_x_194,mpc_x_195,mpc_x_196,mpc_x_197,mpc_x_198,mpc_x_199
8,-3,-2,6,1,6,9,1,-2,-5,-2,7,7,-3,3,-8,9,5,-3,6,-1,-6,-4,3,-10,-10,-8,0,-10,7,-3,-4,-10,-6,9,-9,-1,-7,8,-3,-3,-9,-5,-9,0,6,-6,7,5,9,-5,3,9,9,2,-9,-2,-4,7,-1,-4,5,2,-10,-10,0,-7,6,4,-7,0,6,-10,7,2,8,9,-10,8,-3,1,-4,6,-4,-4,7,-8,-5,-10,-1,-10,-7,-1,-10,1,5,2,1,-2,4,8,3,-3,-2,-1,-7,-5,-8,-6,-8,-7,-5,7,-4,7,-2,-10,-8,-7,3,0,7,-7,3,6,-4,-2,-1,1,7,2,-9,-2,-4,-3,8,-2,1,6,8,-9,-4,-3,-1,-1,-4,-10,-8,2,-7,0,2,-3,-4,-3,5,9,1,6,2,-6,0,0,5,0,1,-10,-10,-6,-1,3,2,7,5,-10,1,6,9,4,3,9,9,-6,-9,0,4,2,6,-5,8,4,-3,-6,1,6,8,-6,8,9,3
-0.000380781,-0.016082756,0.001606849,0.006598728,-0.015424072,0.008972052,-0.00688947,-0.012306712,-0.010226534,-0.016428648,-0.00325512,-0.035478145,0.063991183,-0.034026988,-0.005049429,0.023786426,0.000238768,0.028544006,-0.011090252,0.005889204,0.039271504,-0.002113556,-0.015729859,0.038619359,-0.024211898,0.022305543,0.017172088,0.008593284,-0.02251253,-0.000839726,-0.008091669,-0.034634303,0.042694103,0.012970235,0.029621393,0.011086759,0.051551876,0.002188725,-0.01979643,-0.016204995,-0.015202358,0.00137466,0.020509109,0.010753877,0.016108803,0.05002563,-0.009338412,-0.033431232,-0.082699851,0.053059624,0.007670459,0.007704934,0.028714796,-0.073376113,-0.020224299,-0.025124238,-0.001952411,0.003230624,-0.013905312,0.040416053,0.013574863,-0.00461624,0.010761351,-0.040069498,0.008534925,-0.007510644,0.025512425,-0.002787428,0.022682888,0.035873348,0.03839632,-0.004496113,0.0651386,0.055999939,0.005847371,-0.00212087,0.025128899,0.00188984,0.030407225,-0.008077534,-0.026044724,-0.014568357,0.041512798,-0.002952083,0.033301801,-0.016618226,0.036868106,-5.71E-05,-0.001447632,0.024715878,-0.018098159,0.01208182,0.003132128,-0.010987474,-0.009285843,0.015626083,-0.003320361,0.001644939,0.016623299,0.017834251,0.007481852,-0.00194825,-0.021915183,-0.008778856,0.006712105,-0.006888142,-0.002310878,-0.015131904,-0.021848181,0.006910442,-0.007003452,-0.005787779,-0.007400702,-0.004479156,0.007988632,0.002993569,-0.00183758,0.010801819,0.017888783,0.030347755,0.023279789,-0.027644773,-0.031344575,0.014576077,0.031821682,-0.013391926,-0.001146905,-0.019203808,-0.053393758,0.019512208,0.003707271,0.025810156,-0.053952864,-0.001341582,-0.006252042,0.012888136,-0.025872012,0.001628538,0.008782096,-0.006622979,-0.013007476,-0.023688954,-0.014628948,-0.006023674,-0.005127105,-0.005794106,0.013602289,0.00166714,0.012579874,-0.021605221,0.006311895,0.050795446,-0.023604764,-0.001679105,0.037648052,0.008194962,0.026445564,-0.02419427,0.017975216,0.009140339,0.018225189,-0.044045088,-0.028472688,-0.001899544,0.023439513,-0.027825759,-0.001189318,0.019006555,0.022310369,0.032868984,-0.027424082,-0.000152061,0.009873914,0.028156255,-0.024755093,0.015225695,-0.010009479,-0.009821093,0.000947325,0.007779837,0.012167215,-0.012317023,0.012375894,-0.000505999,-0.000865928,0.046974707,0.005585724,0.012321519,-0.01742988,-0.016204681,0.023500507,0.028494946,0.004644275,-0.013335618,0.004997101,0.004843276,0.012172503,-0.034691985,0.017582278,0.018328701
-0.01157789,-0.124780383,0.013779958,0.036483189,-0.125467626,0.060431363,-0.148558666,-0.100605478,-0.061700014,-0.13696867,-0.045548171,-0.244961176,0.450041776,-0.281486299,-0.042849517,0.200332993,-0.01459991,0.107269504,-0.087650157,0.036690125,0.279650357,0.020706599,-0.13991098,0.300982153,-0.175632368,0.162701254,0.118799865,0.104813181,-0.148954189,0.028866328,-0.033171871,-0.234664565,0.419828993,0.06555427,0.215228971,0.089730186,0.355897592,0.061975537,-0.165143982,-0.138872247,-0.103241698,0.03169497,0.136798871,0.064582384,0.177170808,0.310795928,-0.084436738,-0.177984143,-0.633960941,0.308105412,0.095164648,0.042135019,0.254632291,-0.442414858,-0.136250543,-0.148997073,0.005050531,-0.012226404,-0.11760436,0.38709428,0.101698953,-0.04026248,0.044647408,-0.267972166,0.010611272,-0.039927731,0.209070829,-0.063710404,0.149463158,0.278662497,0.305516664,-0.037271138,0.571602811,0.36495044,0.028899698,-0.054848317,0.28762638,-0.01889517,0.176434816,-0.059601561,-0.15860478,-0.144492193,0.256749739,0.021536165,0.275941401,-0.114844618,0.273658214,0.017954152,0.005506464,0.157644458,-0.162190587,0.040400703,0.038404996,-0.077478874,-0.106984792,0.145605604,0.000157354,0.002597811,0.09678194,0.083440884,0.026848324,-0.012131229,-0.157998892,-0.030098214,0.033279594,-0.027273351,0.041163272,-0.085281064,-0.146246015,0.061872334,-0.038209078,-0.004989999,-0.062553973,0.008621154,-0.008807339,-0.011422261,-0.001576524,0.044191015,0.105389619,0.136218139,0.144560876,-0.184507277,-0.201718528,0.061625687,0.189594447,-0.061654616,0.011484441,-0.179698772,-0.302646,0.099984348,-0.001506323,0.140335184,-0.337691593,-0.023942493,-0.054014204,0.09712683,-0.161771265,-0.009864999,0.02024061,-0.082124737,-0.085194804,-0.169335605,-0.088784765,-0.035317555,0.00709753,-0.059250663,0.111189345,0.075365605,0.075977437,-0.151964659,0.047428133,0.357090871,-0.1655933,-0.004655474,0.302886815,0.053548244,0.207258794,-0.092079086,0.13291885,0.027975294,0.100781683,-0.323696664,-0.160724826,0.008628452,0.16865049,-0.183540988,0.017647844,0.132842046,0.121197206,0.192202864,-0.088608772,0.018343807,-0.004607999,0.167659989,-0.175540751,0.108338191,-0.083589787,-0.099035314,0.065197161,0.091835003,0.058011761,-0.125796291,0.023471715,0.05702909,-0.013186751,0.288882246,0.091813634,0.089698062,-0.132867738,-0.123344678,0.144782865,0.218349982,0.060352491,-0.055068219,0.059986934,0.051269084,0.071484374,-0.196714215,0.075166023,0.126264406
-0.029647211,-0.320280469,0.035492925,0.093672348,-0.322231181,0.155285505,-0.382088733,-0.258596989,-0.158478093,-0.352098603,-0.117174363,-0.629141119,1.155594816,-0.723184086,-0.110113159,0.514454684,-0.037459441,0.27488055,-0.225228345,0.094235735,0.718142935,0.05339147,-0.359622159,0.773066301,-0.451143891,0.417871136,0.304944827,0.269440268,-0.382415518,0.074309224,-0.085027094,-0.602655349,1.078833565,0.168254586,0.552817331,0.230557768,0.91380488,0.159198086,-0.424329001,-0.356714048,-0.265173223,0.081445984,0.351238816,0.165714966,0.45544194,0.797842667,-0.216936,-0.456591191,-1.628401107,0.791059986,0.244859444,0.108130584,0.654276333,-1.135392299,-0.349750276,-0.382523847,0.013125273,-0.031657421,-0.302077085,0.994743301,0.261097104,-0.103401753,0.114517998,-0.688288727,0.027027535,-0.1024156,0.536860169,-0.16377142,0.38382315,0.715757993,0.784837343,-0.095571699,1.468650168,0.937103882,0.074171655,-0.141081241,0.739213608,-0.048796817,0.452910996,-0.153177782,-0.407121218,-0.371346008,0.659397241,0.055346448,0.709002795,-0.294891904,0.702759359,0.046058021,0.014198169,0.404699577,-0.416798035,0.103545935,0.098630347,-0.199195157,-0.274731004,0.374314782,0.000543806,0.006572442,0.24838824,0.214089902,0.068852583,-0.031037982,-0.405769088,-0.077232314,0.085340649,-0.069976509,0.106012151,-0.218963033,-0.37553712,0.159042468,-0.098099834,-0.012570422,-0.160775162,0.022309759,-0.022913471,-0.029717457,-0.004110022,0.113255862,0.27060093,0.349393685,0.37117926,-0.473730437,-0.518016587,0.158023021,0.486724649,-0.15814074,0.029497799,-0.46161215,-0.776713944,0.256704674,-0.003948754,0.360053791,-0.866871788,-0.061613285,-0.13868389,0.249511075,-0.415372982,-0.025401408,0.051906291,-0.211118446,-0.218849005,-0.434951477,-0.227938056,-0.090637889,0.018460465,-0.152389773,0.285713793,0.193869528,0.194996112,-0.390262165,0.121925196,0.916923773,-0.425427432,-0.011984594,0.777982599,0.137661606,0.53250886,-0.236036141,0.341359575,0.071610931,0.258708018,-0.831561557,-0.412561318,0.022218513,0.433273617,-0.471276524,0.045320747,0.340884066,0.310799632,0.493183209,-0.226856007,0.047280417,-0.012151967,0.430423025,-0.450939185,0.278257455,-0.214715564,-0.254362496,0.167902193,0.235964941,0.14877313,-0.32327879,0.059919351,0.146926408,-0.033941147,0.741690555,0.236214179,0.23040646,-0.341388175,-0.316721204,0.371675138,0.560921562,0.155101148,-0.141136628,0.154403505,0.131727129,0.183438261,-0.504856796,0.192634147,0.324198721
-0.056281022,-0.608897142,0.067600949,0.178109158,-0.612796393,0.295412049,-0.727243984,-0.492004599,-0.301409791,-0.669957972,-0.223038034,-1.196477238,2.197398974,-1.375582169,-0.209465093,0.978289978,-0.071170702,0.522083611,-0.428467903,0.179228529,1.365621118,0.101766233,-0.684228268,1.470227008,-0.858037379,0.794712885,0.579748465,0.512665328,-0.727089701,0.141522307,-0.161522272,-1.146077255,2.052313201,0.319842358,1.051372192,0.438578831,1.737529353,0.302764379,-0.807179375,-0.678430596,-0.504309118,0.154938899,0.66785828,0.31499122,0.866596523,1.516883199,-0.412630957,-0.867746829,-3.097036665,1.50414991,0.466171192,0.205525844,1.244603795,-2.158283759,-0.664938435,-0.727310321,0.025142424,-0.06049688,-0.574520177,1.892387328,0.496435964,-0.19663497,0.217630271,-1.309010774,0.051165245,-0.194619066,1.020889322,-0.311605951,0.729876211,1.361254842,1.492769193,-0.181589166,2.793684356,1.781927068,0.140997209,-0.268521208,1.406338461,-0.093100079,0.861073864,-0.291419685,-0.773991192,-0.706490096,1.253965346,0.105300103,1.348654474,-0.560734761,1.336425054,0.087537159,0.027054271,0.769451398,-0.792916999,0.196676741,0.187577362,-0.379028735,-0.522413412,0.712258441,0.001176885,0.012401119,0.472185474,0.40691314,0.130803746,-0.058912197,-0.771645911,-0.146806249,0.162153119,-0.133000404,0.201917055,-0.41634478,-0.714114338,0.302616692,-0.186526927,-0.023640495,-0.305885241,0.042600843,-0.0438919,-0.056924312,-0.007892125,0.215134145,0.514537151,0.663956978,0.705770419,-0.900762181,-0.985070775,0.300239618,0.925376705,-0.300502264,0.056100498,-0.877980256,-1.476494938,0.488099943,-0.007587151,0.684316061,-1.648096856,-0.117313447,-0.263719003,0.474581163,-0.789817646,-0.048390658,0.098614275,-0.401705947,-0.416273039,-0.827231152,-0.433363263,-0.172295141,0.035350848,-0.290041631,0.543506774,0.369003549,0.370682853,-0.742174986,0.231987361,1.743550513,-0.809205772,-0.022814626,1.479632869,0.261924418,1.012919455,-0.448368453,0.649163849,0.135943599,0.491850379,-1.581667696,-0.784349176,0.042292521,0.824098512,-0.896137816,0.086190187,0.647965392,0.590559078,0.937407657,-0.43064568,0.090101137,-0.023475066,0.81834706,-0.857668088,0.529192294,-0.408364963,-0.483752348,0.319806688,0.44886212,0.282698657,-0.615010404,0.113532432,0.27993343,-0.064627445,1.410211263,0.449652221,0.438241287,-0.64942252,-0.602227316,0.706645354,1.066878792,0.295081501,-0.268098538,0.294002721,0.25058337,0.348719049,-0.95969102,0.36589245,0.616447732
-0.091476092,-0.990610837,0.11011081,0.289791307,-0.997156234,0.480808093,-1.184037847,-0.800837179,-0.49048987,-1.090553489,-0.363148463,-1.946957569,3.575415383,-2.238676857,-0.340909571,1.591828719,-0.115739888,0.84884363,-0.697365598,0.291663426,2.222072513,0.165839641,-1.11373487,2.392455056,-1.396306734,1.293212121,0.943195967,0.834498815,-1.182966838,0.230506312,-0.262646373,-1.864912581,3.340272966,0.520315069,1.710883883,0.713792843,2.827051595,0.49267867,-1.313693946,-1.104018189,-0.820646062,0.252173692,1.086645582,0.512398329,1.410641852,2.467886866,-0.671524438,-1.411419187,-5.039842591,2.447341932,0.759108689,0.334320968,2.025615087,-3.511030933,-1.081800178,-1.183341193,0.041104377,-0.09875168,-0.934926693,3.080028407,0.807706199,-0.319961371,0.353972276,-2.130128534,0.083010083,-0.316532518,1.661136804,-0.507218373,1.187616921,2.215146515,2.429301979,-0.295314376,4.546697157,2.899390896,0.229373508,-0.437179597,2.289012218,-0.151813522,1.400905135,-0.474328519,-1.259199221,-1.149923989,2.040450028,0.171395465,2.194903266,-0.912366733,2.174626515,0.142386676,0.044079614,1.251881169,-1.290548734,0.319783693,0.305239763,-0.616990067,-0.850029621,1.159439919,0.002066001,0.020075828,0.768158919,0.661897498,0.212704045,-0.095743071,-1.255621914,-0.238813866,0.263709501,-0.216341025,0.328892551,-0.677418508,-1.161964447,0.492595014,-0.303486631,-0.038188157,-0.497885606,0.069504757,-0.071756712,-0.093061835,-0.012922508,0.34980913,0.837190004,1.079882582,1.148327457,-1.465587777,-1.60287007,0.488263619,1.505538729,-0.488732002,0.091291871,-1.428795266,-2.401947142,0.794159855,-0.012428143,1.113102733,-2.681336251,-0.19104488,-0.429108134,0.772332464,-1.285093888,-0.078831178,0.160364539,-0.653893327,-0.677455039,-1.346164785,-0.705059088,-0.280284814,0.057781773,-0.472213576,0.884572236,0.600785462,0.603028284,-1.20768621,0.377620658,2.836944258,-1.316925228,-0.037149061,2.407819937,0.426346228,1.648490847,-0.729058082,1.056324077,0.220955698,0.800199925,-2.574003753,-1.276067008,0.0688606,1.341128979,-1.458107582,0.140253122,1.054062854,0.960445061,1.524849781,-0.699939282,0.146811919,-0.038585236,1.331420725,-1.395727082,0.861137044,-0.664536913,-0.787198023,0.520927699,0.73052635,0.459773137,-1.000993331,0.184300877,0.456062903,-0.105248463,2.294428739,0.732146296,0.71319076,-1.056960923,-0.97986235,1.149679108,1.736216556,0.480291385,-0.435933452,0.478798173,0.40783316,0.567305118,-1.561197998,0.594917528,1.003002262
1,-10,7,6,-6,5,0,-9,-5,-4,-9,2,-6,-1,8,4,6,-10,-9,-4,-3,-10,-10,-5,7,0,-4,9,-3,5,6,-5,-5,-7,1,8,-4,-2,2,-1,-1,6,6,4,-4,3,-7,-10,-1,9,-4,5,8,7,-5,-4,-8,-2,0,4,8,6,-7,0,3,1,-9,-4,-7,5,-2,2,-10,-5,-8,-9,2,-5,-9,7,0,-4,9,-4,5,-6,-4,-10,-3,5,-7,9,-9,3,-6,0,9,2,8,0,2,0,-5,0,2,-6,-2,4,-6,-7,-9,4,-4,0,-9,-8,9,-8,1,6,4,-9,8,-4,0,-10,4,-5,2,4,-9,9,2,-8,-5,4,-5,9,9,8,6,-2,9,9,0,8,-3,-1,6,7,-7,6,0,-10,4,8,9,-9,-9,-5,6,3,2,-3,-4,-2,3,1,4,0,9,-7,-6,-8,-7,5,2,3,8,-3,8,4,-4,-6,-8,-1,2,4,-3,5,-3,6,-2,8,-1,-7,-3,5,5,9
-0.002836548,-0.018422246,0.006695795,0.005039313,-0.015146707,0.010870975,-0.012291495,-0.012447692,-0.011323558,-0.012479764,-0.004265504,-0.041327823,0.07061449,-0.038949699,-0.005616571,0.02661444,-0.006972631,0.023807779,-0.0126585,0.003239166,0.048610669,-0.003133124,-0.025039746,0.043417008,-0.017847397,0.024243195,0.019068522,0.01460794,-0.029442285,0.004676212,-0.003370572,-0.039574936,0.050930795,0.010279537,0.030663678,0.015045001,0.057579041,0.007824067,-0.021031214,-0.024486968,-0.015738997,0.004166739,0.023231225,0.009960322,0.017280234,0.051498933,-0.009708803,-0.035409393,-0.096855878,0.056243477,0.007553241,0.012303449,0.0351623,-0.076209223,-0.023935945,-0.025322257,-0.005223511,-0.000277848,-0.020725006,0.047448813,0.015007276,-0.003874624,0.004170803,-0.043991701,0.009983628,-0.003449663,0.027198425,-0.006144333,0.020243644,0.045526938,0.043384042,-0.008567836,0.072212248,0.058357933,0.008032992,-0.009993277,0.032001612,-0.001977433,0.028259885,-0.007087757,-0.027494595,-0.026943589,0.043415377,-0.00192905,0.035681652,-0.020388923,0.041339608,0.000835409,5.90E-05,0.027807711,-0.023840834,0.009526075,0.002649908,-0.004515022,-0.017670689,0.012240289,0.009690297,0.005669289,0.01617905,0.019401543,0.005181052,-0.005009159,-0.024807933,-0.003732381,0.007552998,-0.00573098,0.005910179,-0.013166684,-0.025816214,0.008830991,-0.007750038,-0.009844995,-0.008596261,8.81E-05,-0.000648298,-0.007378127,0.003519903,0.004041729,0.018261377,0.029349357,0.02470268,-0.029893885,-0.031598974,0.018152729,0.043367087,-0.017458152,0.002509834,-0.024527094,-0.053530345,0.013174284,-9.10E-05,0.03253268,-0.053638999,-0.001834397,-0.00418776,0.014908344,-0.027770922,0.002226655,0.011199767,-0.01025741,-0.010727533,-0.025115753,-0.014322423,-0.005455961,-0.004601374,-0.006710332,0.018754862,0.008338773,0.018618695,-0.01883148,0.004519437,0.057209507,-0.022460565,-0.003034157,0.045441879,0.013728727,0.031362404,-0.027701562,0.020724859,-0.00010103,0.018949188,-0.044109314,-0.025423676,-0.001350151,0.022730917,-0.031771736,0.001412744,0.019804524,0.02747204,0.034148889,-0.021161982,-6.39E-05,0.013960331,0.030918472,-0.031122539,0.016207692,-0.013228161,-0.016260553,0.000705554,0.006028052,0.014063951,-0.015650968,0.005963285,-0.004523183,-0.001382928,0.050648183,0.011856694,0.010204035,-0.021348773,-0.02015281,0.023364546,0.036329263,0.004489631,-0.009885958,0.006318332,0.008662155,0.008125114,-0.037478608,0.02808116,0.023513578
-0.011579812,-0.124772439,0.013784456,0.036481203,-0.125462577,0.060426543,-0.148557165,-0.100603536,-0.061695436,-0.13696142,-0.045548233,-0.244958582,0.450019016,-0.281478071,-0.042850742,0.200324635,-0.014607655,0.107257003,-0.087645678,0.036685976,0.279649688,0.020706334,-0.139913204,0.300976352,-0.175621197,0.162689895,0.118793021,0.104814211,-0.148952964,0.028866294,-0.033167445,-0.234655031,0.419820745,0.065553506,0.215219603,0.089728397,0.355891799,0.061977039,-0.165136574,-0.138872019,-0.103238332,0.031693933,0.136794316,0.064575839,0.177165107,0.310784433,-0.084435976,-0.17797504,-0.633946414,0.308094299,0.095162058,0.042139285,0.254628521,-0.44239709,-0.136245643,-0.148992211,0.005047562,-0.012228865,-0.117603991,0.387083115,0.101694743,-0.040260732,0.044642198,-0.267965639,0.010609174,-0.039922607,0.209060432,-0.06371027,0.14945752,0.278660164,0.305506351,-0.037273282,0.571586136,0.364937597,0.028899718,-0.054852314,0.287622788,-0.018899177,0.176430159,-0.059599305,-0.158600025,-0.144494265,0.256745987,0.021534647,0.275936128,-0.114842035,0.273642123,0.017953598,0.005507188,0.157636032,-0.162187957,0.040396331,0.038401925,-0.077474918,-0.106988037,0.145597638,0.000166659,0.002599298,0.096774241,0.083438977,0.026849271,-0.012128821,-0.15799623,-0.030091833,0.0332771,-0.027270535,0.041168818,-0.085277543,-0.146240411,0.061870183,-0.038207422,-0.004990653,-0.062550826,0.008626471,-0.008811746,-0.011428397,-0.001575301,0.044181549,0.10538569,0.136209935,0.14455877,-0.184500514,-0.201713157,0.061625331,0.189596627,-0.061656259,0.011486498,-0.179693431,-0.302634069,0.09997469,-0.001509423,0.140333169,-0.337681161,-0.023940345,-0.054005926,0.097124203,-0.161764617,-0.009863176,0.020245077,-0.082124961,-0.085188449,-0.169327525,-0.088784138,-0.035316858,0.007101175,-0.059251552,0.111190799,0.075370656,0.075978703,-0.151951787,0.047429019,0.357079792,-0.16558556,-0.00465522,0.302876833,0.053558318,0.207255168,-0.092077705,0.132918681,0.027964134,0.100779895,-0.323684073,-0.16071237,0.00863185,0.168645913,-0.183534458,0.017645954,0.132835175,0.121190321,0.192193688,-0.088596391,0.018343008,-0.004605521,0.167658993,-0.175541581,0.108334618,-0.083589512,-0.0990319,0.065197838,0.091826346,0.05800693,-0.125797796,0.023468925,0.057026916,-0.013185706,0.288879761,0.091819711,0.089688739,-0.132860701,-0.123346848,0.144777955,0.218349126,0.060345899,-0.055063533,0.059991694,0.051271936,0.071471521,-0.196709195,0.075164134,0.12626315
-0.029647218,-0.32028046,0.035492916,0.093672345,-0.322231166,0.155285485,-0.382088674,-0.258596963,-0.158478077,-0.352098561,-0.117174343,-0.629141091,1.155594752,-0.723184029,-0.110113151,0.514454663,-0.037459448,0.274880567,-0.225228323,0.094235725,0.718142912,0.053391452,-0.359622121,0.773066258,-0.451143862,0.417871104,0.304944818,0.269440241,-0.382415507,0.074309202,-0.085027104,-0.602655315,1.078833468,0.16825459,0.552817297,0.230557746,0.913804859,0.159198077,-0.424328963,-0.356714028,-0.265173209,0.081445977,0.351238804,0.165714964,0.455441887,0.797842654,-0.216935989,-0.456591201,-1.628401006,0.791059957,0.244859395,0.108130591,0.654276279,-1.135392299,-0.349750269,-0.382523835,0.013125259,-0.031657397,-0.302077067,0.994743204,0.261097098,-0.10340175,0.114518001,-0.688288684,0.027027545,-0.102415604,0.536860138,-0.163771403,0.383823137,0.715757956,0.784837285,-0.095571708,1.468650044,0.937103845,0.074171651,-0.141081222,0.739213539,-0.048796798,0.452910994,-0.153177765,-0.407121213,-0.371345967,0.659397212,0.055346438,0.709002742,-0.294891894,0.702759314,0.046058022,0.014198165,0.40469956,-0.416797995,0.103545945,0.098630341,-0.199195136,-0.274730996,0.374314732,0.000543804,0.006572445,0.248388236,0.214089907,0.068852592,-0.031037982,-0.405769072,-0.077232312,0.085340652,-0.069976509,0.106012128,-0.218963026,-0.375537099,0.159042447,-0.098099831,-0.012570435,-0.160775142,0.02230975,-0.022913449,-0.029717429,-0.004110017,0.113255865,0.270600921,0.349393696,0.371179252,-0.473730421,-0.518016563,0.158023027,0.486724643,-0.158140753,0.029497797,-0.461612118,-0.776713946,0.256704664,-0.003948749,0.360053796,-0.866871778,-0.061613269,-0.138683874,0.249511057,-0.415372965,-0.025401397,0.051906298,-0.211118423,-0.218848984,-0.434951445,-0.227938053,-0.090637892,0.018460451,-0.152389749,0.285713771,0.193869501,0.194996112,-0.390262133,0.121925186,0.916923737,-0.425427395,-0.011984591,0.777982545,0.137661602,0.532508819,-0.236036162,0.341359562,0.071610936,0.258708012,-0.831561494,-0.412561305,0.022218514,0.433273586,-0.471276504,0.045320742,0.340884065,0.310799642,0.493183213,-0.226856037,0.0472804,-0.01215194,0.430423018,-0.450939161,0.27825744,-0.214715552,-0.254362475,0.167902155,0.235964914,0.148773133,-0.323278768,0.059919377,0.146926365,-0.033941139,0.741690543,0.236214146,0.230406439,-0.341388137,-0.316721202,0.371675133,0.560921525,0.155101127,-0.141136641,0.154403482,0.131727122,0.183438253,-0.504856801,0.192634158,0.324198711
