,,xi_0,xi_1,ui_0,xf_0,xf_1,uf_0
0,0,4,1,2,-0.855944381,-0.230595675,0.088908086
1,1,-0.855944381,-0.230595675,0.088908086,0.182559731,0.038225613,-0.015444579
2,2,0.182559731,0.038225613,-0.015444579,-0.038815822,-0.00587452,0.002560101
3,3,-0.038815822,-0.00587452,0.002560101,0.008236223,0.00078128,-0.00039272
4,4,0.008236223,0.00078128,-0.00039272,-0.001783037,-7.06E-05,5.00E-05
5,5,-0.001783037,-7.06E-05,5.00E-05,-5,-9,-2.5
6,0,-5,-9,-2.5,1.1554704,1.499999975,-0.842570985
7,1,1.1554704,1.499999975,-0.842570985,-0.259803029,-0.29881587,0.10045671
8,2,-0.259803029,-0.29881587,0.10045671,0.057986227,0.059193172,-0.020010486
9,3,0.057986227,0.059193172,-0.020010486,-0.012871174,-0.011663541,0.003956602
10,4,-0.012871174,-0.011663541,0.003956602,0.002906731,0.00233561,-0.000746387
11,5,0.002906731,0.00233561,-0.000746387,6,3,1.309462946
12,0,6,3,1.309462946,-1.31196388,-1.087760045,0.161493849
13,1,-1.31196388,-1.087760045,0.161493849,0.283497583,0.096012477,-0.065838232
14,2,0.283497583,0.096012477,-0.065838232,-0.061413915,-0.040412753,0.003700897
15,3,-0.061413915,-0.040412753,0.003700897,0.013060695,-0.0029837,-0.004361655
16,4,0.013060695,-0.0029837,-0.004361655,-0.00293681,-0.00585035,-0.001532532
17,5,-0.00293681,-0.00585035,-0.001532532,-8,5,-3.74513374
18,0,-8,5,-3.74513374,1.606003455,-1.678636122,0.339378462
19,1,1.606003455,-1.678636122,0.339378462,-0.32334497,0.252523222,-0.105833866
20,2,-0.32334497,0.252523222,-0.105833866,0.064425346,-0.079858784,0.014187509
21,3,0.064425346,-0.079858784,0.014187509,-0.012982809,0.006659188,-0.00699838
22,4,-0.012982809,0.006659188,-0.00699838,0.002561679,-0.008209184,-0.00091537
23,5,0.002561679,-0.008209184,-0.00091537,4,8,1.520485924
24,0,4,8,1.520485924,-0.955731414,-2.230199526,0.586157196
25,1,-0.955731414,-2.230199526,0.586157196,0.221516137,0.338649083,-0.143108219
26,2,0.221516137,0.338649083,-0.143108219,-0.051108553,-0.091573972,0.019958147
27,3,-0.051108553,-0.091573972,0.019958147,0.011467202,0.007784457,-0.007781768
28,4,0.011467202,0.007784457,-0.007781768,-0.002717612,-0.008163497,-0.00084341
29,5,-0.002717612,-0.008163497,-0.00084341,-2,-10,-1
30,0,-2,-10,-1,0.537456169,1.499999992,-1.079919203
31,1,0.537456169,1.499999992,-1.079919203,-0.129861252,-0.305841839,0.100455504
32,2,-0.129861252,-0.305841839,0.100455504,0.030742776,0.062131733,-0.020480725
33,3,0.030742776,0.062131733,-0.020480725,-0.00716991,-0.012585362,0.004152973
34,4,-0.00716991,-0.012585362,0.004152973,0.001689328,0.002598427,-0.000805377
35,5,0.001689328,0.002598427,-0.000805377,-6,4,-2.622190433
36,0,-6,4,-2.622190433,1.198284237,-1.434635459,0.25396962
37,1,1.198284237,-1.434635459,0.25396962,-0.240377132,0.196943522,-0.089327457
38,2,-0.240377132,0.196943522,-0.089327457,0.047604911,-0.067355748,0.010463356
39,3,0.047604911,-0.067355748,0.010463356,-0.009582951,0.003866116,-0.006162677
40,4,-0.009582951,0.003866116,-0.006162677,0.001861607,-0.007573506,-0.001094174
41,5,0.001861607,-0.007573506,-0.001094174,-1,-7,-0.5
42,0,-1,-7,-0.5,0.289546645,1.45592572,-0.472501439
43,1,0.289546645,1.45592572,-0.472501439,-0.077241239,-0.299494189,0.097503383
44,2,-0.077241239,-0.299494189,0.097503383,0.019607205,0.061409808,-0.020055558
45,3,0.019607205,0.061409808,-0.020055558,-0.004817922,-0.012561791,0.0041047
46,4,-0.004817922,-0.012561791,0.0041047,0.001182451,0.002620788,-0.000803869
47,5,0.001182451,0.002620788,-0.000803869,-3,9,-1.358360893
48,0,-3,9,-1.358360893,0.502943343,-2.540371206,0.671574775
49,1,0.502943343,-2.540371206,0.671574775,-0.081673634,0.41996765,-0.164102267
50,2,-0.081673634,0.41996765,-0.164102267,0.011728005,-0.111930482,0.025406606
51,3,0.011728005,-0.111930482,0.025406606,-0.001529916,0.012737376,-0.009142525
52,4,-0.001529916,0.012737376,-0.009142525,2.48E-05,-0.009370246,-0.000526441
53,5,2.48E-05,-0.009370246,-0.000526441,-6,9,-2.730368031
54,0,-6,9,-2.730368031,1.133694946,-2.573597513,0.672384545
55,1,1.133694946,-2.573597513,0.672384545,-0.213917975,0.434061597,-0.166356762
56,2,-0.213917975,0.434061597,-0.166356762,0.039376151,-0.116364477,0.0263509
57,3,0.039376151,-0.116364477,0.0263509,-0.007299535,0.013975078,-0.009438903
58,4,-0.007299535,0.013975078,-0.009438903,0.001253321,-0.009701166,-0.000447231
59,5,0.001253321,-0.009701166,-0.000447231,0,3,0
60,0,0,3,0,-0.050481492,-1.151517463,0.165080413
61,1,-0.050481492,-1.151517463,0.165080413,0.01898296,0.123642508,-0.070164742
62,2,0.01898296,0.123642508,-0.070164742,-0.006105926,-0.049164968,0.005552098
63,3,-0.006105926,-0.049164968,0.005552098,0.001517681,-0.000532249,-0.004946675
64,4,0.001517681,-0.000532249,-0.004946675,-0.000478749,-0.006507122,-0.001375647
65,5,-0.000478749,-0.006507122,-0.001375647,-2,5,-0.97870774
66,0,-2,5,-0.97870774,0.344512011,-1.613492512,0.336809087
67,1,0.344512011,-1.613492512,0.336809087,-0.058843613,0.224606544,-0.101413776
68,2,-0.058843613,0.224606544,-0.101413776,0.009123309,-0.071047021,0.012317081
69,3,0.009123309,-0.071047021,0.012317081,-0.001441742,0.004195428,-0.006409384
70,4,-0.001441742,0.004195428,-0.006409384,0.000104169,-0.007549804,-0.001073045
71,5,0.000104169,-0.007549804,-0.001073045,0,3,0
72,0,0,3,0,-0.050481492,-1.151517463,0.165080413
73,1,-0.050481492,-1.151517463,0.165080413,0.01898296,0.123642508,-0.070164742
74,2,0.01898296,0.123642508,-0.070164742,-0.006105926,-0.049164968,0.005552098
75,3,-0.006105926,-0.049164968,0.005552098,0.001517681,-0.000532249,-0.004946675
76,4,0.001517681,-0.000532249,-0.004946675,-0.000478749,-0.006507122,-0.001375647
77,5,-0.000478749,-0.006507122,-0.001375647,-6,-1,-3
78,0,-6,-1,-3,1.270172931,0.091562108,-0.051462162
79,1,1.270172931,0.091562108,-0.051462162,-0.268091663,-0.004601888,0.00613436
80,2,-0.268091663,-0.004601888,0.00613436,0.05642244,-0.002090869,-0.000308678
81,3,0.05642244,-0.002090869,-0.000308678,-0.011852527,0.001077406,-0.000139663
82,4,-0.011852527,0.001077406,-0.000139663,0.002540559,-0.000367591,6.89E-05
83,5,0.002540559,-0.000367591,6.89E-05,-10,9,-4.638706384
84,0,-10,9,-4.638706384,-113.6830513,-44.05728418,-615.0557706
85,1,-113.6830513,-44.05728418,-615.0557706,-42.14846585,-54.4748314,-168.9065049
86,2,-42.14846585,-54.4748314,-168.9065049,-0.765707957,-0.479767317,31.34363669
87,3,-0.765707957,-0.479767317,31.34363669,1.016026715,-0.71320778,-4.930346577
88,4,1.016026715,-0.71320778,-4.930346577,-3.175449531,0.084468407,15.17365491
89,5,-3.175449531,0.084468407,15.17365491,2,1,1
90,0,2,1,1,-0.43543134,-0.25333228,0.088903995
91,1,-0.43543134,-0.25333228,0.088903995,0.094399468,0.047734751,-0.016966421
92,2,0.094399468,0.047734751,-0.016966421,-0.020385536,-0.008854506,0.003196704
93,3,-0.020385536,-0.008854506,0.003196704,0.00439046,0.001611427,-0.000591874
94,4,0.00439046,0.001611427,-0.000591874,-0.000964243,-0.000292273,0.00010312
95,5,-0.000964243,-0.000292273,0.00010312,9,-8,4.5
96,0,9,-8,4.5,-1.800125276,1.499999962,-0.733386602
97,1,-1.800125276,1.499999962,-0.733386602,0.361631453,-0.332416891,0.10045094
98,2,0.361631453,-0.332416891,0.10045094,-0.072303049,0.073246561,-0.022259359
99,3,-0.072303049,0.073246561,-0.022259359,0.014394591,-0.016072061,0.004895726
100,4,0.014394591,-0.016072061,0.004895726,-0.002915386,0.003592508,-0.001028502
101,5,-0.002915386,0.003592508,-0.001028502,-7,5,-2.781642715
102,0,-7,5,-2.781642715,1.39575443,-1.667770467,0.338957088
103,1,1.39575443,-1.667770467,0.338957088,-0.279261482,0.247868701,-0.105096611
104,2,-0.279261482,0.247868701,-0.105096611,0.055208373,-0.078389797,0.013875654
105,3,0.055208373,-0.078389797,0.013875654,-0.011059309,0.006248487,-0.00690019
106,4,-0.011059309,0.006248487,-0.00690019,0.002152097,-0.008099272,-0.000941654
107,5,0.002152097,-0.008099272,-0.000941654,-1,-5,-0.5
108,0,-1,-5,-0.5,0.265994538,1.020085197,-0.332151482
109,1,0.265994538,1.020085197,-0.332151482,-0.067391163,-0.209121071,0.068315255
110,2,-0.067391163,-0.209121071,0.068315255,0.016520378,0.042726243,-0.01400377
111,3,0.016520378,0.042726243,-0.01400377,-0.003957988,-0.008707183,0.002855875
112,4,-0.003957988,-0.008707183,0.002855875,0.000952825,0.001809394,-0.0005572
113,5,0.000952825,0.001809394,-0.0005572,2,-4,1
114,0,2,-4,1,-0.376551076,0.836269714,-0.261970447
115,1,-0.376551076,0.836269714,-0.261970447,0.069774271,-0.178198189,0.056003945
116,2,0.069774271,-0.178198189,0.056003945,-0.012668466,0.037854434,-0.011932778
117,3,-0.012668466,0.037854434,-0.011932778,0.002240624,-0.008025099,0.002530192
118,4,0.002240624,-0.008025099,0.002530192,-0.000390179,0.001736214,-0.000513552
119,5,-0.000390179,0.001736214,-0.000513552,-10,-1,-5
120,0,-10,-1,-5,2.111199012,0.046088882,-0.051470353
121,1,2.111199012,0.046088882,-0.051470353,-0.444412187,0.01441639,0.003090677
122,2,-0.444412187,0.01441639,0.003090677,0.093283014,-0.008050842,0.000964528
123,3,0.093283014,-0.008050842,0.000964528,-0.019544052,0.002737702,-0.000537971
124,4,-0.019544052,0.002737702,-0.000537971,0.004178148,-0.000810947,0.000175194
125,5,0.004178148,-0.000810947,0.000175194,-3,9,-1.35770397
126,0,-3,9,-1.35770397,0.502943343,-2.540371206,0.671574775
127,1,0.502943343,-2.540371206,0.671574775,-0.081673634,0.41996765,-0.164102267
128,2,-0.081673634,0.41996765,-0.164102267,0.011728005,-0.111930482,0.025406606
129,3,0.011728005,-0.111930482,0.025406606,-0.001529916,0.012737376,-0.009142525
130,4,-0.001529916,0.012737376,-0.009142525,2.48E-05,-0.009370246,-0.000526441
131,5,2.48E-05,-0.009370246,-0.000526441,-10,0,-5
132,0,-10,0,-5,2.099422959,-0.171831516,0.018704533
133,1,2.099422959,-0.171831516,0.018704533,-0.439487148,0.059602977,-0.011503396
134,2,-0.439487148,0.059602977,-0.011503396,0.0917396,-0.017392629,0.003990425
135,3,0.0917396,-0.017392629,0.003990425,-0.019114085,0.004665007,-0.001162384
136,4,-0.019114085,0.004665007,-0.001162384,0.004063335,-0.001216645,0.000298529
137,5,0.004063335,-0.001216645,0.000298529,-8,-7,-4
138,0,-8,-7,-4,1.761342288,1.37634774,-0.472515679
139,1,1.761342288,1.37634774,-0.472515679,-0.38580216,-0.266212241,0.092176947
