,t,x1,x2,u,ctg
0,0,0,-1,20,3.441309154
1,0.1,0.001585755,0.785914245,-14,3.141309154
2,0.2,0.008651531,-0.621151531,20,2.981542782
3,0.3,-0.081610446,-1.174861051,20,2.742952375
4,0.4,-0.21123394,-1.413630009,20,2.4042565
5,0.5,-0.35680429,-1.496397773,20,1.999959542
6,0.6,-0.505129395,-1.470535282,17.5,1.563307982
7,0.7,-0.646690028,-1.362478031,14.5,1.16842001
8,0.8,-0.775050127,-1.207309669,-13.5,0.835839572
9,0.9,-0.887858752,-1.051459894,-13,0.538884639
10,1,-0.987602501,-0.945186022,-12.5,0.264998532
