,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,t,x0,x1,u,L,inst_cost,ctg,path_diff
0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,-1.0,1.6579014838873116,0.0,0.0781177082,0.3577663874,0.1815434247
1,1,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.1,-0.08714262,-0.7470672316,1.0713378438294194,0.0781177082,0.0457789086,0.2796486792,0.1815434247
2,2,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,0.2,-0.1530530252,-0.5740230421,1.0435459214696443,0.1238966168,0.0285499334,0.2338697706,0.1815434247
3,3,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,0.3,-0.2026304613,-0.4200910138,0.7514276184709845,0.1524465502,0.0185206259,0.2053198372,0.1815434247
4,4,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,0.4,-0.2389724602,-0.308606253,-0.4121157212957736,0.1709671761,0.0164101197999999,0.1867992113,0.1815434247
5,5,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,0.5,-0.27033371,-0.3184565753,-0.7100902962678498,0.1873772959,0.0198881644,0.1703890915,0.1815434247
6,6,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,0.6,-0.3040736865,-0.3557256285,-0.727748677546513,0.2072654603,0.0246523167999999,0.1505009271,0.1815434247
7,7,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,0.7,-0.3414457085,-0.3911284743,-1.0215061906576346,0.2319177771,0.0314497339,0.1258486103,0.1815434247
8,8,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,0.8,-0.3836078046,-0.4511169972,-1.1229650984717667,0.263367511,0.0406586883,0.0943988764,0.1815434247
9,9,9.0,9.0,9.0,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,0.9,-0.431969365,-0.5150519467,-1.4660103465202614,0.3040261993,0.0537401880999999,0.0537401880999999,0.1815434247
10,10,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,-1.0,1.8423924351057075,0.0,0.0769656897,0.3446203918,0.190698421
11,11,11.0,11.0,11.0,11.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,0.1,-0.0862501603,-0.7295105962,1.0934502621410338,0.0769656897,0.0434475192999999,0.2676547021,0.190698421
12,12,12.0,12.0,12.0,12.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,0.2,-0.1503828683,-0.556032862,0.9977177509428838,0.120413209,0.0269082194999999,0.2242071828,0.190698421
13,13,13.0,13.0,13.0,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,0.3,-0.1984700024,-0.4081739528,0.5889363979406914,0.1473214285,0.0179349357,0.1972989633,0.190698421
14,14,14.0,14.0,14.0,14.0,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,0.4,-0.2344639875,-0.3132863278,-0.2714136418691449,0.1652563642,0.0159865735999999,0.1793640275999999,0.190698421
15,15,15.0,15.0,15.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,0.5,-0.2655901005,-0.309301579,-0.6861774551873571,0.1812429378,0.0189167506999999,0.1633774539999999,0.190698421
16,16,16.0,16.0,16.0,16.0,16.0,16.0,,,,,,,,,,,,,,,,,,,,,,0.6,-0.2983431883,-0.3451662368,-0.7725751628565016,0.2001596885,0.0237119973,0.1444607033,0.190698421
17,17,17.0,17.0,17.0,17.0,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,0.7,-0.3349271883,-0.3858397531,-0.8925374557578576,0.2238716858,0.0298763448,0.1207487059999999,0.190698421
18,18,18.0,18.0,18.0,18.0,18.0,18.0,,,,,,,,,,,,,,,,,,,,,,0.8,-0.3759620944,-0.4340585925,-1.1943152213112933,0.2537480306,0.0388563399999999,0.0908723611999999,0.190698421
19,19,19.0,19.0,19.0,19.0,19.0,19.0,,,,,,,,,,,,,,,,,,,,,,0.9,-0.4230455295,-0.5064066796,-1.47179224746389,0.2926043706,0.0520160211999999,0.0520160211999999,0.190698421
20,20,20.0,20.0,20.0,20.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,-1.0,1.7706273254578009,0.0,0.07740726,0.3581148854,0.1826796831
21,21,21.0,21.0,21.0,21.0,21.0,21.0,,,,,,,,,,,,,,,,,,,,,,0.1,-0.0865973181,-0.7363399493,1.16602997655018,0.07740726,0.0439497574,0.2807076254,0.1826796831
22,22,22.0,22.0,22.0,22.0,22.0,22.0,,,,,,,,,,,,,,,,,,,,,,0.2,-0.1510288269,-0.5553054429,0.8073336101402516,0.1213570174,0.0275538685999999,0.236757868,0.1826796831
23,23,23.0,23.0,23.0,23.0,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,0.3,-0.1999677048,-0.425633204,0.7749316088311929,0.148910886,0.0187391306999999,0.2092039994,0.1826796831
24,24,24.0,24.0,24.0,24.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,0.4,-0.2367234134,-0.3113843345,-0.3737610230652166,0.1676500167,0.0163337039,0.1904648687,0.1826796831
25,25,25.0,25.0,25.0,25.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,0.5,-0.2681635333,-0.3173203169,-0.625581979051026,0.1839837206,0.0193458805999999,0.1741311648,0.1826796831
26,26,26.0,26.0,26.0,26.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,0.6,-0.3013865778,-0.3466554703,-0.9636597477389884,0.2033296012,0.0249027561,0.1547852842,0.1826796831
27,27,27.0,27.0,27.0,27.0,27.0,27.0,,,,,,,,,,,,,,,,,,,,,,0.7,-0.339036704,-0.4053713188,-0.8302674030332009,0.2282323573,0.03147465,0.1298825281,0.1826796831
28,28,28.0,28.0,28.0,28.0,28.0,28.0,,,,,,,,,,,,,,,,,,,,,,0.8,-0.3816290632,-0.4458057,-1.3869255790942088,0.2597070073,0.0416285437999999,0.0984078781,0.1826796831
29,29,29.0,29.0,29.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,0.9,-0.4307621499,-0.5353651712,-1.5804119876364329,0.3013355511,0.0567793343,0.0567793343,0.1826796831
30,30,30.0,30.0,30.0,30.0,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,-1.0,1.5953558906203968,0.0,0.0785207757,0.3683313868,0.1746142708
31,31,31.0,31.0,31.0,31.0,31.0,31.0,,,,,,,,,,,,,,,,,,,,,,0.1,-0.0874451792,-0.7530192318,1.0215720278659155,0.0785207757,0.0468026892999999,0.2898106111,0.1746142708
32,32,32.0,32.0,32.0,32.0,32.0,32.0,,,,,,,,,,,,,,,,,,,,,,0.2,-0.1541627275,-0.5841444806,1.0623789966294672,0.125323465,0.0295063791,0.2430079218,0.1746142708
33,33,33.0,33.0,33.0,33.0,33.0,33.0,,,,,,,,,,,,,,,,,,,,,,0.3,-0.2046122424,-0.4274570661,0.7048659530346348,0.1548298441,0.0192698899999999,0.2135015427,0.1746142708
34,34,34.0,34.0,34.0,34.0,34.0,34.0,,,,,,,,,,,,,,,,,,,,,,0.4,-0.2418804533,-0.3197022599,-0.3794254978556389,0.1740997341,0.0171421199,0.1942316527,0.1746142708
35,35,35.0,35.0,35.0,35.0,35.0,35.0,,,,,,,,,,,,,,,,,,,,,,0.5,-0.2741395338,-0.3253857292,-0.3949584907337671,0.191241854,0.0193356719999999,0.1770895328,0.1746142708
36,36,36.0,36.0,36.0,36.0,36.0,36.0,,,,,,,,,,,,,,,,,,,,,,0.6,-0.307014585,-0.332006527,-1.0225459876407266,0.210577526,0.0244680416,0.1577538608,0.1746142708
