,t,x0,x1,u,L,inst_cost,ctg,path_diff
0,0.0,0.0,-1.0,-19.225943566976817,0.0,0.5648839135,7.2416017324,1.1234092504
1,0.1,-0.1881665067,-2.73442785,-14.279336112999408,0.5648839135,1.2090443657,6.6767178189,1.1234092504
2,0.2,-0.5174568246,-3.8330711434,17.56185405871723,1.7739282792,1.0178168222000001,5.467673453200001,1.1234092504
3,0.3,-0.797267742,-1.7970748201,-16.707245935707924,2.7917451014,0.8741345390999999,4.449856631,1.1234092504
4,0.4,-1.0491019648,-3.2159651909,5.98859167807111,3.6658796405,0.9354393969999997,3.5757220919000003,1.1234092504
5,0.5,-1.3261725003,-2.3400354876,14.799429531147652,4.6013190375,0.5604667358000004,2.6402826949000007,1.1234092504
6,0.6,-1.4772652866,-0.7089997481,-6.684500487423261,5.1617857733,0.35650710330000024,2.0798159591000003,1.1234092504
7,0.7,-1.5770713345,-1.277643749,14.07035744935154,5.5182928766,0.40658885949999934,1.7233088558,1.1234092504
8,0.8,-1.6305913274,0.1829119888,18.2624653072587,5.9248817361,0.5568235713000007,1.3167199963000007,1.1234092504
9,0.9,-1.5248420582,1.9034092504,9.294308057121782,6.4817053074,0.759896425,0.759896425,1.1234092504
0,0.0,0.0,-1.0,-19.07755156819658,0.0,0.5589330193,3.2741430494,1.7015945067
1,0.1,-0.1874486726,-2.7203064843,11.747213373976319,0.5589330193,0.5023556066000001,2.7152100301,1.7015945067
2,0.2,-0.3894939468,-1.3435398727,17.964628685403824,1.0612886259,0.2243701695,2.2128544235,1.7015945067
3,0.3,-0.4304462569,0.493875306,5.99526201389741,1.2856587954,0.09380804210000004,1.988484254,1.7015945067
4,0.4,-0.3544461827,1.0174014332,2.952963662561288,1.3794668375,0.13721082499999993,1.8946762119,1.7015945067
5,0.5,-0.24334289,1.2015945067,-11.230571595029843,1.5166776625,0.1149204385,1.7574653869,1.7015945067
6,0.6,-0.1833230245,0.0185174818,-12.673660276768262,1.631598101,0.13207202359999992,1.6425449484,1.7015945067
7,0.7,-0.2428687085,-1.1893028619,-8.43062079294433,1.7636701246,0.2866021166000001,1.5104729248000002,1.7015945067
8,0.8,-0.3968277473,-1.8784059024,-11.063425637800922,2.0502722412,0.6330913466000001,1.2238708082,1.7015945067
9,0.9,-0.62910014,-2.7524760735,8.405187820675426,2.6833635878,0.5907794615999999,0.5907794615999999,1.7015945067
0,0.0,0.0,-1.0,15.163390812972736,0.0,0.1394975053,1.7960743412000002,1.5305791582
1,0.1,-0.021810922,0.5381500033,1.7638026588053464,0.1394975053,0.037397216400000016,1.6565768359000002,1.5305791582
2,0.2,0.0379330194,0.6547863278,7.966408112992994,0.1768947217,0.13823619029999998,1.6191796195000001,1.5305791582
3,0.3,0.1387810003,1.3505791582,-7.618745038658524,0.315130912,0.12287251069999999,1.4809434292,1.5305791582
4,0.4,0.2304505456,0.4970351091,-8.273884762236236,0.4380034227,0.04637439440000002,1.3580709185000002,1.5305791582
5,0.5,0.2377254847,-0.3376283064,-3.3724960610114536,0.4843778171,0.03453222380000004,1.3116965241,1.5305791582
6,0.6,0.1892819013,-0.626434329,2.6901410900321245,0.5189100409,0.0288498143,1.2771643003,1.5305791582
