,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,t,x0,x1,u,L,inst_cost,ctg,path_diff
0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,-1.0,-2.641575705126629,0.0,0.1205794238,2.6445660817000003,0.5168434115
1,1,1.0,1.0,1.0,1.0,1.0,,,,,,,0.1,-0.1079410182,-1.1562165524,5.392003389836281,0.1205794238,0.0907052248,2.5239866579,0.5168434115
2,2,2.0,2.0,2.0,2.0,2.0,,,,,,,0.2,-0.1918861983,-0.5330710332,-11.25129567576182,0.2112846486,0.1882037596999999,2.4332814331,0.5168434115
3,3,3.0,3.0,3.0,3.0,3.0,,,,,,,0.3,-0.2970418007,-1.5530449984,13.199740838670184,0.3994884083,0.1863574807,2.2450776734,0.5168434115
4,4,4.0,4.0,4.0,4.0,4.0,,,,,,,0.4,-0.3809809173,-0.149131798,-19.04350719436091,0.585845889,0.3389583129,2.0587201927,0.5168434115
5,5,5.0,5.0,5.0,5.0,5.0,,,,,,,0.5,-0.4872940794,-1.9471693553,19.53199515364761,0.9248042019,0.3383258232999999,1.7197618797999998,0.5168434115
6,6,6.0,6.0,6.0,6.0,6.0,,,,,,,0.6,-0.5781073308,0.0968434115,-20.378304203965588,1.2631300252,0.3559889927999999,1.3814360565,0.5168434115
7,7,7.0,7.0,7.0,7.0,7.0,,,,,,,0.7,-0.6674698286,-1.8516245111,20.44751067972278,1.619119018,0.3587551116,1.0254470637,0.5168434115
8,8,8.0,8.0,8.0,8.0,8.0,,,,,,,0.8,-0.7447620571,0.2704187853,-19.89664401576359,1.9778741296,0.3367727386000001,0.6666919520999999,0.5168434115
9,9,9.0,9.0,9.0,9.0,9.0,,,,,,,0.9,-0.815276617,-1.6487310563,19.019387527705653,2.3146468682,0.3299192134999997,0.3299192134999997,0.5168434115
10,10,10.0,10.0,10.0,10.0,10.0,,,,,,,0.0,0.0,-1.0,-2.035246578160521,0.0,0.1127777328,2.7005379646,0.5991960566
11,11,11.0,11.0,11.0,11.0,11.0,,,,,,,0.1,-0.1050079502,-1.0985167076,4.025937001395622,0.1127777328,0.0848007869999999,2.5877602317999995,0.5991960566
12,12,12.0,12.0,12.0,12.0,12.0,,,,,,,0.2,-0.1900704977,-0.61086046,-10.201226854850418,0.1975785198,0.1801662949,2.5029594448,0.5991960566
13,13,13.0,13.0,13.0,13.0,13.0,,,,,,,0.3,-0.2975491521,-1.523504491,12.952107763651586,0.3777448147,0.1797871947,2.3227931499,0.5991960566
14,14,14.0,14.0,14.0,14.0,14.0,,,,,,,0.4,-0.3798750222,-0.1459678446,-19.659928311850912,0.5575320094,0.3584383531999999,2.1430059552,0.5991960566
15,15,15.0,15.0,15.0,15.0,15.0,,,,,,,0.5,-0.4888689815,-2.0029667165,20.92792392246037,0.9159703626,0.3690496992000001,1.784567602,0.5991960566
16,16,16.0,16.0,16.0,16.0,16.0,,,,,,,0.6,-0.5782393623,0.1791960566,-20.537295155012817,1.2850200618,0.3474164049999999,1.4155179028,0.5991960566
17,17,17.0,17.0,17.0,17.0,17.0,,,,,,,0.7,-0.6605340713,-1.7922387499,19.22714128380382,1.6324364668,0.3296267527000001,1.0681014978,0.5991960566
18,18,18.0,18.0,18.0,18.0,18.0,,,,,,,0.8,-0.7380784347,0.2080197418,-20.82414741145817,1.9620632195,0.3738176058999998,0.7384747451,0.5991960566
19,19,19.0,19.0,19.0,19.0,19.0,,,,,,,0.9,-0.8190178269,-1.7934556071,19.86451110321898,2.3358808254,0.3646571392000002,0.3646571392000002,0.5991960566
20,20,20.0,20.0,20.0,20.0,20.0,,,,,,,0.0,0.0,-1.0,-2.391388350164517,0.0,0.1172880698,2.7889551525,0.4182625758
21,21,21.0,21.0,21.0,21.0,21.0,,,,,,,0.1,-0.1067307666,-1.1324080685,4.92388588889319,0.1172880698,0.0877713544,2.6716670826999995,0.4182625758
22,22,22.0,22.0,22.0,22.0,22.0,,,,,,,0.2,-0.1906747499,-0.5560754963,-11.063640470680506,0.2050594242,0.1884675276,2.5838957282999995,0.4182625758
23,23,23.0,23.0,23.0,23.0,23.0,,,,,,,0.3,-0.2971117319,-1.5560025613,12.971381389859214,0.3935269518,0.1852603755,2.3954282007,0.4182625758
