,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,t,x0,x1,u,L,inst_cost,ctg,path_diff
0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,-1.0,6.2747340216014,0.0,0.0658626657,0.3693339135,0.1663332693999999
1,1,1.0,1.0,1.0,1.0,,,,,,,,,,,,0.1,-0.0648090702,-0.3077175276,-2.727168227581964,0.0658626657,0.0229250879,0.3034712478,0.1663332693999999
2,2,2.0,2.0,2.0,2.0,,,,,,,,,,,,0.2,-0.1072847189,-0.5379587017,1.6964621234077528,0.0887877536,0.0220142371,0.2805461599,0.1663332693999999
3,3,3.0,3.0,3.0,3.0,,,,,,,,,,,,0.3,-0.1502717639,-0.3253254444,-1.298977442550569,0.1108019907,0.0176232374999999,0.2585319228,0.1663332693999999
4,4,4.0,4.0,4.0,4.0,,,,,,,,,,,,0.4,-0.1875142829,-0.4179806697,0.4680179112931424,0.1284252282,0.0185358139,0.2409086853,0.1663332693999999
5,5,5.0,5.0,5.0,5.0,,,,,,,,,,,,0.5,-0.2250264307,-0.3336667306,-2.0050849523141734,0.1469610421,0.0253923729999999,0.2223728714,0.1663332693999999
6,6,6.0,6.0,6.0,6.0,,,,,,,,,,,,0.6,-0.2664784655,-0.4927231911,-0.1783179614850905,0.1723534151,0.0312893635,0.1969804984,0.1663332693999999
7,7,7.0,7.0,7.0,7.0,,,,,,,,,,,,0.7,-0.3142298866,-0.4628035662,-1.6199587924902958,0.2036427786,0.0398581483,0.1656911349,0.1663332693999999
8,8,8.0,8.0,8.0,8.0,,,,,,,,,,,,0.8,-0.366107847,-0.5729214851,-0.9676060084819862,0.2435009269,0.0511910804,0.1258329866,0.1663332693999999
9,9,9.0,9.0,9.0,9.0,,,,,,,,,,,,0.9,-0.4253092027,-0.6104807301,-2.59004882877207,0.2946920073,0.0746419062,0.0746419062,0.1663332693999999
10,10,10.0,10.0,10.0,10.0,,,,,,,,,,,,0.0,0.0,-1.0,5.831998754751575,0.0,0.0655410199,0.3074459271,0.1234485795
11,11,11.0,11.0,11.0,11.0,,,,,,,,,,,,0.1,-0.066950764,-0.3498493605,-0.9289354712744178,0.0655410199,0.0154758402,0.2419049072,0.1234485795
12,12,12.0,12.0,12.0,12.0,,,,,,,,,,,,0.2,-0.1047368645,-0.4049568071,0.6412088240788318,0.0810168601,0.0143747046999999,0.226429067,0.1234485795
13,13,13.0,13.0,13.0,13.0,,,,,,,,,,,,0.3,-0.1401717944,-0.3054009948,-1.606107700586369,0.0953915648,0.0174771749,0.2120543623,0.1234485795
14,14,14.0,14.0,14.0,14.0,,,,,,,,,,,,0.4,-0.1770039697,-0.4291795896,-0.3767061276877179,0.1128687397,0.0222245430999999,0.1945771874,0.1234485795
15,15,15.0,15.0,15.0,15.0,,,,,,,,,,,,0.5,-0.2196681613,-0.4241860108,0.9170398459601832,0.1350932828,0.019174919,0.1723526443,0.1234485795
16,16,16.0,16.0,16.0,16.0,,,,,,,,,,,,0.6,-0.255598767,-0.2965514205,-1.3070746910896571,0.1542682018,0.0202758502,0.1531777253,0.1234485795
17,17,17.0,17.0,17.0,17.0,,,,,,,,,,,,0.7,-0.2901422436,-0.392715413,-0.8418157262235451,0.174544052,0.0272016656,0.1329018751,0.1234485795
18,18,18.0,18.0,18.0,18.0,,,,,,,,,,,,0.8,-0.3315861438,-0.4354530854,-2.248225758220162,0.2017457176,0.0428613065999999,0.1057002095,0.1234485795
19,19,19.0,19.0,19.0,19.0,,,,,,,,,,,,0.9,-0.383900609,-0.607961196,-1.73459901386616,0.2446070242,0.0628389029,0.0628389029,0.1234485795
20,20,20.0,20.0,20.0,20.0,,,,,,,,,,,,0.0,0.0,-1.0,5.706756007654473,0.0,0.065507669,0.3535552051,0.0707099263
21,21,21.0,21.0,21.0,21.0,,,,,,,,,,,,0.1,-0.0675566155,-0.3617677837,-0.8122194305812143,0.065507669,0.0158152723999999,0.2880475361,0.0707099263
22,22,22.0,22.0,22.0,22.0,,,,,,,,,,,,0.2,-0.1059123723,-0.40463397,0.0079644043133397,0.0813229414,0.0163969870999999,0.2722322637,0.0707099263
23,23,23.0,23.0,23.0,23.0,,,,,,,,,,,,0.3,-0.1443798531,-0.3653700488,-0.1963963399506194,0.0977199285,0.0154274898,0.2558352766,0.0707099263
24,24,24.0,24.0,24.0,24.0,,,,,,,,,,,,0.4,-0.1800994621,-0.3492900737,-1.5460000448971771,0.1131474183,0.0218768997,0.2404077868,0.0707099263
