,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,t,x0,x1,u,L,inst_cost,ctg,path_diff
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,-1.0,4.173432907738439,0.0,0.0671592833,1.6074809378,-2.5
1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,0.1,-0.0749739454,-0.5076827638,-14.229703155230272,0.0671592833,0.2543066102,1.5403216544999998,-1.2876827638000004
2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,0.2,-0.1921213721,-1.8135056526,12.566153830924478,0.3214658935,0.2263630552,1.2860150442999998,-2.0335056526
3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,0.3,-0.3039115171,-0.4451001246,-15.74551334154815,0.5478289487,0.2945493165,1.0596519890999998,-0.2651001246
4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,0.4,-0.4224360201,-1.9011269557,12.171457495325436,0.8423782652,0.2625370285999999,0.7651026725999999,-1.4811269556999995
5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,0.5,-0.5444737629,-0.5619434634,-0.9286903714887776,1.1049152938,0.0669264763999999,0.5025656439999999,-0.0619434634
6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,0.6,-0.6024416433,-0.5968446201,-1.910990495933562,1.1718417702,0.0858567163000001,0.4356391676,-0.1768446200999999
7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,0.7,-0.6684831016,-0.7219022114,-0.249098538818401,1.2576984865,0.0984895029999999,0.3497824512999998,-0.5419022113999998
8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,0.8,-0.7383866945,-0.6769084724,-1.589828146025153,1.3561879895,0.1132295113000001,0.2512929482999999,-0.8969084724000002
9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,,,,,,,,,,,0.9,-0.8104932332,-0.7637847483,-1.5731855398262136,1.4694175008,0.1380634369999998,0.1380634369999998,-1.5437847483000002
10,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,0.0,0.0,-1.0,2.7252907068908265,0.0,0.0722158989,1.560454605,-2.5
11,11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,,,,,,,,,,,,0.1,-0.0819792134,-0.6454917159,1.6154531538176378,0.0722158989,0.0316797558,1.4882387061000002,-1.4254917159000002
12,12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,,,,,,,,,,,,0.2,-0.1355912486,-0.4303343654,-13.912634356534308,0.1038956547,0.2309888524,1.4565589503000005,-0.6503343654
13,13,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,,,,,,,,,,,,0.3,-0.2438441963,-1.7133448533,11.41402547266692,0.3348845071,0.2040158608999999,1.2255700979000002,-1.5333448533
14,14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,,,,,,,,,,,,0.4,-0.3516761113,-0.464110391,-16.813731788290205,0.538900368,0.3352784529,1.021554237,-0.0441103909999999
15,15,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,,,,,,,,,,,,0.5,-0.4771770995,-2.0199825817,14.33862751131775,0.8741788209,0.3045001478999999,0.6862757841000001,-1.5199825817
16,16,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,,,,,,,,,,,,0.6,-0.6000419433,-0.4632549867,-1.6924949724791707,1.1786789688,0.0679804441,0.3817756362000002,-0.0432549866999999
17,17,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,,,,,,,,,,,,0.7,-0.6523137853,-0.580232642,-1.4545057617644055,1.2466594129,0.0865170277,0.3137951921000002,-0.4002326419999998
18,18,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,,,,,,,,,,,,0.8,-0.7145658655,-0.6634311379,-1.3032441200239973,1.3331764406,0.1052056782000001,0.2272781644000001,-0.8834311379000002
19,19,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,,,,,,,,,,,,0.9,-0.7840033849,-0.7243180305,-0.9710133962503016,1.4383821188,0.1220724862,0.1220724862,-1.5043180305000003
20,20,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,,,,,,,,,,,,0.0,0.0,-1.0,3.258017946256178,0.0,0.0699607449,1.3951277072,0.0877301007
21,21,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,,,,,,,,,,,,0.1,-0.0794021891,-0.5947960163,2.357982687979801,0.0699607449,0.0249702746,1.3251669623,0.0877301007
22,22,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,,,,,,,,,,,0.2,-0.1245979673,-0.3138019693,-14.105245384275287,0.0949310195,0.212787888,1.3001966877,0.0877301007
23,23,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,,,,,,,,,,,,0.3,-0.2226931377,-1.6262313373,11.97114490310237,0.3077189075,0.1874251470999999,1.0874087997,0.0877301007
24,24,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,,,,,,,,,,,,0.4,-0.3195400854,-0.3322698993,-16.20170527986374,0.4951440546,0.2844430678,0.8999836525999999,0.0877301007
25,25,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,,,,,,,,,,,,0.5,-0.4295341415,-1.8424463712,9.773893620428485,0.7795871224,0.2473335299,0.6155405847999998,0.0877301007
26,26,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,,,,,,,,,,,,0.6,-0.5575857075,-0.7370054431,0.2870458845485477,1.0269206523,0.0825591866999999,0.3682070548999998,0.0877301007
27,27,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,,,,,,,,,,,,0.7,-0.626332702,-0.6395538601,-0.077356309276408,1.109479839,0.0807747275999999,0.2856478681999999,0.0877301007
