,t,x1,x2,u,ctg
0,0,0,-1,0,45.59717418
1,0.1,-0.119826239,-1.390025437,-5.098516755,44.59717418
2,0.2,-0.191343398,-0.062440483,12.56067794,42.52067077
3,0.3,-0.236378233,-0.825539994,-8.081343453,41.69130651
4,0.4,-0.380613565,-2.038946586,-13.57641924,40.627375
5,0.5,-0.653715821,-3.400411228,-16.34566898,35.40360933
6,0.6,-0.917103378,-1.892468118,12.44555553,22.07756397
7,0.7,-1.094817526,-1.665595424,0.491585457,16.88059052
8,0.8,-1.190889242,-0.278945874,12.90577833,12.90654871
9,0.9,-1.284547403,-1.572659055,-13.87371342,10.57772515
10,1,-1.454113436,-1.814629438,-4.115364163,5.492006995
0,0,0,-1,0,55.23276196
1,0.1,-0.071228503,-0.434001786,4.947697114,54.23276196
2,0.2,-0.205864408,-2.228807868,-19.29441988,53.91693238
3,0.3,-0.506707173,-3.762490316,-18.34525212,47.04559452
4,0.4,-0.817177342,-2.468476377,9.835437701,30.9497676
5,0.5,-1.050765281,-2.20762912,0.272593183,23.704934
6,0.6,-1.194919208,-0.70056301,13.62912183,17.72682846
7,0.7,-1.293588997,-1.263452846,-6.615596263,14.8794432
8,0.8,-1.390706311,-0.688474795,4.778607378,11.39092705
9,0.9,-1.41061448,0.274268363,9.428349882,8.868690016
10,1,-1.475853773,-1.548676861,-18.88184516,6.359164762
0,0,0,-1,0,37.02696473
1,0.1,-0.177083783,-2.51640644,-16.93490224,36.02696473
2,0.2,-0.385019505,-1.65663513,6.518355885,28.22935012
3,0.3,-0.486153755,-0.38720353,11.6829735,25.12422533
4,0.4,-0.53219574,-0.531236021,-1.900744754,24.05549393
5,0.5,-0.61581894,-1.131229759,-6.836169381,23.47198576
6,0.6,-0.731885905,-1.189144457,-1.739816629,21.57940597
7,0.7,-0.902310989,-2.202471256,-11.83751883,19.61454964
8,0.8,-1.096382619,-1.687542064,3.208575625,13.24887063
9,0.9,-1.281454193,-2.008540335,-5.060698456,9.14754278
10,1,-1.393679986,-0.265029203,16.31285339,3.34313031
0,0,0,-1,0,93.97397657
1,0.1,-0.177498253,-2.524559954,-17.02058207,92.97397657
2,0.2,-0.428794582,-2.501746795,-2.284831703,85.12056691
3,0.3,-0.751817664,-3.934834033,-17.5611032,78.65186281
4,0.4,-1.129176867,-3.617635792,-0.601609626,61.06175242
