,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,t,x0,x1,u,L,inst_cost,ctg,path_diff
0,0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,-1.0,1.0701704077807617,0.0,0.0821551836,1.9601289603,-2.5
1,1,1.0,1.0,1.0,,,,,,,,,,,,0.1,-0.0899857169,-0.8029972423,2.605452376812938,0.0821551836,0.0465763799,1.8779737767,-1.5829972423000005
2,2,2.0,2.0,2.0,,,,,,,,,,,,0.2,-0.1537973454,-0.4786403762,-5.873464560135691,0.1287315635,0.0776714523999999,1.8313973968,-0.6986403762
3,3,3.0,3.0,3.0,,,,,,,,,,,,0.3,-0.2277584029,-0.9920257746,-1.667536798582553,0.2064030159,0.114268029,1.7537259444,-0.8120257746
4,4,4.0,4.0,4.0,,,,,,,,,,,,0.4,-0.3302286872,-1.0563091702,-3.435649322181808,0.3206710449,0.1586331719,1.6394579154,-0.6363091702
5,5,5.0,5.0,5.0,,,,,,,,,,,,0.5,-0.4473694845,-1.2827333052,-0.2292558537312019,0.4793042168,0.1779531935999999,1.4808247435,-0.7827333052000001
6,6,6.0,6.0,6.0,,,,,,,,,,,,0.6,-0.5705469376,-1.1824814374,-1.5015455682059344,0.6572574104,0.1844712913,1.3028715499,-0.7624814373999999
7,7,7.0,7.0,7.0,,,,,,,,,,,,0.7,-0.6903382612,-1.2128446706,-5.044466603578429,0.8417287017,0.266826018,1.1184002586,-1.0328446705999998
8,8,8.0,8.0,8.0,,,,,,,,,,,,0.8,-0.8301578821,-1.5774717101,-2.032956109265134,1.1085547197,0.340909667,0.8515742406,-1.7974717101000002
9,9,9.0,9.0,9.0,,,,,,,,,,,,0.9,-0.990108081,-1.6208171221,-7.494509611529125,1.4494643867,0.5106645736,0.5106645736,-2.4008171221000003
10,10,10.0,10.0,10.0,,,,,,,,,,,,0.0,0.0,-1.0,1.819139954294125,0.0,0.0771078484,1.7620147048,-2.5
11,11,11.0,11.0,11.0,,,,,,,,,,,,0.1,-0.0863626423,-0.7317233623,-0.6202099282356333,0.0771078484,0.0545001556,1.6849068564,-1.5117233623000002
12,12,12.0,12.0,12.0,,,,,,,,,,,,0.2,-0.1589955716,-0.7211114258,1.5649185049303291,0.131608004,0.0425848285,1.6304067008,-0.9411114258
13,13,13.0,13.0,13.0,,,,,,,,,,,,0.3,-0.2200482252,-0.5035669217,-5.489882622194713,0.1741928325,0.0788789112,1.5878218723000002,-0.3235669217
14,14,14.0,14.0,14.0,,,,,,,,,,,,0.4,-0.2945258118,-0.9780775973,-1.2000413506284962,0.2530717437,0.1104002241,1.5089429611,-0.5580775973
15,15,15.0,15.0,15.0,,,,,,,,,,,,0.5,-0.3934072805,-0.9992002637,-2.618062147614109,0.3634719678,0.1397163375,1.398542737,-0.4992002637
16,16,16.0,16.0,16.0,,,,,,,,,,,,0.6,-0.5011584403,-1.1532553186,-2.158834334960672,0.5031883053,0.1783961991999999,1.2588263995000002,-0.7332553186
17,17,17.0,17.0,17.0,,,,,,,,,,,,0.7,-0.621347891,-1.2489493015,-5.313497369243131,0.6815845045,0.272169871,1.0804302003,-1.0689493014999998
18,18,18.0,18.0,18.0,,,,,,,,,,,,0.8,-0.7659047421,-1.6357421873,-2.023364415391178,0.9537543755,0.3479882153,0.8082603293000001,-1.8557421873
19,19,19.0,19.0,19.0,,,,,,,,,,,,0.9,-0.9313539074,-1.6726294635,-5.265958238130398,1.3017425908,0.4602721140000001,0.4602721140000001,-2.4526294635
20,20,20.0,20.0,20.0,,,,,,,,,,,,0.0,0.0,-1.0,-0.6025057385935639,0.0,0.0967083533,1.0498842172,-2.5
21,21,21.0,21.0,21.0,,,,,,,,,,,,0.1,-0.0980771458,-0.9621734281,1.2522189641931665,0.0967083533,0.0763600546,0.9531758639,-1.7421734281
22,22,22.0,22.0,22.0,,,,,,,,,,,,0.2,-0.1835825836,-0.7514460938,-0.4644346306821725,0.1730684079,0.0594298778,0.8768158093,-0.9714460938
23,23,23.0,23.0,23.0,,,,,,,,,,,,0.3,-0.2573388578,-0.7241332828,-0.6170946774034531,0.2324982857,0.0605314816,0.8173859315,-0.5441332828000001
24,24,24.0,24.0,24.0,,,,,,,,,,,,0.4,-0.3292344604,-0.7139471478,-1.1969145974533082,0.2930297673,0.0685168775999999,0.7568544499000001,-0.2939471478
25,25,25.0,25.0,25.0,,,,,,,,,,,,0.5,-0.402965491,-0.759907577,0.7964560797043241,0.3615466449,0.0666314553999999,0.6883375723,-0.259907577
26,26,26.0,26.0,26.0,,,,,,,,,,,,0.6,-0.471427512,-0.611799948,-1.4554159003497906,0.4281781003,0.0690787055,0.6217061169,-0.191799948
27,27,27.0,27.0,27.0,,,,,,,,,,,,0.7,-0.5366882673,-0.6920807827,-3.768076828963079,0.4972568058,0.1117909339,0.5526274114,-0.5120807826999998
28,28,28.0,28.0,28.0,,,,,,,,,,,,0.8,-0.6207762545,-0.9848004784,-3.637513305688784,0.6090477397,0.1766264933,0.4408364775,-1.2048004784000002
29,29,29.0,29.0,29.0,,,,,,,,,,,,0.9,-0.7320885622,-1.2372395013,-4.209344891246899,0.785674233,0.2642099841999999,0.2642099841999999,-2.0172395013
30,30,30.0,30.0,30.0,,,,,,,,,,,,0.0,0.0,-1.0,1.1796299375830523,0.0,0.0813608159,1.7915313106,-2.5
31,31,31.0,31.0,31.0,,,,,,,,,,,,0.1,-0.0894562152,-0.792580791,2.3635151007854565,0.0813608159,0.04606345,1.7101704946999998,-1.5725807910000005
32,32,32.0,32.0,32.0,,,,,,,,,,,,0.2,-0.153446939,-0.4922385572,-4.764698809398585,0.1274242659,0.0650404156999999,1.6641070446999997,-0.7122385572
33,33,33.0,33.0,33.0,,,,,,,,,,,,0.3,-0.2233384668,-0.8988169103,-1.5340311819586805,0.1924646816,0.0949375868,1.5990666289999995,-0.7188169103000001
34,34,34.0,34.0,34.0,,,,,,,,,,,,0.4,-0.3162929234,-0.9592655719,0.5902096281272624,0.2874022684,0.0917060351999999,1.5041290421999998,-0.5392655718999999
35,35,35.0,35.0,35.0,,,,,,,,,,,,0.5,-0.4047240055,-0.811813527,-2.464875485240334,0.3791083036,0.1029080549,1.412423007,-0.311813527
36,36,36.0,36.0,36.0,,,,,,,,,,,,0.6,-0.493901886,-0.969123195,-4.449419485375779,0.4820163585,0.1703385679,1.3095149520999998,-0.549123195
37,37,37.0,37.0,37.0,,,,,,,,,,,,0.7,-0.6076498575,-1.300317172,-5.087135846983008,0.6523549264,0.2803626263,1.1391763841999998,-1.1203171719999998
38,38,38.0,38.0,38.0,,,,,,,,,,,,0.8,-0.7560000018,-1.6606806125,-2.395520267254718,0.9327175527,0.3614689688999999,0.8588137578999999,-1.8806806125
39,39,39.0,39.0,39.0,,,,,,,,,,,,0.9,-0.9256225519,-1.7306100891,-5.943569487423046,1.2941865216,0.497344789,0.497344789,-2.5106100891
40,40,40.0,40.0,40.0,,,,,,,,,,,,0.0,0.0,-1.0,0.2481074185659566,0.0,0.0887413197,0.6592069525,-2.5
41,41,41.0,41.0,41.0,,,,,,,,,,,,0.1,-0.0939623875,-0.8812268706,0.7041615218502923,0.0887413197,0.0670535912,0.5704656328000001,-1.6612268706000002
42,42,42.0,42.0,42.0,,,,,,,,,,,,0.2,-0.1744158877,-0.7303572182,-0.4613102330162002,0.1557949109,0.0560439197,0.5034120416000001,-0.9503572182
43,43,43.0,43.0,43.0,,,,,,,,,,,,0.3,-0.2461501681,-0.7047539612,-0.7812499798194241,0.2118388306,0.058463583,0.4473681219000001,-0.5247539612000001
44,44,44.0,44.0,44.0,,,,,,,,,,,,0.4,-0.3169955725,-0.7120335548,0.8799643987711794,0.2703024136,0.0531877528999999,0.3889045389,-0.2920335547999999
45,45,45.0,45.0,45.0,,,,,,,,,,,,0.5,-0.3804977945,-0.5605348929,-0.642064012760263,0.3234901665,0.0487971178,0.335716786,-0.0605348929
