,t,x0,x1,u,L,inst_cost,ctg,path_diff
0,0.0,0.0,-1.0,-1.4307273507136316,0.0,0.1055921011,7.829785545,-2.5
1,0.1,-0.1020836208,-1.0409891142,1.6434681042831727,0.1055921011,0.08722277479999999,7.7241934439,-1.8209891142000003
2,0.2,-0.1931967277,-0.7855291969,-6.459995927787979,0.1928148759,0.141596994,7.6369706691,-1.0055291969
3,0.3,-0.2991994091,-1.3255261083,-17.697048955754635,0.3344118699,0.6409432949,7.4953736751,-1.1455261083000001
4,0.4,-0.5109479091,-2.8834825039,-7.489526874361147,0.9753551648,1.0392648665,6.8544303802,-2.4634825039
5,0.5,-0.8215776683,-3.3218054321,-10.26211460244648,2.0146200313,1.4949637397000002,5.8151655137,-2.8218054321
6,0.6,-1.1873306821,-3.9822638786,11.96819685645103,3.509583771,1.3076138088000002,4.320201774,-3.5622638786
7,0.7,-1.5083980622,-2.4643768129,11.944926577671218,4.8171975798,0.6582392385000002,3.0125879652,-2.2843768128999997
8,0.8,-1.6851319236,-1.0931502937,-14.13527700448828,5.4754368183,0.7203266458999993,2.3543487266999996,-1.3131502937000001
9,0.9,-1.8575372348,-2.334272683,-19.84401410851506,6.1957634642,1.6340220808000003,1.6340220808000003,-3.1142726830000003
0,0.0,0.0,-1.0,-14.649571107773976,0.0,0.3977718592,3.0230578177,-2.5
1,0.1,-0.1660286825,-2.2989284283,12.354602387313179,0.3977718592,0.352182156,2.6252859584999997,-3.0789284283000002
2,0.2,-0.3250363332,-0.9044605389,-3.806726539561499,0.7499540152,0.1312049945,2.2731038024999997,-1.1244605389
3,0.3,-0.4295218919,-1.1806476341,-15.124409305570108,0.8811590097,0.49963298300000003,2.1418988079999997,-1.0006476341000001
4,0.4,-0.6150384595,-2.507571997,11.989418957783684,1.3807919927,0.4656595191999999,1.6422658249999997,-2.087571997
5,0.5,-0.7956676805,-1.1280008803,-0.4382315261612,1.8464515119,0.1924669603000002,1.1766063057999998,-0.6280008802999999
6,0.6,-0.9051313801,-1.0623603333,-0.6779578342229478,2.0389184722,0.20098329979999985,0.9841393454999996,-0.6423603333
7,0.7,-1.0095082401,-1.0257792567,-3.6825181630983472,2.239901772,0.25411182389999976,0.7831560456999997,-0.8457792566999998
8,0.8,-1.124937891,-1.2786014221,12.52091028141271,2.4940135959,0.26619293580000036,0.5290442218,-1.4986014221000001
9,0.9,-1.1860443054,0.0345960205,-12.25291827886167,2.7602065317,0.26285128599999963,0.26285128599999963,-0.7454039795000003
0,0.0,0.0,-1.0,-19.767086277720985,0.0,0.5868874196,5.1959953671,0.7886020915
1,0.1,-0.1907842401,-2.7859243877,-4.536942921726435,0.5868874196,0.8463469041,4.6091079475,0.7886020915
2,0.2,-0.4778472386,-2.9525556813,5.6287688757348455,1.4332343237,0.7031910149,3.7627610434000003,0.7886020915
3,0.3,-0.7315913484,-2.1359346839,-3.8731104208762517,2.1364253386,0.5717339251999998,3.0595700285,0.7886020915
4,0.4,-0.9535875271,-2.3012495473,0.358322846557396,2.7081592638,0.5862851028000002,2.4878361033000003,0.7886020915
5,0.5,-1.1708469974,-2.0481577924,5.968466574464216,3.2944443666,0.45739475119999984,1.9015510005,0.7886020915
6,0.6,-1.3368834146,-1.2852747177,18.6162095407617,3.7518391178,0.4009520757999998,1.4441562493000002,0.7886020915
7,0.7,-1.3691392698,0.6086020915,-15.642555779792131,4.1527911936,0.33179732140000073,1.0432041735000004,0.7886020915
8,0.8,-1.3868924826,-0.9379002736,15.59322876165946,4.484588515,0.3420476188999997,0.7114068520999997,0.7886020915
9,0.9,-1.400714517,0.6352446369,10.499336666719525,4.8266361339,0.36935923319999997,0.36935923319999997,0.7886020915
0,0.0,0.0,-1.0,-18.543961245089207,0.0,0.5378294156,4.6032700823,-2.5
1,0.1,-0.184867473,-2.6695286515,19.6184623465726,0.5378294156,0.49133969450000003,4.0654406667,-3.4495286515
2,0.2,-0.3440039916,-0.5485458982,-3.69032903093386,1.0291691101,0.07085122219999995,3.5741009722,-0.7685458982
3,0.3,-0.4140560744,-0.8475267185,-14.950126145452787,1.1000203323,0.38394463979999993,3.50324975,-0.6675267185000001
4,0.4,-0.567028852,-2.1895665555,8.038836059099047,1.4839649721,0.37121984910000005,3.1193051102,-1.7695665555
5,0.5,-0.7365065773,-1.2162052243,-4.787366105061924,1.8551848212,0.2700030468999999,2.7480852611,-0.7162052243000001
6,0.6,-0.8754023281,-1.556046084,-9.244749191929271,2.1251878681,0.5124713033000003,2.4780822142,-1.1360460840000002
7,0.7,-1.0682004586,-2.2877228727,-2.8579918070040478,2.6376591714,0.6807020991999999,1.9656109108999997,-2.1077228726999997
8,0.8,-1.299730847,-2.341991665,-0.6707195517878581,3.3183612706,0.7121105613999998,1.2849088116999998,-2.5619916650000003
9,0.9,-1.5258453932,-2.182949074,14.024243099207716,4.030471832,0.5727982503,0.5727982503,-2.9629490740000004
0,0.0,0.0,-1.0,-4.098938726759469,0.0,0.1417675095,10.8311758725,-2.5
1,0.1,-0.1149908672,-1.2949030055,-9.267725078743778,0.1417675095,0.334127773,10.689408363,-2.0749030055000004
2,0.2,-0.2830489898,-2.0536173907,-14.042703576287444,0.4758952825,0.8200200688999999,10.35528059,-2.2736173907
3,0.3,-0.5464069466,-3.1945297915,-8.468455986710953,1.2959153514,1.2800387795000001,9.5352605211,-3.0145297915
4,0.4,-0.8913722935,-3.6964100434,-11.45585411287704,2.5759541309,1.848035527,8.2552217416,-3.2764100434
5,0.5,-1.2985481521,-4.434819596,16.67707261441494,4.4239896579,1.5597207168000002,6.407186214599999,-3.9348195959999996
6,0.6,-1.6399032599,-2.4257572268,-13.429888534756579,5.9837103747,1.2915757285999998,4.847465497799999,-2.0057572268
7,0.7,-1.935710663,-3.4729386772,1.2557951886732184,7.2752861033,1.4975304810999992,3.5558897691999993,-3.2929386772
8,0.8,-2.2601298449,-3.0229399764,11.610014714067106,8.7728165844,1.1899532407000013,2.0583592881,-3.2429399764
9,0.9,-2.4916380293,-1.6304303206,16.818014504693807,9.9627698251,0.8684060473999988,0.8684060473999988,-2.4104303206
0,0.0,0.0,-1.0,12.901313924550543,0.0,0.1086174818,1.5429457706,2.0344177053
1,0.1,-0.0327535338,0.3228849262,-5.944326998089245,0.1086174818,0.0207425688,1.4343282888,2.0344177053
2,0.2,-0.0307821485,-0.2735191589,-3.2981606266784844,0.1293600506,0.024014133500000007,1.41358572,2.0344177053
3,0.3,-0.0727654808,-0.5613518892,19.87360038243297,0.1533741841,0.24771401099999998,1.3895715865,2.0344177053
4,0.4,-0.0300482692,1.3832909374,2.971381187069561,0.4010881951,0.21814999360000004,1.1418575755,2.0344177053
5,0.5,0.1159630816,1.5344177053,1.8566766781691832,0.6192381887,0.24591703269999998,0.9237075819,2.0344177053
6,0.6,0.2709637571,1.5650846977,-11.022370755105651,0.8651552214,0.17501392999999998,0.6777905492,2.0344177053
7,0.7,0.3665814508,0.3672299284,-3.4909517270311277,1.0401691514,0.024818682500000078,0.5027766192,2.0344177053
8,0.8,0.3846407748,7.54318e-05,17.321681537047354,1.0649878339,0.25998600389999993,0.4779579367,2.0344177053
9,0.9,0.4684401679,1.6484441923,-13.18061541905465,1.3249738378,0.21797193280000005,0.21797193280000005,2.0344177053
0,0.0,0.0,-1.0,13.838886062991016,0.0,0.1204106683,8.340751347,-2.5
1,0.1,-0.0282181053,0.4121067116,-19.08950894112378,0.1204106683,0.23930875189999998,8.2203406787,-0.36789328840000024
2,0.2,-0.0813448981,-1.4437173897,-17.7844346235333,0.3597194202,0.6811156434999999,7.9810319268,-1.6637173897
