,t,x0,x1,u,L,inst_cost,ctg,path_diff
0,0.0,0.0,-1.0,-10.558720890228773,0.0,0.277106713,8.7435374663,-2.5
1,0.1,-0.1462395305,-1.9096325585,0.001081711659722373,0.277106713,0.33646847970000004,8.4664307533,-2.6896325585000005
2,0.2,-0.3279599795,-1.7278039383,-12.757465446939102,0.6135751927,0.6210434428999999,8.129962273599999,-1.9478039382999999
3,0.3,-0.5540954438,-2.7774150187,3.534180900737006,1.2346186356,0.6674946240000001,7.508918830699999,-2.5974150187000005
4,0.4,-0.8013051124,-2.17678726,-14.09922864390996,1.9021132596,0.9553454955,6.841424206699999,-1.7567872599999999
5,0.5,-1.0766576592,-3.3113575777,2.723591768597096,2.8574587551,1.0707881183999999,5.8860787112,-2.8113575777
6,0.6,-1.378599805,-2.737056255,-10.959305400013477,3.9282468735,1.2824004094,4.815290592799999,-2.3170562550000002
7,0.7,-1.6920798826,-3.5195067174,8.28390158232558,5.2106472829,1.2567705068999997,3.5328901833999993,-3.3395067174
8,0.8,-1.9869328443,-2.3962635975,-7.272026380229741,6.4674177898,1.1688093784999998,2.2761196764999996,-2.6162635975
9,0.9,-2.2501450125,-2.8602540673,12.210989252828512,7.6362271683,1.1073102979999998,1.1073102979999998,-3.6402540673000003
0,0.0,0.0,-1.0,3.912180216698413,0.0,0.0678203809,11.626514749700002,-2.5
1,0.1,-0.0762377338,-0.5325442446,-16.256609864084574,0.0678203809,0.31981952979999995,11.558694368800001,-1.3125442446000002
2,0.2,-0.2055560237,-2.028886941,-11.95354906086978,0.3876399107,0.7193461198000002,11.238874839000001,-2.2488869410000003
3,0.3,-0.4564543627,-2.9733435081,10.65347174101889,1.1069860305,0.6407241248,10.5195287192,-2.7933435081000004
4,0.4,-0.6878701112,-1.6765805856,-3.9264110472018316,1.7477101553,0.3872447871999998,9.8788045944,-1.2565805856
5,0.5,-0.8664115754,-1.890680226,-18.54813177525521,2.1349549425,1.0182778661,9.4915598072,-1.390680226
6,0.6,-1.1360586384,-3.4758463406,-12.746132636835114,3.1532328086,1.8045469315000005,8.4732819411,-3.0558463406
7,0.7,-1.5284875619,-4.3580306808,-7.769114871855818,4.9577797401,2.3854857189,6.6687350096,-4.178030680799999
8,0.8,-1.9807911628,-4.682638567,10.356531231976941,7.343265459,2.1161433697000005,4.2832492907,-4.902638567
9,0.9,-2.3763047376,-3.251471869,-13.684051702289874,9.4594088287,2.167105920999999,2.167105920999999,-4.031471869000001
0,0.0,0.0,-1.0,11.864953215264137,0.0,0.0972385693,1.8152063176,2.1515443294
1,0.1,-0.0377668438,0.2242621653,14.338183057604724,0.0972385693,0.20016288950000002,1.7179677483,2.1515443294
2,0.2,0.0529342862,1.5673793411,-18.004704492476048,0.2974014588,0.2305292873,1.5178048588,2.1515443294
3,0.3,0.1149938843,-0.2951507062,17.497703856256834,0.5279307461,0.21065841620000003,1.2872755715,2.1515443294
4,0.4,0.1715502798,1.3980632839,4.061726596987754,0.7385891623,0.24816678749999999,1.0766171553,2.1515443294
