,t,x1,x2,u
0,0,6.960194027,-15.99905542,0
4,0.1,5.344152193,-16.31649154,-19.33477953
8,0.2,3.706186326,-16.44075508,-17.62229409
12,0.3,2.214487708,-13.44316872,15.05887739
16,0.4,1.031439326,-10.27066518,19.89455158
20,0.5,-0.029657293,-10.94011161,-17.30543042
24,0.6,-0.977733141,-8.06924516,19.22790599
28,0.7,-1.806253686,-8.494086221,-12.53361605
32,0.8,-2.64849008,-8.352992828,-7.011430009
36,0.9,-3.509046736,-8.84986055,-13.57424378
40,1,-4.336788559,-7.723741435,2.983772922
0,0,-7.975933198,-11.35267492,0
4,0.1,-9.129224903,-11.70725057,-15.07867355
8,0.2,-10.18494802,-9.444911088,12.06616369
12,0.3,-10.99910511,-6.880956264,17.49797729
16,0.4,-11.66162802,-6.377885064,-1.594517104
20,0.5,-12.21344844,-4.686704868,11.39359782
24,0.6,-12.66486798,-4.347341103,-1.120557773
28,0.7,-13.08632603,-4.086172054,-1.60289005
32,0.8,-13.38584912,-1.940052457,18.46596507
36,0.9,-13.56312578,-1.610964525,1.518112773
40,1,-13.79940745,-3.090022095,-17.15339243
0,0,-9.421852196,-16.50773751,0
4,0.1,-10.99280489,-14.93748294,-0.006981335
8,0.2,-12.36453751,-12.53716798,10.28582345
12,0.3,-13.46419931,-9.506569549,19.30936635
16,0.4,-14.29766511,-7.201163573,14.71940171
20,0.5,-14.97539305,-6.367290697,1.561449413
24,0.6,-15.63184349,-6.755253153,-10.44412897
28,0.7,-16.28916247,-6.397094738,-2.991605637
32,0.8,-16.97967504,-7.396502695,-16.8992053
36,0.9,-17.75767216,-8.1508691,-15.32363528
40,1,-18.52109226,-7.134469957,2.529790481
0,0,8.180809317,-17.88677091,0
4,0.1,6.39117427,-17.905616,-18.08480134
8,0.2,4.641957232,-17.09227815,-9.358791939
12,0.3,2.988759657,-15.99004089,-5.509603164
16,0.4,1.432074245,-15.15754005,-7.241845705
20,0.5,0.044713349,-12.63176707,11.38412081
24,0.6,-1.153811987,-11.35993334,0.733083987
28,0.7,-2.190079176,-9.398102184,9.255639668
32,0.8,-2.987907155,-6.605001312,19.95272894
36,0.9,-3.592894732,-5.512948084,4.870656507
40,1,-4.13998262,-5.430188762,-4.643285655
0,0,-0.211622381,-10.61942873,0
4,0.1,-1.241234029,-9.983402887,-3.935858079
8,0.2,-2.251634807,-10.22065908,-12.47656974
12,0.3,-3.264787054,-10.04530788,-8.378010467
16,0.4,-4.255722586,-9.777859493,-7.234871428
20,0.5,-5.187955117,-8.881724231,-0.360972694
24,0.6,-6.117317523,-9.692021179,-17.39659354
28,0.7,-7.084563233,-9.653534357,-9.287588873
32,0.8,-8.035023094,-9.360545206,-6.574707109
36,0.9,-8.874920059,-7.468916002,10.51732239
40,1,-9.677432058,-8.563090765,-18.96686761
0,0,1.749170142,-17.11640227,0
4,0.1,0.070513507,-16.46754296,-10.29797325
8,0.2,-1.513822635,-15.23964149,-3.564346735
12,0.3,-3.003965097,-14.57429502,-8.24795995
16,0.4,-4.471034486,-14.76393265,-16.56707015
20,0.5,-5.931753287,-14.45558171,-11.52367869
24,0.6,-7.273190306,-12.40729115,7.068535417
28,0.7,-8.511433984,-12.35839715,-11.89349676
32,0.8,-9.633107262,-10.1124939,11.24229973
36,0.9,-10.57441726,-8.73663328,4.345506212
40,1,-11.3172983,-6.163859911,18.2989233
0,0,-9.402043724,-15.50473675,0
4,0.1,-10.78442651,-12.19802168,19.24332277
8,0.2,-11.96575145,-11.4410905,-4.243937543
12,0.3,-13.07689997,-10.79268498,-4.627430039
16,0.4,-14.09339015,-9.557698294,2.184965039
20,0.5,-14.95218192,-7.649927897,10.48978631
24,0.6,-15.60056303,-5.355921373,16.45625415
28,0.7,-16.10481646,-4.739420664,1.122472719
32,0.8,-16.49554587,-3.102445786,12.46245474
36,0.9,-16.74251272,-1.857634537,9.978444026
40,1,-16.91247692,-1.546828823,1.408415081
0,0,3.169628341,-16.32415994,0
4,0.1,1.60906712,-14.91061956,-1.470208465
8,0.2,0.149546336,-14.29013579,-8.390370064
12,0.3,-1.137291352,-11.49322537,15.10072725
16,0.4,-2.28656928,-11.49234782,-11.4840038
20,0.5,-3.316477262,-9.144928931,13.17510912
24,0.6,-4.275744426,-10.02573667,-18.40074899
28,0.7,-5.196664415,-8.419430426,6.853862509
32,0.8,-6.082422923,-9.28137636,-17.47704442
36,0.9,-7.042175521,-9.903311752,-15.81687991
40,1,-7.948404913,-8.248845909,7.482364523
0,0,-9.988296847,-12.7563407,0
4,0.1,-11.21444677,-11.78287946,-2.526886876
8,0.2,-12.4241712,-12.40130368,-18.28148643
12,0.3,-13.61207504,-11.37389376,-1.604939231
16,0.4,-14.65092248,-9.435358702,8.996876119
20,0.5,-15.53696291,-8.30429771,2.450205656
24,0.6,-16.31783832,-7.329455091,1.939672118
28,0.7,-16.9550022,-5.445221302,12.47069903
32,0.8,-17.56087702,-6.652162656,-18.12816169
36,0.9,-18.20465295,-6.230384456,-2.21997732
40,1,-18.78839982,-5.457433418,1.892041627
0,0,5.774750218,-6.18023476,0
4,0.1,5.135904386,-6.589855985,-10.48467056
8,0.2,4.586325924,-4.437578584,16.02698938
12,0.3,4.074138217,-5.783743204,-18.58352326
16,0.4,3.483604235,-6.02295031,-8.297410883
20,0.5,2.843373814,-6.769222327,-13.86502438
24,0.6,2.134376962,-7.400200172,-13.39974697
28,0.7,1.347153378,-8.328797453,-17.15820864
32,0.8,0.524129496,-8.134911098,-6.291375282
