,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg
0,0.0,256.0,244.0,248.0,248.0,266.0,252.0,260.0,252.0,249.0,243.0,248.0,260.0,253.0,243.0,268.0,267.0,268.0,262.0,257.0,249.0,413.7075568555871,413.707556855579,0.0,0.0,964.9729992469149
1,0.1,396.4055906011117,363.1559191185777,336.59692730178944,316.12706627406806,299.1537897588717,287.13246023828174,277.234142767123,270.9263724494579,267.07367958164366,265.85649428685707,266.50172185344013,269.15150512935503,275.2527805532808,284.4981598140043,295.60067846256936,311.6282077875069,331.5829328250244,356.7538310376202,389.0313389089875,430.93660363586804,430.0395066632523,473.0,615.4527639955926,615.4527639955926,964.9729992469149
2,0.2,318.86889871863855,314.46655215530404,309.39101442456723,304.0706757668779,299.2290352415624,295.0186552577636,291.66991307612477,289.2741222417025,288.113345506683,288.4468556982732,290.5771928324196,294.7480651815057,301.1180546790768,309.91571942802904,321.4284277339502,335.8027760176184,353.483122178753,374.98030224317523,401.02726254807527,432.8196663137148,328.12919656575735,473.0,771.9487291451254,156.49596514953282,349.52023525132233
3,0.3,310.05847768114273,305.99259492395845,302.6213492441243,299.87983417216805,297.76872326912553,296.33094288799737,295.6291631970192,295.7643970844382,296.8608223198578,299.06779295264647,302.54827682811504,307.4790870784678,314.05495810629253,322.49190551771784,333.04738444271356,346.0598412686742,361.97495995431393,381.4281283439207,405.35236430853564,435.1541024774153,315.3452371039222,473.0,824.6487159651474,52.69998682002199,193.0242701017895
4,0.4,307.1799519184954,303.85968504622787,301.2828852605356,299.4103768495103,298.2376724267048,297.77346750254054,298.0466661824014,299.1092925930387,301.03669072841643,303.9257638919115,307.8951741760146,313.08791335696276,319.67768001150404,327.88046951649386,337.9722230632525,350.3151294633612,365.3985774187869,383.89981016026667,406.7827026489803,435.4723607424696,311.50380607887047,472.202623232869,854.4521315438989,29.80341557875147,140.32428328176752
5,0.5,308.06987416760006,304.68186707296337,302.1506675726482,300.41532854423514,299.43730575745957,299.2037968063548,299.7226486433459,301.0191889192433,303.1353184775912,306.13008388231447,310.0815645003637,315.09093804567357,321.2902094803339,328.8554158904091,338.0267007523169,349.13462216656006,362.62847637186934,379.10236882387204,399.3400165725019,424.52852612058354,312.3476957803292,457.26465698237223,876.0748525721577,21.622721028258866,110.52086770301605
6,0.6,311.77665050084664,307.7035076505547,304.64696269568446,302.5143823327729,301.23022619801463,300.7568457410251,301.0819229413475,302.2107243040692,304.1656677767437,306.9897283115185,310.7513969860222,315.55068982655894,321.52678915745673,328.86841518119405,337.8283975375707,348.74470727951064,362.07216163063157,378.4327157725566,398.69701045389684,424.11484787566087,316.7504823227444,456.546891885785,896.5228963721491,20.44804379999141,88.89814667475719
7,0.7,315.99208760747644,311.2027166552631,307.5514171559606,304.9238266077213,303.22537329079705,302.40336379117105,302.4331143377813,303.30922178455666,305.0447317392078,307.67448748483247,311.26006730189346,315.89562085226976,321.71517052146464,328.9026235737835,337.70617651386203,348.4592632563117,361.61105321515817,377.771827249508,397.78609045526434,422.87030050687076,321.80427805366287,454.923805678816,916.1690675204119,19.646171148262738,68.45010287476578
8,0.8,315.3114176792327,311.0319790254932,307.7435670367055,305.35852820897713,303.819702531431,303.08863751977134,303.14701868414414,303.99792914499466,305.66624584105847,308.19960434232087,311.67088246732095,316.1826979758304,321.8743960357801,328.9322863280537,337.6043590005826,348.22138877489306,361.22751391183266,377.22597800743216,397.05249871558516,421.9081471016145,320.7739785269142,453.6435672420482,935.285747447829,19.116679927417067,48.80393172650304
9,0.9,314.4414471241291,310.4189389050269,307.3528315708554,305.15360248869894,303.7627630081429,303.143038260999,303.27857109546215,304.1756459158486,305.86315126140244,308.39361060306135,311.8455473407038,316.32771939789893,321.98572970903655,329.01174926560594,337.658612351896,348.2604898640651,361.2640139941708,377.2766213521698,397.14372810593534,422.07436121330113,319.6051831591244,453.85043841598014,954.3449898905384,19.059242442709433,29.68725179908597
10,1.0,299.3906053565832,299.01149371819537,298.8280239488654,298.8767878367506,299.2437442233673,299.9570399311008,301.028309439279,302.47672581119264,304.3251424027415,306.5842948184481,309.237470288893,312.2329588896146,315.48997048893006,318.9229361543637,322.4833061408483,326.1991088684993,330.156660992568,334.34355912331273,338.4085574104318,342.22910782217986,300.96766882807543,351.31412310657265,964.9729992469149,10.628009356376538,10.628009356376538
0,0.0,260.0,253.0,249.0,265.0,258.0,265.0,255.0,264.0,256.0,248.0,272.0,261.0,257.0,258.0,262.0,272.0,268.0,255.0,264.0,248.0,323.000001975823,323.000001975823,0.0,0.0,852.1518971031022
1,0.1,383.1909316131148,354.1047679919174,331.2973138003428,312.74416929751834,299.004900740826,287.74146640755987,280.0346859922441,274.02771188020637,271.16884789100004,270.4715161809202,270.3143045236238,273.8027889936111,279.3248259547338,287.49223965042125,298.9248049530297,313.78188999222164,333.35105973558655,358.335765749332,389.5354094162637,431.39728093219026,412.29350626598347,473.0,526.0764168372868,526.0764168372868,852.1518971031022
2,0.2,316.9530914478472,312.6864074643836,307.92994880632403,303.11216102532677,298.722681667402,295.05214070800963,292.1411157709645,290.21504729868127,289.41663921817945,290.03778426231787,292.4067024100743,296.62508109369554,302.9974983058938,311.72320995516503,323.02126617710286,337.1950230469307,354.6038916438659,375.80305906167536,401.591750846249,433.08703876751065,325.4924182954936,473.0,664.2401739346313,138.1637570973445,326.0754802658154
3,0.3,309.08770615327376,305.2223109555943,302.04682748132126,299.49939911005595,297.5870787636931,296.3415713185806,295.82836095445094,296.13529118222453,297.3846823540261,299.71618460429096,303.284743224882,308.2694658432339,314.8571584445767,323.26711104421105,333.7645312516908,346.6872609749824,362.4928449633331,381.8229339954648,405.61506478390737,435.2852354855352,314.12298612814334,473.0,712.9586418395186,48.718467904887234,187.91172316847087
