,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg,path_diff
0,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,327.5728915813938,357.335416704214,0.0,385.67714,2147.02405,0.8221100000000092
1,0.1,318.27347,309.39997,301.32111,294.3048,288.49756,283.92959,280.54182,278.22653,276.87209,276.40342,276.81204,278.17182,280.63765,284.42564,289.77477,296.89329,305.89744,316.75469,329.24635,342.96247,343.1541651302648,319.1857612672575,385.67714,201.53512,1761.34691,0.8221100000000092
2,0.2,334.03908,325.22338,316.98199,309.54563,303.08914,297.72865,293.52617,290.49847,288.6266,287.86299,288.13497,289.34505,291.37017,294.06298,297.25808,300.78451,304.48351,308.22784,311.93714,315.58376,337.7011431344041,287.2745451055099,587.21226,144.37068,1559.81179,0.8221100000000092
3,0.3,331.86898,326.15708,320.68411,315.56462,310.90498,306.79757,303.314,300.49777,298.35761,296.86215,295.93714,295.46609,295.29571,295.24716,295.1336,294.78305,294.0636,292.90628,291.31975,289.39168,339.90862772235346,345.4803703745684,731.58294,132.93037000000004,1415.44111,0.8221100000000092
4,0.4,334.81616,329.82432,325.02821,320.51285,316.35014,312.59813,309.30278,306.50245,304.23482,302.54563,301.49786,301.17888,301.7025,303.20257,305.8159,309.65455,314.77133,321.12618,328.56302,336.80609,322.762189489761,243.75652271265295,864.51331,97.7046499999999,1282.51074,0.8221100000000092
5,0.5,321.49367,320.16493,318.73231,317.18082,315.52854,313.82211,312.12389,310.49309,308.96335,307.52016,306.08125,304.48429,302.48654,299.78123,296.03366,290.93579,284.27194,275.98214,266.20587,255.29054,285.83634150321166,202.55459467596683,962.21796,170.92049999999995,1184.80609,0.8221100000000092
6,0.6,290.63057,295.1258,299.06103,302.24176,304.55258,305.95215,306.45328,306.09445,304.90965,302.90293,300.03187,296.20253,291.27662,285.09083,277.48653,268.34681,257.63515,245.42842,231.9357,217.4964,287.02373300009015,365.62796067823183,1133.13846,227.8702800000001,1013.8855900000001,0.8221100000000092
7,0.7,289.52649,291.90053,294.02217,295.77811,297.07149,297.82931,298.01222,297.6274,296.74511,295.51758,294.19728,293.14843,292.84332,293.83471,296.69818,301.94574,309.92179,320.70331,334.03202,349.30369,303.49743313094393,214.4295927577992,1361.00874,147.28961000000004,786.01531,0.8221100000000092
8,0.8,302.17097,300.91567,299.79105,298.83647,298.06765,297.47753,297.03897,296.70521,296.40478,296.0291,295.41481,294.32642,292.44813,289.395,284.75085,278.13408,269.28271,258.14013,244.9167,230.10407,282.23832517010675,246.00661163646248,1508.29835,251.73448000000008,638.7257,0.8221100000000092
9,0.9,284.89333,287.38721,289.57705,291.35155,292.63632,293.39078,293.59875,293.25665,292.36349,290.91567,288.90794,286.33948,283.22264,279.59077,275.50172,271.035,266.28257,261.33587,256.2731,251.15134,174.51444142588036,207.3793438315882,1760.03283,386.9912199999999,386.9912199999999,0.8221100000000092
