,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1
0,0,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,373,373
1,0.1,357.6764443,339.6345415,324.3791133,311.7628589,301.3574206,293.0345942,286.7270936,282.2875932,279.5030863,278.1711609,278.1711609,279.5030863,282.2875932,286.7270936,293.0345942,301.3574206,311.7628589,324.3791133,339.6345415,357.6764443,340.9911429,373
2,0.2,333.9089954,328.1527459,322.036074,315.9195201,310.2105298,305.1376665,300.8612281,297.5398078,295.3345929,294.3924628,294.8314957,296.7337354,300.1424553,305.0609303,311.4520751,319.2392467,328.3043614,338.4716764,349.4773267,361.0113785,294.699677,373
3,0.3,296.4908745,299.6102919,301.713453,302.9761319,303.7085862,304.0999869,304.3166076,304.5620768,305.0726119,306.0850396,307.8059314,310.3924993,313.9451862,318.5080789,324.0732159,330.5861371,337.9517093,346.0410093,354.699869,363.7534862,291.4684801,373
4,0.4,293.5497236,295.6385272,297.64706,299.5653031,301.4127581,303.2374132,305.1084547,307.110795,309.3396654,311.893293,314.8643483,318.3317897,322.3542841,326.9656661,332.1724524,337.9532392,344.2597484,351.0192079,358.137771,365.5050745,285.1729974,369.0772499
5,0.5,288.1916367,291.3953351,294.4581167,297.4108149,300.307087,303.1876667,306.0950758,309.0812128,312.2045243,315.5228725,319.086441,322.9324732,327.0823199,331.5408249,336.2977844,341.3304104,346.6041645,352.068279,357.6481552,363.2705684,282.4592983,356.031009
6,0.6,285.9319616,289.4767163,292.966469,296.4130459,299.8388546,303.2631421,306.7054758,310.1868591,313.7269243,317.3391452,321.0260466,324.7759374,328.5624784,332.3481766,336.0918405,339.757005,343.3130047,346.7170378,349.8846144,352.7647427,281.6310752,357.9280425
7,0.7,285.2459224,288.8817436,292.5005044,296.1048958,299.7003899,303.2911187,306.8808321,310.473375,314.0723174,317.6803339,321.2988312,324.9280127,328.5672574,332.2154589,335.8709376,339.5310721,343.1932839,346.8606178,350.5508501,354.2806629,281.6306936,357.1750973
8,0.8,285.2417698,288.8515608,292.4614703,296.0711939,299.6806626,303.2902744,306.9006058,310.5121799,314.1252997,317.7398858,321.3553111,324.9702813,328.5828349,332.1905554,335.7910451,339.3825249,342.9639457,346.5335166,350.0859826,353.6179283,281.331481,360.5028502
9,0.9,284.9877721,288.6523319,292.3087364,295.9576291,299.6006223,303.2386566,306.872915,310.5055265,314.1399057,317.7809936,321.4355091,325.112097,328.8210783,332.5734539,336.3790506,340.2444924,344.1731625,348.1703557,352.25175,356.4238434,277.6932722,312.2894653
